method,model,season,week,week_start,train_matches,valid_matches,test_matches,valid_accuracy,valid_log_loss,valid_brier,valid_rps,test_accuracy,test_log_loss,test_brier,test_rps,train_seasons
weekly_walk_forward,mlp,2008-09,25,2009-01-12,62264,487,174,0.5112936344969199,0.9916177568966427,0.5955372925545905,0.19810896594457353,0.5574712643678161,0.9691238381960071,0.5776658555307412,0.19961866321702734,
weekly_walk_forward,lr,2008-09,26,2009-01-19,62450,475,146,0.5157894736842106,0.9958807469417202,0.5975632909573201,0.19967173911589575,0.4589041095890411,1.0510810213931552,0.6354343847657322,0.21419177514061982,
weekly_walk_forward,gbm,2008-09,26,2009-01-19,62450,475,146,0.5094736842105263,1.0126894988234127,0.608064971306392,0.20325232874317095,0.4520547945205479,1.0507730625897342,0.6338830756917864,0.21444195285199735,
weekly_walk_forward,gbm_calibrated,2008-09,26,2009-01-19,62450,475,146,0.5052631578947369,0.9971476688188757,0.5986588404860558,0.20074534263114605,0.4589041095890411,1.0479100177828424,0.633867669866604,0.21434200679767612,
weekly_walk_forward,mlp,2008-09,26,2009-01-19,62450,475,146,0.5157894736842106,1.001937437793238,0.6019330359441794,0.2016606060474156,0.4726027397260274,1.041301434559635,0.6293060698818481,0.21188282027938884,
weekly_walk_forward,lr,2008-09,27,2009-01-26,62587,484,262,0.512396694214876,1.0039331103208209,0.6026642483741554,0.20125182347328124,0.46946564885496184,1.0189052079163539,0.6120717567056991,0.20095462658107688,
weekly_walk_forward,gbm,2008-09,27,2009-01-26,62587,484,262,0.5,1.0146837858196298,0.6082929063595903,0.2033498763571932,0.4732824427480916,1.0361303714410122,0.6258056907797693,0.20600516165207536,
weekly_walk_forward,gbm_calibrated,2008-09,27,2009-01-26,62587,484,262,0.512396694214876,1.0016607293057298,0.6012079527866311,0.20140146291655822,0.46564885496183206,1.0203730644580207,0.6149022944458432,0.20202298778710065,
weekly_walk_forward,mlp,2008-09,27,2009-01-26,62587,484,262,0.5041322314049587,1.010176577215906,0.6074266555165708,0.20290177264630344,0.4847328244274809,1.026516869529842,0.6179076667877847,0.20179907886227624,
weekly_walk_forward,lr,2008-09,28,2009-02-02,62655,678,181,0.4941002949852507,1.0113961198213137,0.6072254323590487,0.20299619393714466,0.46408839779005523,0.991304458190998,0.5939505913999403,0.19129086337001372,
weekly_walk_forward,gbm,2008-09,28,2009-02-02,62655,678,181,0.4896755162241888,1.022864708184636,0.6151058373423599,0.20584553686486035,0.47513812154696133,0.9977220087305215,0.59822991582528,0.19220834075422552,
weekly_walk_forward,gbm_calibrated,2008-09,28,2009-02-02,62655,678,181,0.4941002949852507,1.0083133119304621,0.6060186365127604,0.2029706451375362,0.46408839779005523,0.9979346921471836,0.5986745994345796,0.19307494515619283,
weekly_walk_forward,mlp,2008-09,28,2009-02-02,62655,678,181,0.4941002949852507,1.0193860714731846,0.6121506165494484,0.20502211048643781,0.4861878453038674,0.9909860729090006,0.5925009863458139,0.18999160614978639,
weekly_walk_forward,lr,2008-09,29,2009-02-09,62751,763,185,0.48623853211009177,1.0047096338435133,0.6025406713302018,0.20012227700298976,0.5135135135135135,0.9936570167257116,0.597800598323046,0.1922636763519576,
weekly_walk_forward,gbm,2008-09,29,2009-02-09,62751,763,185,0.49148099606815204,1.0149955552997085,0.6095871784609833,0.20243661942115523,0.518918918918919,0.9845125042731008,0.592395881998958,0.18918990470839314,
weekly_walk_forward,gbm_calibrated,2008-09,29,2009-02-09,62751,763,185,0.4796854521625164,1.0070665576821398,0.6047797179097328,0.20129907919360224,0.5243243243243243,0.989722453206092,0.595605286561484,0.1916110176459486,
weekly_walk_forward,mlp,2008-09,29,2009-02-09,62751,763,185,0.4927916120576671,1.0109398381263117,0.6068557386958323,0.2017996267162239,0.5135135135135135,0.9926824191097738,0.5971667591688241,0.19183445932315196,
weekly_walk_forward,lr,2008-09,30,2009-02-16,62925,774,235,0.47674418604651164,1.0123820915399364,0.6087691969141165,0.1990833509382854,0.451063829787234,1.084479743995182,0.6502719394496248,0.23279888097581,
weekly_walk_forward,gbm,2008-09,30,2009-02-16,62925,774,235,0.479328165374677,1.0167152721825954,0.6121355071207084,0.20015957629728373,0.4297872340425532,1.0953676076347367,0.6540703553747077,0.23216109281042344,
weekly_walk_forward,gbm_calibrated,2008-09,30,2009-02-16,62925,774,235,0.4728682170542636,1.0139437365245911,0.6107704262855274,0.20008783999514335,0.4425531914893617,1.084149038015608,0.64889575404391,0.23147500570880367,
weekly_walk_forward,mlp,2008-09,30,2009-02-16,62925,774,235,0.4702842377260982,1.019480760894371,0.6128668289609001,0.20090500748919057,0.4297872340425532,1.0756567088669111,0.6456864718728731,0.22977085579541356,
weekly_walk_forward,lr,2008-09,31,2009-02-23,63071,863,223,0.4727694090382387,1.0255514094521772,0.6156221892338146,0.20573587158481738,0.43946188340807174,1.0378904963603652,0.626634419203424,0.2078700101370625,
weekly_walk_forward,gbm,2008-09,31,2009-02-23,63071,863,223,0.4727694090382387,1.0324408799050535,0.6199182550728547,0.20649197781962328,0.4125560538116592,1.051138059481422,0.6367334079647867,0.21246035986065345,
