Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC2,13/11/04,Stranraer,Dumbarton,1,0,H,0,0,D,1.72,3.6,3.75,1.6,3.7,4.4,1.7,3.6,3.9,1.65,3.6,3.8,1.62,4.0,4.0,1.67,3.6,4.0,1.7,3.75,3.75,1.7,1.87,-0.5,,,,,,,,,,,,,,,,1324.68,1262.49
SC2,20/11/04,Stirling,Berwick,0,1,A,0,1,A,1.44,3.75,6.0,1.45,4.0,5.5,1.47,4.1,5.0,1.5,3.8,4.4,1.5,3.6,5.5,1.44,4.0,5.5,1.53,4.0,4.5,1.47,2.25,-0.5,,,,,,,,,,,,,,,,1262.09,1115.27
SC2,27/11/04,Ayr,Arbroath,1,1,D,1,0,H,1.57,3.75,4.5,1.65,3.5,4.3,1.62,3.55,4.45,1.7,3.5,3.6,1.57,3.75,4.5,1.62,3.6,4.33,1.66,3.8,3.8,1.62,1.97,-0.5,,,,,,,,,,,,,,,,1283.87,1151.77
SC2,27/11/04,Brechin,Morton,2,1,H,1,0,H,2.1,3.5,2.75,2.0,3.35,3.1,2.15,3.4,2.75,2.1,3.3,2.7,2.0,3.4,3.0,2.1,3.5,2.75,2.15,3.5,2.7,2.15,1.52,-0.5,,,,,,,,,,,,,,,,1292.73,1274.64
SC2,27/11/04,Stirling,Stranraer,1,1,D,0,0,D,2.37,3.5,2.37,2.5,3.2,2.45,2.4,3.45,2.4,2.6,3.3,2.2,2.38,3.5,2.38,2.38,3.5,2.38,2.5,3.6,2.25,2.4,1.42,-0.5,,,,,,,,,,,,,,,,1241.95,1331.73
SC2,30/11/04,Berwick,Forfar,1,0,H,0,0,D,2.37,3.5,2.37,2.3,3.3,2.6,2.3,3.4,2.5,2.2,3.3,2.5,2.1,3.5,2.75,2.38,3.5,2.38,2.3,3.4,2.5,2.3,1.44,-0.5,,,,,,,,,,,,,,,,1135.41,1179.08
SC2,30/11/04,Dumbarton,Alloa,0,1,A,0,0,D,1.8,3.5,3.5,1.75,3.35,4.0,1.75,3.5,3.75,1.75,3.4,3.5,1.66,3.6,4.0,1.73,3.5,3.8,1.72,3.75,3.6,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1255.44,1159.88
SC2,04/12/04,Arbroath,Berwick,1,1,D,0,1,A,2.0,3.4,3.0,2.0,3.4,3.15,2.1,3.45,2.8,2.2,3.2,2.6,2.0,3.4,3.0,2.0,3.4,3.0,2.2,3.5,2.62,2.1,1.55,-0.5,,,,,,,,,,,,,,,,1159.07,1145.9
SC2,04/12/04,Brechin,Ayr,5,0,H,4,0,H,1.72,3.6,3.75,1.8,3.4,3.8,1.75,3.6,3.65,1.75,3.4,3.5,1.73,3.5,3.75,1.73,3.5,3.8,1.72,3.6,3.75,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1301.14,1276.57
SC2,04/12/04,Morton,Alloa,2,2,D,2,1,H,1.57,3.75,4.5,1.6,3.6,4.75,1.57,3.65,4.75,1.55,3.7,4.2,1.44,4.0,5.5,1.53,3.6,5.0,1.53,3.6,5.0,1.57,2.06,-0.5,,,,,,,,,,,,,,,,1266.23,1178.76
SC2,04/12/04,Stirling,Dumbarton,1,0,H,0,0,D,1.83,3.5,3.4,1.9,3.35,3.5,1.9,3.5,3.2,2.0,3.3,2.9,2.0,3.6,2.88,1.91,3.4,3.25,1.9,3.6,3.1,1.9,1.67,-0.5,,,,,,,,,,,,,,,,1241.58,1236.56
SC2,04/12/04,Stranraer,Forfar,1,0,H,0,0,D,1.53,3.75,5.0,1.55,3.65,5.15,1.5,3.8,5.2,1.5,3.8,4.4,1.4,4.33,5.5,1.5,4.0,4.75,1.44,4.0,5.5,1.5,2.2,-0.5,,,,,,,,,,,,,,,,1332.1,1168.59
SC2,18/12/04,Alloa,Arbroath,4,2,H,0,1,A,2.1,3.5,2.75,2.05,3.5,2.85,2.15,3.5,2.7,2.2,3.3,2.6,2.1,3.5,2.75,2.1,3.4,2.8,2.2,3.5,2.62,2.15,1.52,-0.5,,,,,,,,,,,,,,,,1184.92,1155.14
SC2,18/12/04,Ayr,Stirling,3,2,H,1,0,H,2.2,3.5,2.6,2.2,3.5,2.6,2.25,3.4,2.6,2.2,3.3,2.6,2.2,3.5,2.62,2.25,3.4,2.6,2.25,3.4,2.6,2.25,1.47,-0.5,,,,,,,,,,,,,,,,1268.37,1250.41
