Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
T1,02/10/04,Fenerbahce,Denizlispor,2,0,H,0,0,D,1.36,4.0,7.0,1.35,4.2,7.5,1.31,4.3,8.0,1.4,3.9,6.0,1.36,4.0,7.5,1.36,4.0,7.5,1.33,4.2,7.5,1.6,2.1,1.31,2.8,-0.5,,,,,,,,,,,,,,,,1693.93,1527.08
T1,02/10/04,Rizespor,Malatyaspor,0,1,A,0,1,A,2.2,3.2,2.8,2.25,3.3,2.75,2.2,3.2,2.8,2.2,3.0,2.9,2.38,3.25,2.6,2.2,3.2,2.88,2.1,3.25,2.9,1.65,2.0,1.95,1.8,-0.25,,,,,,,,,,,,,,,,1479.98,1515.68
T1,03/10/04,Istanbulspor,Kayserispor,2,0,H,0,0,D,2.1,3.25,3.0,2.0,3.45,3.1,2.0,3.3,3.1,1.9,3.3,3.3,2.0,3.4,3.0,2.05,3.25,3.1,2.0,3.3,3.1,1.65,2.0,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1407.68,1357.11
T1,03/10/04,Konyaspor,Genclerbirligi,3,2,H,1,1,D,2.4,3.2,2.6,2.5,3.4,2.4,2.5,3.1,2.5,2.3,3.1,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.55,3.15,2.4,1.65,2.0,1.87,1.89,0.0,,,,,,,,,,,,,,,,1458.39,1484.93
T1,03/10/04,Samsunspor,A. Sebatspor,3,0,H,1,0,H,1.66,3.4,4.33,1.65,3.5,4.5,1.65,3.3,4.65,1.65,3.3,4.4,1.57,3.6,5.0,1.67,3.4,4.5,1.65,3.3,4.7,1.65,2.0,1.87,1.85,-0.75,,,,,,,,,,,,,,,,1456.11,1427.73
T1,03/10/04,Trabzonspor,Besiktas,1,0,H,1,0,H,2.0,3.2,3.2,1.9,3.35,3.5,1.95,3.25,3.3,1.85,3.2,3.5,1.83,3.4,3.5,1.91,3.25,3.5,2.1,3.2,3.0,1.65,2.0,1.95,1.64,-0.5,,,,,,,,,,,,,,,,1650.48,1565.15
T1,16/10/04,Besiktas,Diyarbakirspor,4,0,H,2,0,H,1.5,3.4,6.0,1.4,4.0,6.75,1.43,3.6,6.65,1.5,3.7,5.0,1.57,3.6,5.0,1.44,3.75,6.5,1.5,3.4,6.0,1.65,2.0,2.07,1.46,-1.5,,,,,,,,,,,,,,,,1558.75,1424.18
T1,16/10/04,Gaziantepspor,Fenerbahce,0,1,A,0,0,D,3.5,3.2,1.9,4.0,3.45,1.75,3.5,3.2,1.9,3.2,3.1,2.0,3.6,3.4,1.8,3.5,3.25,1.91,3.5,3.2,1.9,1.65,2.0,1.67,1.9,0.5,,,,,,,,,,,,,,,,1560.23,1698.36
T1,16/10/04,Genclerbirligi,Rizespor,2,1,H,2,0,H,1.8,3.3,3.75,1.8,3.45,3.75,1.8,3.25,3.75,1.75,3.2,4.0,1.73,3.6,3.75,1.83,3.3,3.75,1.8,3.3,3.75,1.65,2.0,1.8,1.74,-0.5,,,,,,,,,,,,,,,,1475.03,1465.19
T1,16/10/04,Sakaryaspor,Ankaragucu,1,0,H,1,0,H,3.0,3.2,2.1,3.6,3.4,1.85,3.05,3.25,2.1,2.7,3.0,2.3,3.25,3.4,1.91,3.1,3.2,2.1,3.2,3.2,2.0,1.65,2.0,1.57,2.1,0.5,,,,,,,,,,,,,,,,1352.14,1493.7
