Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E0,18/09/04,Arsenal,Bolton,2,2,D,1,0,H,P Dowd,11,8,6,5,13,17,3,8,1,3,0,0,1.25,5.0,13.0,1.3,4.5,9.0,1.27,5.0,11.0,1.3,4.2,8.0,1.25,4.5,10.0,1.25,5.0,10.0,1.2,5.0,11.0,1.55,2.25,1.65,2.2,1.67,2.1,-1.25,,,,1.975,1.925,-1.5,2024.35,1788.53
E0,18/09/04,Birmingham,Charlton,1,1,D,0,0,D,U Rennie,7,2,5,1,12,16,12,3,3,2,1,0,1.9,3.1,4.33,1.85,3.2,4.0,1.9,3.3,4.0,1.8,3.1,3.8,1.91,3.25,3.4,1.91,3.25,3.75,1.8,3.3,3.75,1.9,1.79,2.05,1.75,1.65,2.15,-0.25,1.9,1.94,-0.5,1.95,1.95,-0.5,1711.27,1731.94
E0,18/09/04,Blackburn,Portsmouth,1,0,H,0,0,D,M Clattenburg,13,6,3,2,13,15,13,4,0,3,0,0,2.2,3.25,3.2,2.0,3.15,3.5,2.15,3.2,3.3,2.0,3.1,3.2,2.1,3.2,3.0,2.2,3.25,3.0,2.15,3.0,3.1,1.85,1.85,1.95,1.85,1.55,2.35,0.0,1.82,2.02,-0.25,2.15,1.75,-0.5,1713.14,1727.75
E0,18/09/04,Crystal Palace,Man City,1,2,A,0,0,D,M Atkinson,3,14,1,10,14,15,2,7,2,2,0,0,2.6,3.2,2.62,2.5,3.25,2.55,2.65,3.2,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.62,2.5,3.1,2.5,1.85,1.85,1.95,1.85,2.3,1.55,-0.25,2.04,1.8,0.0,2.05,1.85,0.0,1618.79,1681.2
E0,18/09/04,Norwich,Aston Villa,0,0,D,0,0,D,B Knight,14,18,3,9,10,13,1,6,1,1,0,0,2.75,3.2,2.5,2.75,3.2,2.35,2.8,3.25,2.4,2.5,3.0,2.5,2.6,3.2,2.38,2.62,3.2,2.5,2.62,2.9,2.5,1.9,1.79,1.95,1.85,2.4,1.52,-0.25,2.0,1.84,0.0,2.05,1.85,0.0,1725.78,1785.03
E0,18/09/04,West Brom,Fulham,1,1,D,0,0,D,M Dean,8,9,5,3,11,6,11,9,2,5,1,2,2.5,3.2,2.75,2.3,3.15,2.85,2.4,3.25,2.8,2.2,3.0,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.2,1.6,-0.25,1.82,2.02,0.0,1.8,2.1,0.0,1670.26,1727.09
E0,19/09/04,Chelsea,Tottenham,0,0,D,0,0,D,M Riley,20,6,8,3,16,13,9,6,1,2,0,0,1.5,3.6,7.5,1.5,3.6,6.25,1.5,3.7,7.0,1.4,3.9,6.0,1.5,3.4,6.0,1.44,3.75,7.0,1.44,3.5,7.0,1.75,1.95,1.95,1.85,2.2,1.6,-1.25,1.84,2.0,-1.0,1.85,2.05,-1.0,1916.7,1731.8
E0,19/09/04,Everton,Middlesbrough,1,0,H,0,0,D,H Webb,11,16,9,11,13,12,6,3,1,4,0,0,2.5,3.2,2.75,2.35,3.2,2.75,2.4,3.25,2.8,2.4,3.0,2.6,2.25,3.2,2.75,2.38,3.2,2.75,2.37,3.1,2.62,1.85,1.85,2.0,1.8,2.1,1.67,-0.25,1.84,2.0,0.0,1.8,2.1,0.0,1725.98,1752.69
E0,19/09/04,Southampton,Newcastle,1,2,A,0,1,A,C Foy,11,9,6,3,15,11,7,6,0,3,0,0,2.87,3.25,2.37,2.5,3.15,2.6,2.6,3.25,2.55,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.75,3.2,2.25,1.85,1.85,2.0,1.8,2.6,1.45,-0.25,2.04,1.8,0.0,2.1,1.8,0.0,1706.36,1790.57
E0,20/09/04,Man United,Liverpool,2,1,H,1,0,H,G Poll,14,6,9,3,22,15,7,2,1,2,0,0,2.0,3.2,3.75,1.9,3.2,3.8,2.0,3.2,3.75,2.1,3.0,3.1,1.83,3.2,3.75,1.91,3.25,3.75,2.0,3.0,3.4,1.85,1.85,2.0,1.8,1.55,2.3,0.0,1.9,1.94,-0.25,1.85,2.05,-0.25,1888.44,1827.62
