Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB.1,LB.2,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,EloHome,EloAway
D2,04/10/04,Aachen,Dresden,5,1,H,2,0,H,1.57,3.5,5.0,1.45,3.9,6.0,1.55,3.65,5.5,1.6,3.4,4.6,1.5,3.4,6.0,1.5,4.0,5.5,1.6,3.35,5.0,1.71,2.0,1.95,1.8,-1.0,,,,,,,1531.71,1449.44
D2,15/10/04,Duisburg,Unterhaching,3,1,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.4,4.0,1.85,3.1,3.6,1.73,3.2,4.33,1.75,3.5,4.2,1.8,3.1,4.0,1.71,2.0,1.8,1.84,-0.5,,,,,,,1522.4,1477.81
D2,15/10/04,Erfurt,Erzgebirge Aue,0,3,A,0,2,A,2.1,3.1,3.1,2.05,3.1,3.3,2.2,3.1,3.1,2.3,2.9,2.8,2.1,3.2,3.0,2.2,3.2,3.1,2.2,3.0,3.0,1.85,1.85,2.2,1.55,-0.5,,,,,,,1473.35,1504.88
D2,15/10/04,Karlsruhe,Essen,4,1,H,2,1,H,1.9,3.2,3.5,1.9,3.25,3.6,1.95,3.2,3.65,1.9,3.1,3.5,2.0,3.2,3.2,1.85,3.4,3.8,1.85,3.1,3.8,1.71,2.0,1.95,1.71,-0.5,,,,,,,1445.6,1464.32
D2,17/10/04,Burghausen,Greuther Furth,0,1,A,0,1,A,2.2,3.1,2.9,2.25,3.2,2.8,2.25,3.1,3.0,2.3,2.9,2.8,,,,2.38,3.1,2.88,2.35,3.0,2.75,1.65,2.05,2.25,1.52,-0.5,,,,,,,1534.52,1572.51
D2,17/10/04,Cottbus,Ahlen,0,0,D,0,0,D,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.45,4.9,1.65,3.2,4.6,,,,1.67,3.6,4.5,1.65,3.35,4.5,1.75,1.95,1.65,2.02,-0.5,,,,,,,1528.47,1492.78
D2,17/10/04,Dresden,Saarbrucken,2,1,H,2,1,H,2.2,3.2,2.8,2.1,3.2,3.1,2.2,3.2,3.0,2.2,3.0,2.9,,,,2.25,3.2,3.0,2.3,3.1,2.75,1.65,2.05,2.2,1.55,-0.5,,,,,,,1442.96,1498.79
D2,17/10/04,Ein Trier,Aachen,0,4,A,0,2,A,2.4,3.0,2.7,2.3,3.1,2.8,2.35,3.1,2.85,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.45,2.9,2.7,1.75,1.95,2.35,1.48,-0.5,,,,,,,1519.25,1538.19
D2,17/10/04,FC Koln,Oberhausen,3,2,H,1,2,A,1.44,3.6,6.5,1.45,3.9,6.0,1.45,3.9,6.5,1.45,3.8,5.4,,,,1.44,4.0,6.5,1.45,3.55,6.5,1.65,2.05,2.0,1.5,-1.5,,,,,,,1530.24,1465.17
D2,18/10/04,Ein Frankfurt,Munich 1860,1,2,A,0,2,A,1.9,3.2,3.5,1.8,3.4,3.8,1.85,3.3,3.9,1.9,3.1,3.5,1.8,3.2,4.0,1.85,3.1,4.33,1.85,3.1,3.8,1.65,2.05,1.85,1.79,-0.5,,,,,,,1552.5,1535.69
