Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F1,28/08/04,Strasbourg,Istres,1,1,D,1,0,H,1.83,3.25,3.75,1.85,3.25,3.75,1.85,3.1,4.0,1.8,3.1,3.8,,,,1.85,3.2,3.75,1.72,3.2,4.33,2.0,1.65,1.85,1.75,-0.5,,,,,,,,,,,,,,,,1622.96,1582.64
F1,29/08/04,Paris SG,St Etienne,2,2,D,0,0,D,1.4,3.8,7.0,1.4,3.9,7.0,1.4,3.9,7.1,1.4,3.7,6.5,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.6,6.5,1.75,1.9,1.95,1.85,-1.25,,,,,,,,,,,,,,,,1791.35,1640.36
F1,11/09/04,Bastia,Auxerre,1,0,H,1,0,H,2.5,3.0,2.6,2.35,3.3,2.6,2.45,3.0,2.7,2.3,2.9,2.8,2.375,3.2,2.6,2.5,3.0,2.6,2.5,3.1,2.5,2.0,1.65,1.8,2.0,0.0,,,,,,,,,,,,,,,,1636.71,1787.91
F1,11/09/04,Caen,Lens,1,0,H,0,0,D,2.5,3.1,2.5,2.6,3.2,2.4,2.65,3.0,2.5,2.5,3.0,2.5,2.5,3.0,2.6,2.6,3.0,2.5,2.62,2.9,2.5,2.2,1.55,1.9,1.9,0.0,,,,,,,,,,,,,,,,1682.92,1719.34
F1,11/09/04,Istres,Paris SG,1,1,D,1,0,H,3.5,3.0,2.0,4.3,3.1,1.8,3.6,3.0,2.0,3.6,3.1,1.85,3.4,3.0,2.0,3.6,3.2,1.9,3.75,3.2,1.83,1.95,1.71,1.64,2.0,0.5,,,,,,,,,,,,,,,,1587.43,1783.62
F1,11/09/04,Lille,Nice,1,0,H,0,0,D,1.909,3.0,3.75,1.9,3.1,3.8,1.9,3.0,3.95,2.0,2.9,3.4,1.909,3.0,3.75,1.9,3.1,3.75,1.83,3.0,4.0,2.2,1.55,1.9,1.71,-0.5,,,,,,,,,,,,,,,,1675.95,1656.13
F1,11/09/04,Metz,Bordeaux,0,0,D,0,0,D,2.25,3.2,2.75,2.2,3.2,2.9,2.3,3.0,2.9,2.3,2.9,2.8,2.25,3.0,2.875,2.25,3.1,2.87,2.2,3.0,3.0,2.1,1.6,1.75,2.08,0.0,,,,,,,,,,,,,,,,1688.88,1711.5
F1,11/09/04,Monaco,Strasbourg,3,1,H,1,1,D,1.4,3.75,7.0,1.45,3.7,6.5,1.4,4.0,6.8,1.45,3.6,5.8,1.4,3.75,7.0,1.4,3.75,7.5,1.36,3.75,8.0,1.83,1.83,1.8,2.0,-1.0,,,,,,,,,,,,,,,,1803.81,1618.17
F1,11/09/04,Rennes,Lyon,1,2,A,0,0,D,2.75,3.0,2.375,2.7,3.15,2.35,2.7,3.0,2.45,2.7,2.9,2.4,2.6,3.2,2.375,2.75,3.0,2.4,2.62,3.1,2.37,2.1,1.6,2.0,1.8,0.0,,,,,,,,,,,,,,,,1705.93,1864.22
F1,11/09/04,St Etienne,Nantes,0,0,D,0,0,D,2.375,3.0,2.75,2.5,3.2,2.5,2.38,3.0,2.8,2.2,3.0,2.9,2.375,3.0,2.75,2.4,3.0,2.75,2.2,3.1,2.87,2.2,1.55,1.75,2.05,0.0,,,,,,,,,,,,,,,,1648.09,1709.35
