Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SP2,20/10/02,Sp Gijon,Poli Ejido,1,1,D,0,0,D,2.25,2.8,3.0,2.2,2.8,3.05,2.2,2.7,2.9,2.25,2.8,3.0,2.25,2.8,3.0,2.25,1.55,1504.48,1511.15
SP2,20/10/02,Terrassa,Tenerife,1,1,D,1,1,D,2.2,2.8,3.1,2.1,2.9,3.15,2.1,2.7,3.1,2.2,2.8,3.1,2.1,2.85,3.2,2.22,1.55,1515.85,1520.64
SP2,20/10/02,Xerez,Salamanca,0,1,A,0,1,A,1.667,3.0,5.0,1.6,3.2,5.0,1.6,3.0,4.6,1.571,3.1,5.0,1.65,3.0,5.0,2.05,1.65,1534.22,1429.15
SP2,20/10/02,Zaragoza,Oviedo,3,1,H,0,0,D,2.0,2.9,3.5,1.83,2.95,4.0,1.85,2.8,3.5,1.85,2.875,4.0,2.0,2.85,3.5,2.15,1.6,1497.17,1456.08
SP2,26/10/02,Levante,Elche,2,2,D,1,0,H,1.8,2.9,4.5,1.8,2.95,4.25,1.8,2.8,3.7,1.8,2.9,4.2,,,,1.9,1.7,1537.96,1538.36
SP2,26/10/02,Poli Ejido,Leganes,1,0,H,0,0,D,2.0,2.875,3.6,1.9,2.92,3.85,1.9,2.8,3.4,1.909,2.875,3.8,,,,2.15,1.55,1514.43,1475.45
SP2,27/10/02,Albacete,Las Palmas,2,1,H,1,0,H,2.25,2.8,3.1,2.35,2.8,2.88,2.3,2.8,2.6,2.3,2.7,3.0,,,,2.15,1.55,1497.94,1551.92
SP2,27/10/02,Compostela,Eibar,1,0,H,1,0,H,2.25,2.8,3.1,2.2,2.85,3.1,2.2,2.8,2.8,2.2,2.8,3.1,,,,2.4,1.45,1419.53,1498.52
SP2,27/10/02,Cordoba,Xerez,1,3,A,1,2,A,2.6,2.8,2.6,2.68,2.83,2.48,2.5,2.8,2.4,2.625,2.8,2.5,,,,2.25,1.5,1446.47,1515.09
SP2,27/10/02,Ferrol,Terrassa,1,1,D,0,1,A,2.25,2.8,3.1,2.2,2.93,3.0,2.2,2.8,2.8,2.25,2.8,3.0,,,,2.15,1.55,1469.94,1512.51
SP2,27/10/02,Getafe,Zaragoza,1,2,A,0,0,D,2.25,2.8,3.1,2.25,2.85,3.0,2.2,2.8,2.8,2.25,2.8,3.0,,,,2.15,1.55,1442.1,1504.86
SP2,27/10/02,Murcia,Numancia,2,1,H,0,0,D,1.833,2.875,4.333,1.86,2.95,4.0,1.8,2.8,3.7,1.909,2.875,3.75,,,,2.05,1.6,1488.16,1447.53
SP2,27/10/02,Oviedo,Almeria,1,1,D,1,0,H,1.833,2.875,4.333,1.76,3.1,4.33,1.8,2.8,3.7,1.833,2.875,4.2,,,,2.25,1.5,1448.39,1456.78
SP2,27/10/02,Salamanca,Sp Gijon,0,0,D,0,0,D,1.909,2.875,4.0,1.9,2.92,3.85,1.9,2.8,3.4,1.85,2.9,4.0,,,,2.4,1.45,1448.28,1501.2
SP2,27/10/02,Tenerife,Badajoz,3,3,D,0,1,A,1.727,3.0,4.75,1.81,2.92,4.33,1.75,2.8,4.0,1.75,2.9,4.5,,,,2.25,1.5,1523.98,1454.55
SP2,02/11/02,Albacete,Poli Ejido,1,1,D,1,1,D,1.909,2.875,4.0,1.95,2.9,3.6,1.9,2.8,3.4,1.909,3.0,3.6,2.0,2.9,3.4,,,1508.79,1522.18
SP2,02/11/02,Badajoz,Ferrol,1,0,H,1,0,H,2.0,2.875,3.6,2.0,2.9,3.45,2.0,2.7,3.3,2.0,2.875,3.5,2.1,2.85,3.2,,,1460.2,1467.89
SP2,02/11/02,Eibar,Oviedo,2,1,H,2,1,H,2.0,2.875,3.6,1.95,2.9,3.6,1.9,2.8,3.4,1.909,3.0,3.6,2.0,2.9,3.4,,,1486.77,1445.17
SP2,02/11/02,Las Palmas,Zaragoza,0,1,A,0,0,D,2.0,2.875,3.6,2.0,2.9,3.45,2.0,2.7,3.3,2.0,2.875,3.5,2.05,2.9,3.3,,,1541.07,1518.69
SP2,02/11/02,Terrassa,Compostela,2,1,H,1,1,D,1.727,3.1,4.5,1.85,2.9,4.0,1.8,2.8,3.7,1.85,2.9,4.0,1.9,2.9,3.75,,,1514.56,1431.28
SP2,02/11/02,Xerez,Levante,2,1,H,1,1,D,2.0,2.875,3.6,1.95,2.9,3.6,2.0,2.7,3.3,2.0,2.875,3.5,1.9,2.9,3.75,,,1528.72,1534.47
SP2,03/11/02,Almeria,Getafe,1,1,D,1,0,H,2.2,2.8,3.2,2.2,2.8,3.1,2.2,2.7,2.9,2.2,2.875,3.0,2.25,2.8,3.0,,,1460.0,1428.27
SP2,03/11/02,Elche,Murcia,0,2,A,0,0,D,2.1,2.8,3.4,2.05,2.85,3.4,2.0,2.7,3.3,2.0,2.875,3.5,2.05,2.9,3.3,,,1541.85,1495.86
