Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
D1,15/09/02,Bochum,Hansa Rostock,0.0,1.0,A,0.0,1.0,A,1.833,3.2,3.75,1.9,3.2,3.86,1.9,3.1,3.5,1.833,3.4,3.5,1.83,3.25,3.75,1.833,3.25,4.0,1.83,3.2,3.75,1.75,1.96,,,1715.13,1639.47
D1,15/09/02,Hamburg,Kaiserslautern,2.0,0.0,H,0.0,0.0,D,2.1,3.2,3.0,2.12,3.2,3.3,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.2,3.4,2.0,3.1,3.3,1.7,2.05,,,1647.69,1680.1
D1,21/09/02,Bayern Munich,Cottbus,3.0,1.0,H,1.0,1.0,D,1.2,5.0,11.0,1.2,5.35,12.1,1.2,5.0,10.0,,,,1.17,6.0,10.0,1.167,6.0,13.0,1.2,5.0,11.0,1.5,2.25,,,1870.92,1597.73
D1,21/09/02,Hannover,Bochum,2.0,2.0,D,1.0,1.0,D,2.25,3.2,2.75,2.25,3.15,2.95,2.1,3.0,3.1,,,,2.2,3.2,2.88,2.25,3.2,2.875,2.2,3.2,2.8,1.65,2.06,,,1664.64,1696.8
D1,21/09/02,Hansa Rostock,Dortmund,0.0,1.0,A,0.0,1.0,A,2.625,3.2,2.3,2.83,3.17,2.35,2.7,3.0,2.3,,,,2.63,3.2,2.38,2.7,3.2,2.375,2.7,3.0,2.37,1.9,1.85,,,1657.8,1816.85
D1,21/09/02,Hertha,Hamburg,2.0,0.0,H,0.0,0.0,D,1.727,3.2,4.333,1.8,3.35,4.7,1.7,3.2,4.2,,,,1.73,3.25,4.33,1.75,3.25,4.333,1.66,3.3,4.5,1.63,2.05,,,1778.12,1657.79
D1,21/09/02,Kaiserslautern,Munich 1860,0.0,0.0,D,0.0,0.0,D,2.0,3.0,3.4,2.02,3.25,3.6,1.9,3.1,3.5,,,,2.0,3.25,3.25,2.05,3.25,3.25,2.0,3.1,3.3,1.72,2.05,,,1670.0,1700.65
D1,21/09/02,Werder Bremen,Leverkusen,3.0,2.0,H,3.0,2.0,H,2.1,3.2,3.0,2.17,3.3,3.1,2.1,3.0,3.1,,,,2.2,3.2,2.88,2.2,3.25,2.875,2.3,3.1,2.75,1.65,2.2,,,1746.21,1775.42
D1,21/09/02,Wolfsburg,Nurnberg,0.0,2.0,A,0.0,0.0,D,1.615,3.25,5.0,1.62,3.5,5.63,1.55,3.5,4.8,,,,1.62,3.4,5.0,1.571,3.5,5.5,1.57,3.5,5.0,1.7,2.0,,,1703.06,1592.07
D1,22/09/02,Schalke 04,M'gladbach,2.0,1.0,H,2.0,1.0,H,1.615,3.25,5.0,1.6,3.45,6.0,1.6,3.4,4.6,,,,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.5,5.0,1.85,1.87,,,1792.48,1676.89
D1,22/09/02,Stuttgart,Bielefeld,3.0,0.0,H,1.0,0.0,H,1.667,3.25,4.5,1.7,3.4,4.7,1.7,3.2,4.2,,,,1.67,3.4,4.5,1.667,3.3,4.75,1.66,3.3,4.5,1.82,1.9,,,1708.8,1675.98
D1,28/09/02,Bielefeld,Schalke 04,2.0,1.0,H,1.0,1.0,D,2.75,3.2,2.25,2.9,3.25,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2.88,3.2,2.2,2.88,3.2,2.25,2.9,3.1,2.2,1.75,1.85,,,1668.04,1798.09
D1,28/09/02,Cottbus,Wolfsburg,0.0,1.0,A,0.0,0.0,D,2.3,3.2,2.625,2.3,3.25,2.75,2.3,3.0,2.7,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.8,1.8,,,1595.12,1683.78
D1,28/09/02,Dortmund,M'gladbach,1.0,0.0,H,0.0,0.0,D,1.4,3.75,7.0,1.51,3.75,7.0,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.5,1.44,3.5,7.0,1.7,1.9,,,1827.25,1671.28
D1,28/09/02,Hamburg,Stuttgart,3.0,2.0,H,2.0,2.0,D,2.0,3.2,3.2,2.03,3.3,3.5,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.4,2.0,3.1,3.3,1.7,1.9,,,1652.3,1716.74
D1,28/09/02,Hansa Rostock,Hannover,1.0,2.0,A,1.0,2.0,A,1.727,3.2,4.333,1.81,3.3,4.4,1.85,3.1,3.6,1.73,3.4,4.0,1.67,3.4,4.33,1.75,3.3,4.33,1.72,3.25,4.2,1.7,1.9,,,1647.4,1662.23
D1,28/09/02,Leverkusen,Bayern Munich,2.0,1.0,H,1.0,0.0,H,3.0,3.2,2.1,3.3,3.2,2.25,3.1,3.2,2.0,3.0,3.0,2.2,3.0,3.25,2.1,3.1,3.25,2.1,3.2,3.0,2.1,1.65,1.95,,,1765.43,1873.53
D1,28/09/02,Munich 1860,Hertha,1.0,0.0,H,1.0,0.0,H,2.375,3.1,2.625,2.4,3.3,2.63,2.4,3.0,2.6,2.38,3.2,2.6,2.38,3.2,2.63,2.4,3.25,2.63,2.3,3.25,2.62,1.75,1.85,,,1703.11,1783.61
D1,29/09/02,Bochum,Werder Bremen,1.0,4.0,A,1.0,2.0,A,2.375,3.1,2.625,2.5,3.25,2.82,2.2,3.0,2.9,2.38,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.3,3.1,2.75,1.75,2.01,,,1699.21,1756.2
D1,29/09/02,Nurnberg,Kaiserslautern,1.0,0.0,H,0.0,0.0,D,2.2,3.25,2.75,2.33,3.27,3.01,2.3,3.0,2.7,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.2,2.8,1.7,1.92,,,1611.35,1667.54
D1,05/10/02,Bayern Munich,Bochum,4.0,1.0,H,2.0,0.0,H,1.286,4.5,8.0,1.29,4.75,9.5,1.25,4.5,9.0,1.25,4.5,10.0,1.29,4.5,8.5,1.286,4.5,9.5,1.25,4.5,10.0,1.47,2.4,,,1860.74,1685.17
D1,05/10/02,Hannover,Dortmund,0.0,3.0,A,0.0,1.0,A,3.2,3.2,2.0,3.21,3.3,2.07,3.2,3.1,2.0,3.0,3.2,2.1,3.2,3.1,2.1,3.6,3.2,1.909,3.3,3.1,2.0,1.7,1.95,,,1677.73,1831.91
D1,05/10/02,Hertha,Nurnberg,2.0,1.0,H,0.0,1.0,A,1.571,3.5,5.0,1.56,3.6,5.65,1.5,3.7,5.0,1.57,3.5,5.0,1.53,3.5,5.5,1.533,3.5,6.0,1.53,3.4,5.5,1.7,1.95,,,1771.81,1622.28
D1,05/10/02,Kaiserslautern,Cottbus,4.0,0.0,H,1.0,0.0,H,1.667,3.25,4.5,1.65,3.4,5.0,1.5,3.7,5.0,1.73,3.4,4.0,1.67,3.4,4.5,1.571,3.4,5.5,1.66,3.3,4.5,1.7,1.95,,,1656.61,1582.21
D1,05/10/02,M'gladbach,Bielefeld,3.0,0.0,H,2.0,0.0,H,1.8,3.25,3.75,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.7,3.3,4.5,1.72,3.25,4.2,1.7,1.95,,,1666.62,1681.62
D1,05/10/02,Schalke 04,Hamburg,3.0,0.0,H,3.0,0.0,H,1.571,3.5,5.0,1.56,3.6,5.65,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.5,5.0,1.571,3.5,5.5,1.57,3.3,5.5,1.65,2.0,,,1784.51,1663.53
D1,05/10/02,Wolfsburg,Leverkusen,2.0,0.0,H,1.0,0.0,H,2.375,3.1,2.625,2.52,3.25,2.7,2.3,3.0,2.7,2.38,3.2,2.6,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2.0,,,1696.69,1778.22
D1,06/10/02,Stuttgart,Munich 1860,4.0,1.0,H,0.0,1.0,A,2.0,3.2,3.2,1.97,3.3,3.65,2.0,3.1,3.2,1.91,3.2,3.5,2.0,3.2,3.3,2.0,3.2,3.4,2.0,3.1,3.3,1.7,1.9,,,1705.51,1714.91
D1,06/10/02,Werder Bremen,Hansa Rostock,0.0,0.0,D,0.0,0.0,D,1.615,3.25,5.0,1.68,3.4,5.0,1.65,3.3,4.4,1.57,3.5,5.0,1.67,3.4,4.5,1.571,3.4,5.5,1.57,3.5,5.0,1.65,1.95,,,1770.24,1631.9
D1,19/10/02,Cottbus,Hertha,0.0,2.0,A,0.0,2.0,A,3.0,3.2,2.1,3.25,3.15,2.1,3.0,3.1,2.1,3.2,3.2,2.0,3.2,3.25,2.05,3.2,3.25,2.05,3.0,3.0,2.2,1.7,1.95,,,1575.51,1776.61
D1,19/10/02,Dortmund,Bielefeld,0.0,0.0,D,0.0,0.0,D,1.3,4.333,8.0,1.31,4.6,8.5,1.25,4.5,9.0,1.29,4.33,9.0,1.3,4.33,8.5,1.3,4.5,9.0,1.3,4.2,8.5,1.55,2.2,,,1842.48,1672.12
D1,19/10/02,Hamburg,M'gladbach,1.0,0.0,H,0.0,0.0,D,2.0,3.2,3.2,1.96,3.2,3.75,2.1,3.0,3.1,1.91,3.2,3.5,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.2,3.5,1.65,1.97,,,1658.06,1676.12
D1,19/10/02,Hannover,Werder Bremen,4.0,4.0,D,2.0,1.0,H,2.75,3.2,2.25,2.92,3.26,2.25,2.6,3.0,2.4,2.8,3.2,2.2,2.75,3.25,2.25,2.8,3.25,2.25,3.0,3.0,2.2,1.65,2.02,,,1667.16,1762.8
D1,19/10/02,Hansa Rostock,Bayern Munich,0.0,1.0,A,0.0,0.0,D,3.75,3.3,1.8,4.55,3.41,1.77,3.8,3.1,1.8,3.75,3.25,1.8,4.0,3.25,1.8,4.0,3.3,1.8,3.75,3.2,1.83,1.7,1.95,,,1639.34,1864.99
D1,19/10/02,Leverkusen,Kaiserslautern,1.0,0.0,H,1.0,0.0,H,1.615,3.25,5.0,1.62,3.56,5.2,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.4,5.5,1.571,3.5,5.5,1.57,3.3,5.5,1.62,2.22,,,1766.38,1663.31
