Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,24/08/02,Luton,Barnsley,2,3,A,1,2,A,R Beeby,7.0,7.0,6.0,7.0,15.0,13.0,6.0,4.0,1,1,0,1,2.4,3.2,2.6,2.35,3.2,2.7,2.3,3.0,2.4,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.2,2.6,2.3,3.25,2.62,1356.94,1376.23
E2,24/08/02,Mansfield,Chesterfield,0,2,A,0,1,A,M Clattenburg,16.0,11.0,7.0,7.0,8.0,13.0,7.0,5.0,2,2,0,0,2.1,3.25,3.0,1.96,3.25,3.45,1.8,3.1,3.4,1.727,3.4,4.0,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.2,3.5,1283.71,1282.6
E2,24/08/02,Notts County,Wigan,0,2,A,0,0,D,M Riley,10.0,16.0,5.0,8.0,12.0,11.0,7.0,3.0,1,0,0,0,2.625,3.2,2.375,2.75,3.2,2.3,2.4,3.0,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.25,2.25,2.8,3.2,2.2,1334.11,1422.64
E2,24/08/02,Oldham,Tranmere,2,0,H,0,0,D,G Laws,12.0,10.0,8.0,4.0,13.0,22.0,4.0,4.0,3,1,0,0,2.0,3.25,3.25,2.1,3.25,3.1,2.0,3.0,2.9,1.909,3.25,3.4,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,1389.88,1341.97
E2,24/08/02,Port Vale,Stockport,0,1,A,0,1,A,H Webb,12.0,10.0,4.0,2.0,9.0,10.0,11.0,8.0,3,4,0,0,2.25,3.25,2.75,2.3,3.2,2.75,2.3,3.0,2.4,2.375,3.2,2.6,2.2,3.25,2.8,2.25,3.25,2.75,2.25,3.2,2.75,1291.83,1260.12
E2,24/08/02,QPR,Peterboro,2,0,H,0,0,D,C Penton,16.0,4.0,7.0,2.0,12.0,15.0,7.0,7.0,1,4,0,0,1.615,3.4,5.0,1.65,3.4,4.8,1.65,3.2,3.9,1.667,3.25,4.5,1.62,3.4,4.5,1.667,3.2,5.0,1.61,3.3,5.0,1386.9,1293.4
E2,24/08/02,Swindon,Cardiff,0,1,A,0,1,A,B Knight,7.0,9.0,2.0,3.0,16.0,8.0,5.0,4.0,3,2,0,0,2.8,3.25,2.2,2.72,3.25,2.3,2.4,3.0,2.3,2.6,3.2,2.375,2.75,3.25,2.25,2.75,3.25,2.25,2.62,3.25,2.3,1357.77,1458.14
E2,26/08/02,Barnsley,Notts County,0,0,D,0,0,D,S Baines,22.0,7.0,3.0,1.0,10.0,17.0,7.0,2.0,0,2,0,0,1.727,3.25,4.333,1.88,3.4,3.7,1.7,3.2,3.7,1.8,3.25,3.75,,,,1.7,3.4,4.333,,,,1391.58,1321.2
E2,26/08/02,Blackpool,Oldham,0,0,D,0,0,D,A Leake,9.0,9.0,2.0,3.0,12.0,17.0,8.0,9.0,0,3,0,1,2.1,3.25,3.0,2.36,3.25,2.7,2.2,3.0,2.6,2.25,3.2,2.75,,,,2.2,3.25,2.8,,,,1318.77,1397.36
E2,26/08/02,Brentford,Swindon,3,1,H,2,1,H,R Beeby,8.0,5.0,3.0,2.0,12.0,20.0,5.0,3.0,0,2,0,0,1.833,3.25,3.75,1.86,3.3,3.6,1.8,3.1,3.4,1.909,3.25,3.4,,,,1.833,3.25,3.8,,,,1456.19,1345.28
