Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,21/09/02,Dunfermline,Motherwell,1,0,H,0,0,D,C Richmond,11.0,9.0,6.0,6.0,13.0,19.0,5.0,1.0,1,2,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.9,3.1,3.5,1.8,3.5,3.5,1.91,3.25,3.5,1.909,3.25,3.6,1.83,3.3,3.6,1.65,1.95,1601.78,1534.94
SC0,21/09/02,Hearts,Dundee United,2,0,H,1,0,H,S Dougal,10.0,12.0,9.0,4.0,17.0,10.0,4.0,6.0,1,3,0,0,1.615,3.4,5.0,1.6,3.4,5.2,1.75,3.2,4.0,1.667,3.4,4.333,1.62,3.4,5.0,1.615,3.5,5.0,1.57,3.5,5.0,1.65,1.95,1614.68,1537.04
SC0,21/09/02,Hibernian,Kilmarnock,2,0,H,2,0,H,J Rowbotham,8.0,5.0,5.0,1.0,12.0,14.0,3.0,7.0,2,0,0,0,2.5,3.2,2.5,2.55,3.2,2.45,2.5,3.0,2.5,2.625,3.4,2.25,2.63,3.2,2.38,2.625,3.2,2.4,2.62,3.1,2.37,1.7,1.9,1522.54,1604.5
SC0,21/09/02,Rangers,Partick,3,0,H,2,0,H,K Toner,23.0,9.0,12.0,2.0,8.0,12.0,7.0,6.0,0,2,0,0,1.167,6.0,11.0,1.15,6.2,12.5,1.15,6.0,12.0,1.167,5.5,12.0,1.14,6.0,13.0,1.154,6.0,13.0,1.14,6.0,12.0,1.5,2.2,1867.95,1546.24
SC0,22/09/02,Dundee,Celtic,0,1,A,0,1,A,J Underhill,12.0,14.0,5.0,5.0,6.0,18.0,5.0,6.0,1,1,0,0,9.0,4.5,1.286,12.0,4.85,1.27,8.0,4.2,1.3,8.0,4.5,1.286,10.0,4.5,1.25,10.0,4.5,1.286,8.0,3.75,1.36,1.5,2.2,1556.25,1930.54
SC0,22/09/02,Livingston,Aberdeen,1,2,A,0,1,A,M McCurry,10.0,7.0,3.0,3.0,16.0,13.0,9.0,2.0,3,1,0,0,2.1,3.25,3.0,2.1,3.2,3.1,2.3,3.0,2.7,2.1,3.4,2.875,2.1,3.25,3.0,2.2,3.2,3.0,2.2,3.2,2.8,1.8,1.8,1597.09,1576.98
SC0,28/09/02,Aberdeen,Dunfermline,3,1,H,1,1,D,D Somers,14.0,10.0,7.0,7.0,16.0,13.0,5.0,8.0,3,3,0,1,2.25,3.25,2.75,2.28,3.3,2.75,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.25,3.2,2.75,1.7,1.9,1593.64,1608.7
SC0,28/09/02,Celtic,Kilmarnock,5,0,H,3,0,H,K Clark,10.0,2.0,7.0,1.0,7.0,14.0,6.0,4.0,0,0,0,0,1.167,5.5,13.0,1.2,5.55,13.0,1.15,6.0,12.0,1.17,5.5,12.0,1.17,6.0,11.0,1.17,5.5,15.0,1.16,5.5,12.0,1.5,2.5,1934.81,1592.65
SC0,28/09/02,Dundee United,Rangers,0,3,A,0,2,A,J Rowbotham,10.0,18.0,2.0,7.0,15.0,10.0,6.0,7.0,2,0,0,0,9.0,5.0,1.25,8.5,4.6,1.34,8.0,4.2,1.3,8.0,4.0,1.33,8.5,4.5,1.29,9.0,4.5,1.29,8.0,4.5,1.28,1.62,2.05,1530.43,1869.98
SC0,28/09/02,Hibernian,Livingston,1,0,H,1,0,H,A Freeland,4.0,9.0,2.0,6.0,22.0,17.0,4.0,2.0,3,4,0,0,1.833,3.25,3.75,1.9,3.3,3.7,2.1,3.0,3.1,2.1,3.4,2.88,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.25,3.4,1.7,1.9,1534.39,1580.43
SC0,28/09/02,Motherwell,Dundee,1,1,D,0,1,A,D McDonald,16.0,7.0,7.0,5.0,24.0,15.0,8.0,2.0,2,2,0,0,2.2,3.25,2.8,2.18,3.2,3.05,2.2,3.0,2.9,2.0,3.4,3.0,2.2,3.2,3.0,2.25,3.2,2.8,2.2,3.2,2.8,1.7,1.9,1528.02,1551.98
SC0,28/09/02,Partick,Hearts,2,2,D,1,1,D,I Brines,11.0,12.0,9.0,8.0,21.0,24.0,3.0,4.0,1,3,0,0,2.7,3.2,2.3,2.7,3.3,2.33,2.5,3.0,2.5,2.75,3.25,2.2,2.75,3.25,2.25,2.75,3.25,2.3,2.75,3.2,2.25,1.85,1.75,1544.21,1621.29
SC0,05/10/02,Dundee,Kilmarnock,2,1,H,0,0,D,C Thomson,18.0,6.0,12.0,2.0,14.0,11.0,12.0,4.0,2,0,0,0,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.25,2.75,2.2,3.25,2.9,2.2,3.25,2.75,1.75,1.85,1554.67,1590.83
SC0,05/10/02,Dunfermline,Partick,4,1,H,1,0,H,H Dallas,15.0,11.0,8.0,3.0,11.0,12.0,6.0,3.0,0,1,0,1,1.667,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.73,3.4,4.0,1.73,3.25,4.33,1.727,3.4,4.333,1.72,3.4,4.0,1.7,1.9,1599.2,1543.39
SC0,05/10/02,Hibernian,Dundee United,2,1,H,1,0,H,J Underhill,8.0,6.0,6.0,5.0,19.0,18.0,6.0,11.0,0,1,0,0,1.8,3.25,4.0,1.9,3.3,3.65,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.25,3.5,1.909,3.25,3.6,1.8,3.3,3.75,1.7,1.9,1544.96,1525.4
SC0,05/10/02,Motherwell,Aberdeen,1,2,A,1,0,H,K Toner,8.0,9.0,4.0,5.0,23.0,12.0,5.0,2.0,3,5,0,0,2.3,3.2,2.7,2.3,3.15,2.85,2.3,3.0,2.7,2.25,3.4,2.62,2.25,3.25,2.75,2.25,3.25,2.8,2.37,3.1,2.62,1.7,1.9,1525.33,1603.14
SC0,06/10/02,Celtic,Rangers,3,3,D,1,1,D,S Dougal,15.0,7.0,10.0,4.0,9.0,15.0,7.0,3.0,3,4,0,0,2.25,3.0,3.0,2.28,3.15,2.88,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.25,2.88,2.25,3.25,2.875,2.2,3.2,2.8,1.7,1.9,1936.63,1875.01
SC0,06/10/02,Livingston,Hearts,1,1,D,1,0,H,W Young,8.0,7.0,4.0,3.0,11.0,18.0,6.0,5.0,2,3,0,0,2.8,3.25,2.2,2.85,3.15,2.3,2.8,3.1,2.2,2.8,3.2,2.2,2.88,3.25,2.2,2.8,3.25,2.25,2.75,3.2,2.25,1.7,1.9,1569.86,1622.11
SC0,19/10/02,Aberdeen,Dundee,0,0,D,0,0,D,M McCurry,8.0,5.0,5.0,3.0,16.0,18.0,5.0,2.0,1,2,0,0,1.909,3.25,3.5,2.05,3.25,3.55,1.9,3.1,3.5,1.91,3.25,3.4,1.83,3.4,3.75,1.909,3.3,3.6,1.83,3.3,3.6,1.8,1.83,1616.44,1564.9
