Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
F1,05/10/02,Ajaccio,Nantes,1,0,H,0,0,D,2.25,2.875,3.0,2.3,3.1,3.0,2.1,3.0,3.1,,,,2.3,3.0,3.0,2.3,2.9,2.9,2.05,1.6,1638.5,1689.61
F1,05/10/02,Le Havre,Sochaux,1,0,H,0,0,D,2.5,2.875,2.625,2.53,3.05,2.9,2.6,2.8,2.6,,,,2.5,2.9,2.75,2.5,2.8,2.7,2.05,1.6,1606.84,1724.6
F1,05/10/02,Lille,Marseille,3,0,H,1,0,H,2.3,3.0,2.8,2.4,3.1,2.95,2.4,2.8,2.8,,,,2.375,3.1,2.75,2.37,2.8,2.87,1.9,1.7,1720.21,1713.48
F1,05/10/02,Montpellier,Lens,0,2,A,0,1,A,2.375,2.875,2.8,2.4,3.05,2.8,2.5,2.8,2.7,,,,2.4,2.9,2.9,2.4,2.75,2.9,1.95,1.65,1628.23,1743.77
F1,05/10/02,Nice,Bastia,2,0,H,0,0,D,1.727,3.2,4.333,1.72,3.3,4.75,1.85,3.1,3.6,,,,1.727,3.2,4.75,1.72,3.2,4.33,1.9,1.7,1670.9,1648.36
F1,05/10/02,Rennes,Lyon,0,1,A,0,0,D,2.8,3.0,2.3,2.9,3.1,2.4,2.8,2.9,2.3,,,,3.0,2.875,2.375,2.87,2.8,2.37,1.9,1.7,1621.77,1785.03
F1,05/10/02,Strasbourg,Troyes,2,1,H,1,1,D,1.8,3.1,4.0,1.9,3.05,4.05,2.0,2.8,3.6,,,,1.909,3.0,4.0,1.9,3.0,3.75,1.9,1.7,1651.61,1645.53
F1,06/10/02,Auxerre,Monaco,1,1,D,1,0,H,1.8,3.1,4.0,1.88,3.15,4.1,1.85,3.1,3.6,,,,1.85,3.1,4.0,1.8,3.0,4.2,1.8,1.8,1762.44,1691.94
F1,06/10/02,Bordeaux,Sedan,2,2,D,1,1,D,1.5,3.4,6.0,1.52,3.55,6.5,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.44,3.4,7.0,1.85,1.75,1718.34,1655.38
F1,06/10/02,Paris SG,Guingamp,5,0,H,4,0,H,1.667,3.1,5.0,1.6,3.25,5.9,1.55,3.3,5.2,,,,1.6,3.2,6.0,1.57,3.1,6.0,1.8,1.8,1743.69,1626.14
