Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
SP1,27/10/02,Sociedad,Santander,2,1,H,0,1,A,1.727,3.2,4.333,1.76,3.3,4.35,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.2,4.33,1.727,3.2,4.5,1.72,3.1,4.5,1.7,1.9,,,1715.86,1678.34
SP1,02/11/02,Ath Madrid,Vallecano,2,0,H,1,0,H,1.727,3.2,4.333,1.75,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,,1679.1,1680.48
SP1,02/11/02,La Coruna,Real Madrid,0,0,D,0,0,D,2.375,3.1,2.625,2.5,3.15,2.6,2.3,3.0,2.7,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.2,2.625,2.4,3.1,2.6,1.65,1.95,,,1781.41,1776.18
SP1,02/11/02,Valladolid,Mallorca,1,3,A,1,1,D,2.1,3.2,3.0,2.1,3.15,3.25,2.0,3.0,3.3,2.1,3.2,3.0,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.1,3.1,1.8,1.8,,,1652.79,1693.84
SP1,03/11/02,Alaves,Sevilla,1,0,H,0,0,D,2.0,3.0,3.4,2.0,3.2,3.45,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.4,2.0,3.0,3.4,1.85,1.75,,,1629.01,1670.95
SP1,03/11/02,Ath Bilbao,Celta,2,1,H,0,1,A,2.5,3.1,2.5,2.6,3.15,2.5,2.5,3.0,2.5,2.6,3.2,2.38,2.62,3.2,2.38,2.625,3.1,2.5,2.62,2.9,2.5,1.85,1.75,,,1630.33,1749.7
SP1,03/11/02,Betis,Malaga,3,0,H,0,0,D,1.8,3.1,4.0,1.91,3.2,3.8,1.85,3.0,3.8,1.73,3.2,4.33,1.83,3.25,3.75,1.833,3.25,4.0,1.72,3.2,4.33,1.8,1.8,,,1721.48,1727.27
SP1,03/11/02,Espanol,Valencia,0,1,A,0,0,D,3.0,3.0,2.2,3.15,3.15,2.15,2.7,3.0,2.3,3.2,3.0,2.1,3.1,3.2,2.1,3.1,3.2,2.15,3.1,3.1,2.1,1.8,1.8,,,1637.06,1831.09
SP1,03/11/02,Osasuna,Recreativo,0,1,A,0,0,D,1.727,3.2,4.333,1.76,3.35,4.6,1.7,3.2,4.2,1.62,3.25,5.0,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.1,4.5,1.75,1.85,,,1607.03,1583.09
SP1,03/11/02,Santander,Barcelona,1,1,D,1,0,H,3.0,3.2,2.1,3.0,3.15,2.22,3.1,3.0,2.1,2.75,3.2,2.25,2.62,3.2,2.38,3.2,3.2,2.1,2.8,2.2,2.25,1.75,1.85,,,1670.54,1745.97
SP1,03/11/02,Villarreal,Sociedad,0,1,A,0,1,A,2.5,3.1,2.5,2.4,3.15,2.75,2.3,2.9,2.8,2.5,3.2,2.5,2.38,3.2,2.62,2.4,3.1,2.7,2.4,3.0,2.7,1.65,1.95,,,1636.07,1723.66
SP1,09/11/02,Barcelona,Villarreal,1,0,H,0,0,D,1.36,3.75,8.0,1.35,4.35,7.5,1.35,4.0,7.0,1.33,4.0,8.0,1.4,4.0,6.5,1.333,4.333,8.0,1.36,3.75,8.0,1.5,2.25,,,1746.85,1623.12
SP1,09/11/02,Malaga,Osasuna,1,0,H,0,0,D,1.57,3.5,5.0,1.59,3.5,5.72,1.65,3.3,4.4,1.62,3.25,5.0,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.3,5.5,1.65,1.95,,,1718.08,1590.25
SP1,09/11/02,Sociedad,La Coruna,1,1,D,1,1,D,2.25,3.2,2.75,2.4,3.18,3.03,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.7,1.73,1.91,,,1736.61,1777.74
SP1,09/11/02,Valencia,Betis,1,1,D,0,0,D,1.66,3.3,4.5,1.73,3.4,4.62,1.75,3.2,4.0,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.3,4.5,1.72,3.2,4.33,1.86,1.86,,,1840.29,1730.67
SP1,09/11/02,Vallecano,Real Madrid,2,3,A,1,1,D,3.75,3.3,1.8,4.5,3.51,1.7,4.4,3.3,1.65,4.33,3.2,1.73,4.5,3.4,1.67,4.75,3.4,1.667,4.5,3.3,1.66,1.75,2.0,,,1671.44,1779.85
