Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,05/11/02,Arbroath,Ayr,1.0,1.0,D,0.0,1.0,A,2.37,3.5,2.37,,,,2.3,3.1,2.3,2.38,3.5,2.38,,,,2.5,3.3,2.37,1343.42,1442.0
SC1,09/11/02,Ayr,Queen of Sth,0.0,1.0,A,0.0,0.0,D,1.909,3.5,3.2,1.91,3.5,3.15,1.9,3.2,2.9,1.73,3.5,3.75,1.8,3.5,3.4,1.9,3.4,3.25,1442.05,1353.18
SC1,09/11/02,Falkirk,Alloa,3.0,0.0,H,1.0,0.0,H,1.333,4.333,7.0,1.35,4.25,6.5,1.35,4.0,5.5,1.33,4.33,7.0,1.333,4.2,7.0,1.4,3.75,7.0,1444.18,1305.26
SC1,09/11/02,Ross County,Inverness C,0.0,2.0,A,0.0,2.0,A,2.75,3.5,2.1,2.75,3.5,2.1,2.7,3.1,2.1,2.75,3.25,2.2,2.75,3.4,2.1,2.62,3.3,2.25,1406.34,1459.9
SC1,09/11/02,St Johnstone,Arbroath,2.0,0.0,H,1.0,0.0,H,1.444,3.75,6.0,1.45,3.7,6.0,1.45,3.7,4.6,1.44,4.0,5.5,1.5,3.6,5.0,1.44,3.75,6.0,1392.03,1343.37
SC1,09/11/02,St Mirren,Clyde,1.0,4.0,A,1.0,0.0,H,2.375,3.5,2.375,2.37,3.4,2.42,2.3,3.1,2.3,2.25,3.5,2.5,2.375,3.4,2.375,2.37,3.5,2.37,1366.97,1439.23
SC1,16/11/02,Alloa,Clyde,1.0,4.0,A,1.0,2.0,A,3.75,3.6,1.727,3.7,3.6,1.74,3.6,3.3,1.7,3.5,3.5,1.8,3.75,3.5,1.727,3.75,3.6,1.72,1300.22,1452.73
SC1,16/11/02,Falkirk,Ross County,2.0,0.0,H,1.0,0.0,H,1.5,3.6,5.5,1.35,4.25,6.5,1.35,3.9,5.8,1.53,3.75,5.0,1.364,4.333,6.0,1.36,4.0,7.0,1449.22,1392.18
SC1,16/11/02,Inverness C,Queen of Sth,5.0,3.0,H,2.0,1.0,H,1.533,4.0,4.5,1.5,3.7,5.2,1.5,3.5,4.5,1.57,3.75,4.5,1.533,3.6,5.0,1.53,3.6,5.0,1474.06,1371.88
SC1,16/11/02,St Johnstone,Ayr,0.0,2.0,A,0.0,1.0,A,1.571,3.75,4.5,1.6,3.5,4.55,1.55,3.4,4.3,1.57,3.75,4.5,1.571,3.6,4.5,1.57,3.5,5.0,1399.49,1423.35
SC1,16/11/02,St Mirren,Arbroath,2.0,0.0,H,2.0,0.0,H,1.833,3.5,3.4,1.9,3.45,3.2,1.9,3.2,2.9,1.91,3.5,3.2,1.909,3.5,3.1,2.0,3.4,3.0,1353.47,1335.91
SC1,23/11/02,Arbroath,Inverness C,1.0,2.0,A,0.0,1.0,A,3.75,3.6,1.727,4.1,3.6,1.68,3.8,3.3,1.65,4.0,3.6,1.67,4.0,3.5,1.667,4.33,3.6,1.61,1327.49,1480.01
SC1,23/11/02,Ayr,Alloa,3.0,1.0,H,1.0,0.0,H,1.533,4.0,4.5,1.55,3.65,5.05,1.55,3.5,4.2,1.57,3.75,4.5,1.571,3.6,4.5,1.57,3.5,5.0,1438.55,1289.59
SC1,23/11/02,Clyde,Falkirk,2.0,0.0,H,2.0,0.0,H,2.375,3.5,2.375,2.5,3.45,2.28,2.4,3.1,2.25,2.38,3.5,2.38,2.5,3.5,2.25,2.6,3.4,2.25,1463.36,1456.43
SC1,23/11/02,Queen of Sth,St Mirren,3.0,0.0,H,2.0,0.0,H,2.1,3.5,2.75,1.98,3.45,3.0,2.0,3.1,2.8,2.0,3.4,3.0,2.0,3.5,2.875,2.1,3.4,2.8,1365.93,1361.89
SC1,23/11/02,Ross County,St Johnstone,0.0,0.0,D,0.0,0.0,D,2.75,3.5,2.1,2.45,3.5,2.35,2.5,3.1,2.2,2.62,3.5,2.2,2.6,3.4,2.2,2.8,3.4,2.1,1384.97,1384.29
SC1,30/11/02,Alloa,Ross County,1.0,1.0,D,0.0,1.0,A,2.6,3.5,2.2,2.7,3.33,2.25,2.5,3.1,2.2,2.75,3.5,2.1,2.6,3.4,2.25,2.6,3.4,2.25,1284.77,1381.45
SC1,30/11/02,Arbroath,Queen of Sth,1.0,2.0,A,0.0,1.0,A,2.5,3.5,2.25,2.62,3.35,2.3,2.4,3.1,2.25,2.25,3.5,2.5,2.5,3.4,2.3,2.5,3.4,2.3,1316.87,1374.79
SC1,30/11/02,Inverness C,Clyde,1.0,0.0,H,0.0,0.0,D,1.909,3.5,3.2,1.86,3.5,3.45,1.85,3.2,3.1,2.0,3.4,3.0,1.833,3.4,3.5,1.9,3.5,3.2,1490.63,1472.13
SC1,30/11/02,St Johnstone,Falkirk,0.0,1.0,A,0.0,0.0,D,2.3,3.4,2.5,2.45,3.25,2.5,2.3,3.1,2.3,2.4,3.25,2.5,2.4,3.25,2.5,2.37,3.3,2.5,1387.81,1447.66
SC1,30/11/02,St Mirren,Ayr,1.0,0.0,H,1.0,0.0,H,2.375,3.5,2.375,2.5,3.25,2.45,2.4,3.1,2.25,2.5,3.5,2.25,2.5,3.25,2.375,2.6,3.4,2.25,1353.03,1443.37
