Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SP1,21/09/03,Mallorca,Sevilla,1,1,D,1,1,D,2.1,3.25,3.2,2.15,3.2,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1,1.74,1.85,1.9,1.8,1.9,1.9,-0.25,2.05,1.8,-0.5,2.125,1.775,-0.5,,,,,,,,1677.3,1682.21
SP1,21/09/03,Murcia,Ath Bilbao,2,2,D,1,1,D,2.37,3.2,2.75,2.45,3.1,2.7,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.3,3.1,2.75,1.85,1.74,1.9,1.8,1.85,1.95,0.0,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,,1650.6,1706.54
SP1,21/09/03,Sociedad,Zaragoza,3,0,H,0,0,D,1.57,3.4,6.0,1.6,3.4,5.5,1.6,3.3,4.8,1.5,3.4,6.0,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.3,5.5,1.7,1.9,1.8,1.9,2.05,1.75,-1.0,2.0,1.85,-1.0,2.0,1.9,-1.0,,,,,,,,1795.52,1616.12
SP1,21/09/03,Valladolid,Espanol,3,1,H,2,1,H,2.0,3.2,3.5,2.1,3.1,3.35,2.0,3.1,3.2,1.833,3.2,3.75,2.0,3.1,3.4,2.0,3.1,3.4,2.1,3.0,3.2,1.9,1.7,2.0,1.72,1.85,1.95,-0.25,2.05,1.8,-0.5,2.1,1.8,-0.5,,,,,,,,1656.14,1644.77
SP1,21/09/03,Villarreal,Celta,1,1,D,0,0,D,2.25,3.2,2.9,2.2,3.1,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.25,3.1,2.88,2.25,3.1,2.87,2.1,3.1,3.1,1.74,1.85,1.9,1.8,1.95,1.85,-0.25,1.9,1.95,-0.25,1.825,2.025,-0.25,,,,,,,,1669.69,1730.19
SP1,27/09/03,Ath Bilbao,Sociedad,1,0,H,0,0,D,2.3,3.2,2.7,2.4,3.1,2.8,2.3,3.0,2.7,2.375,3.2,2.6,2.38,3.25,2.63,2.4,3.0,2.75,2.5,3.1,2.5,1.9,1.75,1.83,1.83,1.8,2.0,0.0,1.8,2.05,0.0,1.8,2.1,0.0,,,,,,,,1708.12,1799.69
SP1,27/09/03,Celta,Valladolid,3,2,H,0,1,A,1.72,3.2,4.5,1.75,3.3,4.5,1.65,3.2,4.6,1.727,3.2,4.333,1.73,3.25,4.33,1.72,3.25,4.33,1.61,3.3,5.0,1.95,1.71,1.9,1.8,1.95,1.85,-0.75,1.95,1.9,-0.75,1.95,1.95,-0.75,,,,,,,,1731.61,1664.76
SP1,27/09/03,Osasuna,La Coruna,3,2,H,3,1,H,2.8,3.2,2.25,2.95,3.2,2.25,3.1,3.0,2.1,3.0,3.2,2.1,3.0,3.0,2.25,3.0,3.0,2.25,3.1,3.1,2.1,1.83,1.83,1.9,1.8,,,,1.8,2.05,0.25,1.85,2.05,0.25,,,,,,,,1680.74,1837.22
SP1,27/09/03,Valencia,Real Madrid,2,0,H,1,0,H,2.62,3.2,2.37,2.75,3.15,2.4,2.9,3.0,2.2,2.8,3.2,2.2,2.75,3.2,2.25,2.7,3.1,2.37,2.87,3.1,2.2,1.71,1.95,1.83,1.83,1.9,1.9,0.25,1.9,1.95,0.25,1.9,2.0,0.25,,,,,,,,1773.48,1866.15
SP1,28/09/03,Albacete,Mallorca,2,0,H,1,0,H,2.6,3.2,2.4,2.6,3.2,2.5,2.5,3.0,2.5,2.6,3.2,2.375,2.63,3.25,2.38,2.6,3.0,2.5,2.6,3.1,2.4,1.95,1.71,1.9,1.8,1.95,1.85,0.0,2.0,1.85,0.0,1.975,1.925,0.0,,,,,,,,1587.88,1673.96
SP1,28/09/03,Ath Madrid,Barcelona,0,0,D,0,0,D,2.5,3.2,2.5,2.7,3.15,2.45,2.5,3.0,2.5,2.75,3.2,2.25,2.4,3.0,2.75,2.6,3.2,2.4,2.62,3.2,2.3,1.71,1.95,1.8,1.9,1.8,2.0,0.25,1.8,2.05,0.25,1.8,2.1,0.25,,,,,,,,1625.92,1763.8
SP1,28/09/03,Espanol,Malaga,1,2,A,0,1,A,2.0,3.0,3.5,2.0,3.2,3.5,1.85,3.1,3.6,1.909,3.0,3.75,2.0,3.25,3.25,2.0,3.1,3.4,1.9,3.2,3.5,1.83,1.83,1.9,1.8,1.97,1.83,-0.5,2.0,1.85,-0.5,2.05,1.85,-0.5,,,,,,,,1636.15,1638.59
SP1,28/09/03,Santander,Villarreal,0,2,A,0,0,D,2.25,3.2,2.8,2.35,3.1,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.0,3.0,2.3,3.0,2.87,2.3,3.1,2.75,1.9,1.75,1.83,1.83,2.0,1.8,-0.25,2.05,1.8,-0.25,2.05,1.85,-0.25,,,,,,,,1640.67,1668.27
