Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SC2,01/11/03,Berwick,Arbroath,3.0,0.0,H,1.0,0.0,H,1.83,3.5,3.4,1.85,3.5,3.3,,,,1.73,3.5,3.75,,,,1.91,3.5,3.2,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,1225.31,1129.05
SC2,01/11/03,Dumbarton,Alloa,1.0,0.0,H,1.0,0.0,H,2.37,3.5,2.37,2.4,3.4,2.4,,,,2.38,3.5,2.38,,,,2.38,3.5,2.38,2.37,3.5,2.37,,,,,,,,,,,,,,,,,,,,,1161.52,1214.28
SC2,01/11/03,Forfar,Hamilton,4.0,3.0,H,0.0,2.0,A,2.2,3.4,2.62,2.15,3.5,2.65,,,,2.0,3.6,2.88,,,,2.2,3.5,2.6,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,1254.25,1219.17
SC2,01/11/03,Stenhousemuir,East Fife,3.0,0.0,H,3.0,0.0,H,2.5,3.5,2.25,2.55,3.45,2.25,,,,2.62,3.5,2.2,,,,2.5,3.5,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,1177.02,1238.68
SC2,08/11/03,Airdrie Utd,East Fife,1.0,1.0,D,0.0,0.0,D,2.0,3.4,3.0,2.0,3.55,2.9,,,,1.909,3.5,3.2,,,,2.0,3.4,3.0,2.0,3.6,2.87,,,,,,,,,,,,,,,,,,,,,1293.2,1227.55
SC2,08/11/03,Arbroath,Alloa,3.0,1.0,H,2.0,0.0,H,2.1,3.5,2.75,2.2,3.5,2.6,,,,2.2,3.5,2.625,,,,2.2,3.5,2.6,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,1122.94,1203.47
SC2,08/11/03,Berwick,Dumbarton,1.0,4.0,A,1.0,4.0,A,1.72,3.6,3.75,1.72,3.6,3.7,,,,1.667,3.6,4.0,,,,1.75,3.6,3.6,1.72,3.5,3.8,,,,,,,,,,,,,,,,,,,,,1231.42,1172.33
SC2,08/11/03,Morton,Forfar,1.0,1.0,D,1.0,1.0,D,1.66,3.6,4.0,1.62,3.65,4.2,,,,1.8,3.5,3.5,,,,1.61,3.6,4.33,1.61,3.6,4.33,,,,,,,,,,,,,,,,,,,,,1323.43,1262.12
SC2,08/11/03,Stenhousemuir,Hamilton,0.0,3.0,A,0.0,0.0,D,2.37,3.5,2.37,2.3,3.5,2.45,,,,2.2,3.5,2.625,,,,2.3,3.4,2.5,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,1188.15,1211.3
SC2,16/11/03,Alloa,Berwick,2.0,3.0,A,1.0,1.0,D,2.5,3.5,2.25,2.5,3.4,2.3,,,,2.62,3.5,2.2,,,,2.5,3.5,2.25,2.5,3.5,2.25,,,,,,,,,,,,,,,,,,,,,1191.67,1213.57
SC2,16/11/03,Dumbarton,Airdrie Utd,2.0,0.0,H,0.0,0.0,D,2.6,3.5,2.2,2.7,3.4,2.15,,,,2.5,3.5,2.25,,,,2.62,3.4,2.2,2.62,3.4,2.2,,,,,,,,,,,,,,,,,,,,,1190.18,1287.65
SC2,16/11/03,East Fife,Morton,0.0,0.0,D,0.0,0.0,D,2.6,3.5,2.2,2.65,3.4,2.2,,,,2.5,3.5,2.25,,,,2.6,3.4,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,1233.1,1318.01
SC2,16/11/03,Forfar,Stenhousemuir,2.0,0.0,H,1.0,0.0,H,1.8,3.5,3.5,1.8,3.5,3.5,,,,1.67,3.6,4.0,,,,1.8,3.5,3.5,1.8,3.5,3.5,,,,,,,,,,,,,,,,,,,,,1267.54,1172.93
SC2,22/11/03,Hamilton,Arbroath,2.0,0.0,H,0.0,0.0,D,1.9,3.5,3.2,1.95,3.4,3.1,,,,1.83,3.5,3.4,,,,2.0,3.4,3.0,1.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,1226.52,1134.74
SC2,29/11/03,Berwick,Stenhousemuir,2.0,1.0,H,2.0,0.0,H,1.72,3.6,3.75,1.75,3.5,3.7,,,,1.73,3.5,3.75,,,,1.75,3.5,3.75,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,1228.83,1166.78
SC2,02/12/03,Alloa,East Fife,2.0,0.0,H,2.0,0.0,H,2.75,3.5,2.1,2.8,3.4,2.1,,,,2.62,3.5,2.2,,,,2.75,3.5,2.1,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,1176.41,1232.56
SC2,02/12/03,Arbroath,Airdrie Utd,1.0,1.0,D,0.0,0.0,D,2.5,3.5,2.25,,,,,,,,,,,,,2.6,3.4,2.25,2.62,3.4,2.2,,,,,,,,,,,,,,,,,,,,,1128.52,1275.24
SC2,02/12/03,Hamilton,Morton,1.0,2.0,A,0.0,1.0,A,3.0,3.4,2.0,2.75,3.35,2.15,,,,2.75,3.25,2.2,,,,2.75,3.5,2.1,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,1232.74,1318.55
SC2,06/12/03,Airdrie Utd,Berwick,1.0,1.0,D,1.0,0.0,H,2.1,3.5,2.75,2.15,3.4,2.8,,,,2.1,3.5,2.75,,,,2.1,3.4,2.8,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,1273.57,1235.89
SC2,06/12/03,East Fife,Hamilton,2.0,3.0,A,1.0,0.0,H,2.25,3.5,2.5,2.25,3.35,2.7,,,,2.0,3.4,3.0,,,,2.25,3.4,2.6,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1221.63,1219.73
SC2,06/12/03,Forfar,Alloa,1.0,1.0,D,0.0,0.0,D,1.57,3.75,4.5,1.55,3.7,5.0,,,,1.533,3.5,5.5,,,,1.57,3.75,4.5,1.57,3.75,4.5,,,,,,,,,,,,,,,,,,,,,1273.69,1187.34
SC2,06/12/03,Morton,Arbroath,6.0,4.0,H,2.0,2.0,D,1.5,3.8,5.0,1.45,4.0,5.75,,,,1.5,3.6,5.5,,,,1.44,3.75,6.0,1.44,3.75,6.0,,,,,,,,,,,,,,,,,,,,,1331.56,1130.19
SC2,06/12/03,Stenhousemuir,Dumbarton,1.0,1.0,D,1.0,1.0,D,2.37,3.5,2.37,2.35,3.35,2.55,,,,2.25,3.5,2.5,,,,2.3,3.4,2.5,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1159.72,1202.59
SC2,13/12/03,Airdrie Utd,Forfar,3.0,3.0,D,1.0,1.0,D,2.25,3.5,2.5,2.2,3.45,2.6,,,,2.25,3.5,2.5,,,,2.2,3.5,2.62,2.2,3.3,2.7,,,,,,,,,,,,,,,,,,,,,1268.86,1267.56
SC2,13/12/03,Alloa,Hamilton,1.0,3.0,A,0.0,0.0,D,2.5,3.5,2.25,2.5,3.5,2.25,,,,2.5,3.5,2.25,,,,2.75,3.5,2.1,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,1193.47,1235.79
SC2,13/12/03,Arbroath,Stenhousemuir,2.0,1.0,H,1.0,0.0,H,2.0,3.4,3.0,2.1,3.5,2.75,,,,2.0,3.6,2.875,,,,2.0,3.6,2.87,2.2,3.3,2.7,,,,,,,,,,,,,,,,,,,,,1126.44,1157.68
SC2,13/12/03,Berwick,Morton,2.0,3.0,A,0.0,2.0,A,2.75,3.5,2.1,2.75,3.5,2.1,,,,2.5,3.5,2.25,,,,2.62,3.4,2.2,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,1240.6,1335.31
