Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
T1,04/10/03,Istanbulspor,Denizlispor,0,3,A,0,2,A,1.66,3.4,4.33,1.65,3.4,4.25,1.75,3.2,4.0,1.615,3.6,4.5,1.7,3.4,4.33,1.8,3.3,3.6,1.6,2.1,1.85,1.85,-0.75,1496.62,1469.32
T1,04/10/03,Malatyaspor,Bursaspor,2,1,H,1,1,D,1.61,3.5,4.5,1.65,3.4,4.25,1.6,3.4,4.6,1.571,3.75,4.5,1.61,3.5,4.75,1.66,3.3,4.33,1.6,2.1,1.85,1.85,-0.75,1510.55,1418.24
T1,05/10/03,Diyarbakirspor,Samsunspor,2,2,D,0,1,A,1.9,3.25,3.4,1.91,3.25,3.3,1.9,3.3,3.3,1.8,3.4,3.6,1.91,3.25,3.5,1.9,3.25,3.3,1.6,2.1,1.9,1.8,-0.5,1395.24,1421.25
T1,05/10/03,Elazigspor,Besiktas,1,5,A,1,2,A,6.0,3.75,1.44,6.0,3.8,1.41,5.4,3.8,1.45,6.0,3.75,1.444,6.5,3.75,1.44,6.5,3.6,1.44,1.5,2.3,1.9,1.8,1.25,1390.03,1745.93
T1,05/10/03,Gaziantepspor,Rizespor,2,0,H,1,0,H,1.72,3.4,4.0,1.75,3.3,3.85,1.75,3.3,3.9,1.667,3.6,4.0,1.66,3.4,4.5,1.72,3.25,4.0,1.65,2.0,1.95,1.75,-0.75,1539.06,1456.13
T1,05/10/03,Trabzonspor,Ankaragucu,3,0,H,1,0,H,1.66,3.4,4.33,1.65,3.4,4.25,1.7,3.3,4.0,1.571,3.5,5.0,1.61,3.5,4.75,1.72,3.25,4.0,1.65,2.0,1.9,1.8,-0.75,1487.14,1492.51
T1,17/10/03,Rizespor,Galatasaray,0,1,A,0,1,A,4.0,3.4,1.72,4.28,3.55,1.55,4.2,3.2,1.7,4.5,3.75,1.571,4.5,3.5,1.66,4.33,3.4,1.66,1.65,2.0,1.77,1.95,1.0,1449.66,1706.9
T1,18/10/03,Adanaspor,Konyaspor,1,1,D,0,1,A,2.0,3.2,3.2,1.95,3.3,3.0,1.9,3.2,3.4,1.909,3.4,3.25,2.0,3.2,3.3,2.0,3.4,2.9,1.6,2.1,1.88,1.83,-0.5,1394.67,1402.99
T1,18/10/03,Ankaragucu,Elazigspor,1,0,H,1,0,H,1.53,3.4,5.5,1.45,3.6,5.5,1.45,3.8,5.4,1.533,3.75,5.0,1.44,3.75,6.5,1.44,3.8,5.5,1.6,2.1,1.77,1.95,-1.0,1483.33,1385.37
T1,18/10/03,Besiktas,Diyarbakirspor,1,0,H,1,0,H,1.12,6.5,13.0,1.1,5.8,15.0,1.15,6.0,12.0,1.1,7.5,12.0,1.12,6.5,15.0,1.12,6.0,15.0,1.45,2.45,,,,1750.59,1392.62
