Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,EloHome,EloAway
P1,21/09/03,Nacional,Leiria,0,2,A,0,1,A,1.8,3.25,3.75,1.77,3.3,4.25,,,,1.75,3.4,4.0,1.7,3.3,4.1,1.9,1.75,1.8,2.0,-0.5,,,,,,,,,,,,,,,,,,1437.97,1487.05
P1,21/09/03,Porto,Benfica,2,0,H,1,0,H,1.72,3.2,4.33,1.77,3.3,4.25,1.7,3.2,4.2,1.72,3.25,4.33,1.72,3.25,4.2,1.65,2.0,1.95,1.85,-0.75,,,,,,,,,,,,,,,,,,1741.69,1655.06
P1,22/09/03,Belenenses,Guimaraes,2,0,H,1,0,H,1.9,3.2,3.5,1.83,3.25,4.0,1.8,3.1,3.8,1.9,3.25,3.5,1.9,3.25,3.3,1.65,2.0,1.85,1.95,-0.5,,,,,,,,,,,,,,,,,,1478.85,1441.53
P1,26/09/03,Rio Ave,Boavista,1,2,A,0,1,A,3.0,3.2,2.1,3.15,3.15,2.1,3.2,3.1,2.0,3.2,3.2,2.0,3.2,3.2,2.0,2.1,1.6,1.9,1.9,0.5,,,,,,,,,,,,,,,,,,1372.21,1548.77
P1,27/09/03,Guimaraes,Porto,1,2,A,1,1,D,4.33,3.4,1.66,4.4,3.4,1.7,4.0,3.3,1.7,4.2,3.4,1.7,4.33,3.4,1.66,1.71,1.95,2.0,1.8,0.75,,,,,,,,,,,,,,,,,,1433.73,1748.05
P1,28/09/03,Academica,Belenenses,0,1,A,0,0,D,2.1,3.2,3.0,2.15,3.2,3.0,2.2,3.0,2.9,2.2,3.2,2.8,2.0,3.3,3.0,1.71,1.95,1.95,1.85,-0.25,,,,,,,,,,,,,,,,,,1464.09,1486.65
P1,28/09/03,Benfica,Nacional,1,0,H,1,0,H,1.25,5.0,8.5,1.28,4.75,8.5,1.3,4.2,8.0,1.28,4.33,8.5,1.28,4.5,8.0,1.65,2.0,1.95,1.85,-1.5,,,,,,,,,,,,,,,,,,1648.7,1423.65
P1,28/09/03,Est Amadora,Maritimo,1,0,H,1,0,H,3.0,3.2,2.1,3.0,3.2,2.15,2.9,3.0,2.2,3.0,3.2,2.1,2.8,3.3,2.1,1.75,1.9,1.9,1.9,0.25,,,,,,,,,,,,,,,,,,1369.49,1513.29
P1,28/09/03,Leiria,Moreirense,2,1,H,0,1,A,2.0,3.2,3.2,2.02,3.2,3.3,1.85,3.2,3.5,2.0,3.2,3.2,2.0,3.3,3.0,1.9,1.75,2.02,1.75,-0.5,,,,,,,,,,,,,,,,,,1501.37,1451.72
P1,28/09/03,Pacos Ferreira,Alverca,0,3,A,0,0,D,1.83,3.25,3.75,1.9,3.25,3.65,1.85,3.2,3.5,1.9,3.25,3.4,1.95,3.3,3.1,2.1,1.6,1.9,1.9,-0.5,,,,,,,,,,,,,,,,,,1445.46,1378.73
P1,28/09/03,Sp Braga,Beira Mar,0,2,A,0,1,A,1.66,3.4,4.33,1.67,3.4,4.65,1.7,3.2,4.2,1.66,3.4,4.33,1.6,3.4,4.6,1.95,1.71,1.9,1.9,-0.75,,,,,,,,,,,,,,,,,,1477.18,1442.68
P1,29/09/03,Sp Lisbon,Gil Vicente,1,0,H,0,0,D,1.33,4.33,7.0,1.33,4.3,8.0,1.35,4.0,7.0,1.33,4.2,7.5,1.4,3.7,6.5,1.6,2.1,2.0,1.8,-1.5,,,,,,,,,,,,,,,,,,1597.24,1423.96
P1,03/10/03,Boavista,Belenenses,1,1,D,0,1,A,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.1,4.4,1.73,3.5,4.33,1.72,3.2,4.33,1.95,1.71,1.9,1.9,-0.75,,,,,,,,,,,,,,,,,,1558.56,1501.89
P1,04/10/03,Maritimo,Sp Lisbon,2,1,H,0,1,A,2.75,3.25,2.2,3.0,3.25,2.1,3.1,3.0,2.1,2.8,3.25,2.2,2.6,3.3,2.3,1.9,1.75,1.9,1.9,0.25,,,,,,,,,,,,,,,,,,1499.22,1601.53
P1,04/10/03,Moreirense,Benfica,1,4,A,0,2,A,3.75,3.25,1.83,3.95,3.3,1.8,3.8,3.1,1.8,4.0,3.25,1.8,4.33,3.4,1.66,1.79,1.83,2.0,1.8,0.5,,,,,,,,,,,,,,,,,,1444.29,1652.04
P1,05/10/03,Beira Mar,Est Amadora,3,0,H,2,0,H,1.66,3.4,4.5,1.65,3.5,4.55,1.6,3.4,4.6,1.61,3.5,4.5,1.55,3.5,4.8,1.75,1.9,1.85,1.95,-0.75,,,,,,,,,,,,,,,,,,1459.79,1383.56
P1,05/10/03,Gil Vicente,Leiria,2,0,H,1,0,H,2.0,3.2,3.2,1.9,3.25,3.6,1.85,3.1,3.6,1.9,3.25,3.5,1.8,3.3,3.6,1.79,1.85,1.9,1.9,-0.5,,,,,,,,,,,,,,,,,,1419.67,1508.8
P1,05/10/03,Nacional,Guimaraes,4,2,H,0,0,D,2.1,3.2,3.0,2.15,3.2,3.0,2.1,3.0,3.1,2.1,3.25,3.0,2.1,3.3,2.8,1.9,1.75,1.95,1.85,-0.25,,,,,,,,,,,,,,,,,,1420.31,1428.09
P1,05/10/03,Porto,Academica,4,1,H,3,1,H,1.16,5.5,13.0,1.2,5.3,11.0,1.15,6.0,12.0,1.16,6.0,12.0,1.14,6.0,12.0,1.6,2.1,1.9,1.9,-1.75,,,,,,,,,,,,,,,,,,1753.69,1448.85
P1,05/10/03,Rio Ave,Pacos Ferreira,2,1,H,0,0,D,2.1,3.2,3.0,2.0,3.25,3.3,1.9,3.1,3.5,1.9,3.2,3.6,1.95,3.3,3.1,1.95,1.71,2.0,1.8,-0.5,,,,,,,,,,,,,,,,,,1362.42,1427.38
P1,06/10/03,Alverca,Sp Braga,1,2,A,0,1,A,2.2,3.25,2.75,2.25,3.15,2.85,2.2,3.0,2.9,2.1,3.2,3.1,2.05,3.3,2.9,1.95,1.71,2.0,1.8,-0.25,,,,,,,,,,,,,,,,,,1396.81,1460.07
P1,17/10/03,Guimaraes,Moreirense,3,0,H,2,0,H,1.9,3.25,3.4,1.85,3.25,3.8,1.8,3.1,3.8,1.85,3.3,3.5,1.75,3.3,3.8,1.83,1.83,1.85,1.95,-0.5,,,,,,,,,,,,,,,,,,1418.83,1435.55
P1,18/10/03,Academica,Nacional,0,1,A,0,0,D,2.0,3.2,3.2,1.85,3.25,3.8,2.0,3.1,3.2,1.85,3.3,3.5,1.75,3.3,3.8,1.83,1.83,1.85,1.95,-0.5,,,,,,,,,,,,,,,,,,1446.63,1429.57
P1,18/10/03,Belenenses,Porto,1,4,A,1,2,A,4.2,3.5,1.66,4.2,3.4,1.73,3.8,3.1,1.8,4.33,3.4,1.66,3.8,3.3,1.75,1.65,2.0,2.07,1.73,0.5,,,,,,,,,,,,,,,,,,1507.17,1755.91
P1,18/10/03,Pacos Ferreira,Boavista,0,3,A,0,3,A,3.4,3.25,1.9,3.5,3.25,1.93,3.2,3.1,2.0,3.4,3.25,1.9,3.4,3.3,1.85,2.0,1.65,1.87,1.93,0.5,,,,,,,,,,,,,,,,,,1416.14,1553.28
P1,19/10/03,Benfica,Gil Vicente,2,1,H,1,1,D,1.33,4.33,7.0,1.3,4.5,8.2,1.25,4.5,9.0,1.3,4.33,8.0,1.28,4.5,7.25,1.71,1.95,1.9,1.9,-1.5,,,,,,,,,,,,,,,,,,1660.78,1431.78
P1,19/10/03,Est Amadora,Alverca,0,3,A,0,1,A,2.1,3.25,3.0,2.15,3.3,2.9,2.1,3.0,3.1,2.2,3.25,2.75,2.05,3.35,2.85,1.95,1.71,1.9,1.9,-0.25,,,,,,,,,,,,,,,,,,1376.91,1382.99
P1,19/10/03,Leiria,Maritimo,2,2,D,2,1,H,2.37,3.25,2.5,2.35,3.25,2.65,2.2,3.1,2.8,2.37,3.1,2.6,2.4,3.1,2.5,2.0,1.65,1.8,2.0,0.0,,,,,,,,,,,,,,,,,,1496.69,1511.8
P1,19/10/03,Sp Braga,Rio Ave,1,1,D,1,0,H,1.5,3.5,6.0,1.55,3.6,5.3,1.55,3.4,5.0,1.53,3.4,5.5,1.5,3.5,5.4,1.95,1.71,2.0,1.8,-1.0,,,,,,,,,,,,,,,,,,1473.89,1373.66
P1,20/10/03,Sp Lisbon,Beira Mar,3,1,H,2,1,H,1.4,3.75,7.0,1.4,4.0,6.8,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.9,6.0,1.71,1.95,1.9,1.9,-1.25,,,,,,,,,,,,,,,,,,1588.95,1466.44
