Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,17/10/03,Charleroi,Anderlecht,0,1,A,0,1,A,6.5,4.0,1.4,6.5,4.0,1.4,8.0,4.2,1.3,7.0,3.75,1.4,7.5,4.5,1.3,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1441.55,1806.41
B1,18/10/03,Bergen,Antwerp,1,0,H,0,0,D,1.83,3.4,3.5,1.9,3.3,3.4,1.8,3.3,3.6,1.9,3.25,3.4,1.95,3.25,3.15,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1490.39,1459.16
B1,18/10/03,Club Brugge,Westerlo,4,0,H,3,0,H,1.16,5.5,11.0,1.18,5.2,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1780.05,1540.75
B1,18/10/03,Germinal,Beveren,2,1,H,1,0,H,1.8,3.5,3.5,1.8,3.4,3.7,1.7,3.3,4.0,1.8,3.4,3.6,1.7,3.5,3.8,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1517.12,1450.66
B1,18/10/03,Lokeren,Heusden Zolder,3,0,H,2,0,H,1.83,3.4,3.5,1.9,3.3,3.4,1.65,3.4,4.2,1.66,3.5,4.2,1.9,3.25,3.3,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1565.0,1445.21
B1,18/10/03,Mouscron,St Truiden,2,1,H,1,0,H,1.66,3.4,4.33,1.67,3.5,4.25,1.9,3.2,3.4,1.85,3.4,3.4,1.6,3.4,4.6,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1533.84,1637.0
B1,18/10/03,Standard,Gent,2,0,H,1,0,H,1.8,3.5,3.5,1.75,3.3,4.0,1.8,3.3,3.6,1.75,3.5,3.75,1.83,3.3,3.6,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1614.21,1601.91
B1,19/10/03,Genk,Cercle Brugge,3,1,H,2,0,H,1.3,4.33,8.0,1.3,4.25,8.5,1.3,4.2,8.0,1.33,4.0,8.0,1.3,4.0,8.5,1.65,2.0,,,,,,,,,,,,,,,,,,,,,,,1689.94,1515.04
B1,19/10/03,Lierse,Louvieroise,1,1,D,0,0,D,1.8,3.4,3.6,1.85,3.3,3.65,1.85,3.2,3.5,1.8,3.4,3.6,1.8,3.3,3.6,1.79,1.85,,,,,,,,,,,,,,,,,,,,,,,1590.82,1503.72
B1,25/10/03,Anderlecht,Germinal,4,0,H,3,0,H,1.22,5.0,9.5,1.22,5.0,10.0,1.17,5.5,11.0,1.16,5.5,12.0,1.16,5.5,12.0,1.45,2.45,,,,,,,,,,,,,,,,,,,,,,,1810.88,1524.05
