Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,15/11/03,Stirling,Queens Park,1.0,0.0,H,0.0,0.0,D,1.44,3.75,6.0,1.45,3.9,5.5,,,,1.44,4.0,5.5,,,,1.44,4.0,5.5,1.44,4.0,5.5,1142.6,962.29
SC3,15/11/03,Stranraer,Peterhead,0.0,2.0,A,0.0,1.0,A,1.83,3.5,3.4,1.8,3.5,3.5,,,,1.62,4.0,4.0,,,,1.8,3.4,3.6,1.8,3.4,3.6,1146.73,1105.13
SC3,29/11/03,East Stirling,Peterhead,1.0,3.0,A,0.0,2.0,A,5.0,3.8,1.5,4.45,3.7,1.58,,,,4.5,3.75,1.57,,,,4.5,3.75,1.57,5.0,3.6,1.53,800.15,1122.46
SC3,29/11/03,Elgin,Stranraer,1.0,3.0,A,1.0,2.0,A,4.33,3.6,1.61,3.9,3.5,1.7,,,,4.0,3.6,1.67,,,,3.8,3.6,1.7,4.5,3.75,1.57,891.55,1129.4
SC3,02/12/03,Albion Rvs,Stirling,0.0,3.0,A,0.0,3.0,A,3.2,3.5,1.9,3.45,3.45,1.82,,,,3.75,3.5,1.73,,,,3.5,3.5,1.8,3.4,3.5,1.83,1081.25,1146.75
SC3,02/12/03,Gretna,Cowdenbeath,1.0,0.0,H,1.0,0.0,H,2.0,3.4,3.0,,,,,,,2.1,3.5,2.75,,,,2.2,3.4,2.62,2.25,3.4,2.6,1091.42,1093.17
SC3,02/12/03,Montrose,Queens Park,0.0,0.0,D,0.0,0.0,D,2.0,3.6,2.87,1.93,3.4,3.15,,,,1.91,3.5,3.2,,,,1.91,3.5,3.2,2.1,3.5,2.75,989.31,958.14
SC3,06/12/03,Cowdenbeath,Elgin,3.0,2.0,H,2.0,1.0,H,1.53,3.75,4.75,1.53,3.7,5.25,,,,1.571,3.75,4.5,,,,1.53,3.6,5.0,1.5,3.6,5.5,1084.11,883.76
SC3,06/12/03,Peterhead,Albion Rvs,2.0,1.0,H,2.0,0.0,H,1.61,3.6,4.33,1.62,3.65,4.5,,,,1.667,3.6,4.0,,,,1.6,3.6,4.5,1.61,3.6,4.33,1127.9,1067.51
SC3,06/12/03,Queens Park,East Stirling,3.0,0.0,H,2.0,0.0,H,1.57,3.75,4.5,1.53,3.75,5.0,,,,1.444,4.0,5.5,,,,1.5,3.75,5.25,1.5,3.8,5.0,962.65,794.71
SC3,06/12/03,Stirling,Gretna,0.0,1.0,A,0.0,1.0,A,1.72,3.6,3.75,1.7,3.6,4.0,,,,1.727,3.5,3.75,,,,1.66,3.6,4.0,1.72,3.6,3.75,1160.49,1100.48
SC3,06/12/03,Stranraer,Montrose,2.0,0.0,H,1.0,0.0,H,1.61,3.6,4.33,1.7,3.6,4.0,,,,1.667,3.6,4.0,,,,1.66,3.6,4.0,1.61,3.75,4.2,1137.19,984.8
