Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,EloHome,EloAway
SC1,22/11/03,Ross County,Raith Rvs,3,2,H,1,0,H,1.9,3.5,3.2,1.95,3.3,3.2,1.9,3.2,2.9,1.8,3.5,3.5,,,,2.0,3.4,3.0,2.0,3.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1360.01,1311.69
SC1,22/11/03,St Johnstone,Falkirk,0,4,A,0,2,A,2.0,3.4,3.0,2.15,3.2,2.85,2.1,3.1,2.7,2.0,3.4,3.0,,,,2.1,3.4,2.8,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,,,,,1483.74,1519.87
SC1,22/11/03,St Mirren,Inverness C,0,4,A,0,2,A,2.5,3.4,2.3,2.4,3.25,2.47,2.3,3.1,2.3,2.5,3.5,2.25,,,,2.38,3.5,2.38,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1334.39,1464.69
SC1,29/11/03,Ayr,Ross County,1,3,A,1,2,A,2.6,3.5,2.2,2.65,3.4,2.2,2.5,3.1,2.2,2.38,3.5,2.38,,,,2.6,3.4,2.25,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,1349.34,1367.48
SC1,29/11/03,Falkirk,Clyde,0,2,A,0,0,D,1.83,3.5,3.4,1.85,3.35,3.45,1.8,3.2,3.3,1.8,3.5,3.5,,,,1.83,3.5,3.4,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,1534.64,1512.61
SC1,29/11/03,Inverness C,Brechin,5,0,H,3,0,H,1.4,4.33,5.5,1.4,4.0,6.1,1.4,3.8,5.0,1.4,4.33,5.5,,,,1.4,4.0,6.0,1.5,3.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,1476.1,1276.07
SC1,29/11/03,Raith Rvs,St Johnstone,1,4,A,0,1,A,3.0,3.4,2.0,2.8,3.4,2.1,2.8,3.1,2.0,3.2,3.5,1.91,,,,2.75,3.5,2.1,3.2,3.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,1304.22,1468.97
SC1,03/12/03,Queen of Sth,St Mirren,1,2,A,0,1,A,1.66,3.6,4.0,1.62,3.65,4.5,,,,1.57,3.75,4.5,,,,1.62,3.5,4.5,1.61,3.6,4.33,,,,,,,,,,,,,,,,,,,,,,,,,1449.9,1322.98
SC1,06/12/03,Brechin,Falkirk,2,2,D,2,0,H,4.0,3.6,1.66,4.25,3.5,1.68,3.6,3.3,1.7,3.75,3.5,1.727,,,,4.2,3.5,1.66,4.33,3.6,1.61,,,,,,,,,,,,,,,,,,,,,,,,,1272.3,1517.92
SC1,06/12/03,Clyde,Raith Rvs,0,0,D,0,0,D,1.57,3.75,4.5,1.6,3.6,4.7,1.55,3.5,4.2,1.4,4.0,6.0,,,,1.57,3.6,4.75,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1529.33,1294.02
SC1,06/12/03,Inverness C,Queen of Sth,4,1,H,0,1,A,1.8,3.5,3.5,1.95,3.35,3.3,1.85,3.3,3.0,1.8,3.5,3.5,,,,1.8,3.4,3.5,1.8,3.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,1479.87,1430.23
SC1,06/12/03,St Johnstone,Ross County,1,1,D,1,0,H,1.72,3.6,3.75,1.77,3.5,3.75,1.75,3.4,3.3,1.727,3.5,3.75,,,,1.83,3.4,3.5,1.9,3.4,3.25,,,,,,,,,,,,,,,,,,,,,,,,,1479.17,1382.87
SC1,06/12/03,St Mirren,Ayr,3,2,H,1,0,H,1.83,3.5,3.4,1.95,3.35,3.3,1.8,3.3,3.2,1.8,3.5,3.5,,,,1.9,3.4,3.25,1.9,3.4,3.25,,,,,,,,,,,,,,,,,,,,,,,,,1342.65,1333.95
SC1,13/12/03,Ayr,St Johnstone,1,1,D,0,0,D,4.0,3.6,1.667,3.8,3.6,1.7,3.4,3.3,1.75,3.75,3.5,1.727,,,,3.75,3.6,1.72,4.0,3.6,1.66,,,,,,,,,,,,,,,,,,,,,,,,,1325.24,1472.77
SC1,13/12/03,Falkirk,St Mirren,0,0,D,0,0,D,1.615,3.6,4.333,1.65,3.5,4.2,1.75,3.3,3.4,1.615,3.5,4.5,,,,1.66,3.5,4.2,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,,,,,1512.97,1351.36
SC1,13/12/03,Queen of Sth,Brechin,1,0,H,0,0,D,1.533,3.75,4.75,1.55,3.7,4.7,1.6,3.4,3.8,1.5,3.6,5.5,,,,1.53,3.8,4.75,1.61,3.6,4.33,,,,,,,,,,,,,,,,,,,,,,,,,1422.8,1277.25
SC1,13/12/03,Raith Rvs,Inverness C,1,3,A,1,0,H,3.4,3.5,1.833,3.4,3.5,1.83,3.2,3.3,1.8,3.75,3.5,1.727,,,,3.4,3.4,1.85,3.75,3.6,1.72,,,,,,,,,,,,,,,,,,,,,,,,,1303.35,1487.3
SC1,13/12/03,Ross County,Clyde,0,1,A,0,1,A,2.375,3.5,2.375,2.35,3.3,2.5,2.2,3.1,2.5,2.2,3.5,2.625,,,,2.3,3.4,2.5,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1389.27,1520.0
SC1,20/12/03,Clyde,Ayr,2,1,H,0,0,D,1.444,3.75,6.0,1.45,3.8,5.65,1.5,3.6,4.4,1.4,4.0,6.0,,,,1.44,3.75,6.0,1.5,3.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1531.4,1326.94
SC1,20/12/03,Ross County,Brechin,2,1,H,1,0,H,1.533,3.75,4.75,1.5,3.7,5.25,1.5,3.6,4.4,1.571,3.75,4.5,,,,1.44,4.0,5.5,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1377.87,1272.36
