Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E3,30/08/03,Scunthorpe,Torquay,2,1,H,0,1,A,P Crossley,15,12,7,3,10,11,8,1,2,2,1,0,2.0,3.25,3.25,2.0,3.25,3.3,1.9,3.1,3.0,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.3,3.3,,,,,,,,,1201.55,1163.74
E3,30/08/03,Southend,Bury,1,0,H,0,0,D,Steve Tanner,16,13,8,11,5,17,5,5,2,4,0,0,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.0,2.6,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.1,3.2,3.0,,,,,,,,,1068.15,1191.88
E3,30/08/03,Swansea,Mansfield,4,1,H,1,1,D,L Probert,15,7,5,3,12,13,6,7,0,6,0,2,1.909,3.25,3.5,1.9,3.35,3.5,1.9,3.1,3.0,1.909,3.4,3.25,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.4,3.25,,,,,,,,,1140.03,1174.46
E3,05/09/03,Cambridge,Lincoln,0,0,D,0,0,D,I Williamson,11,13,8,6,8,21,6,5,1,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.9,3.1,3.0,1.909,3.2,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,2.05,1.65,,,,,,,1132.73,1160.14
E3,05/09/03,Cheltenham,Northampton,4,3,H,0,2,A,T Kettle,15,7,8,5,11,18,6,7,3,3,0,0,2.375,3.2,2.625,2.4,3.2,2.7,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.3,3.2,2.7,2.3,3.2,2.62,1.71,2.0,,,,,,,1219.75,1148.55
E3,06/09/03,Boston,Scunthorpe,1,1,D,1,1,D,N Miller,8,18,1,6,16,13,4,14,3,3,0,0,2.375,3.2,2.625,2.3,3.25,2.8,2.3,3.0,2.4,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.62,2.0,1.71,,,,,,,1159.45,1209.34
E3,06/09/03,Bristol Rvs,Kidderminster,1,0,H,0,0,D,A Butler,13,11,5,2,14,8,8,5,2,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.85,3.1,3.2,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,2.0,1.71,,,,,,,1140.2,1144.95
E3,06/09/03,Bury,Huddersfield,2,1,H,1,0,H,A Marriner,12,13,6,8,9,12,1,6,1,1,0,1,2.25,3.25,2.75,2.25,3.25,2.85,2.3,3.0,2.4,2.375,3.2,2.6,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,,,,,,,1178.53,1211.66
E3,06/09/03,Darlington,Carlisle,2,0,H,2,0,H,F Stretton,9,1,4,1,14,14,6,3,1,5,1,0,1.909,3.25,3.5,1.85,3.3,3.85,1.85,3.1,3.2,1.909,3.2,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.3,3.3,2.05,1.65,,,,,,,1088.33,1061.09
E3,06/09/03,Mansfield,Macclesfield,3,2,H,1,2,A,K Wright,16,11,7,4,9,19,8,3,0,2,0,0,1.833,3.25,3.75,1.85,3.3,3.85,1.8,3.1,3.4,1.8,3.25,3.75,1.8,3.25,4.0,1.83,3.25,3.75,1.8,3.3,3.75,1.6,2.15,,,,,,,1164.29,1141.33
