Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
D2,21/09/03,Osnabruck,Erzgebirge Aue,0,1,A,0,0,D,2.0,3.2,3.2,1.9,3.15,3.55,1.9,3.1,3.5,1.9,3.3,3.3,1.85,3.25,3.45,1.71,2.0,2.2,1.6,-0.75,1464.69,1456.95
D2,22/09/03,Nurnberg,Greuther Furth,1,1,D,1,0,H,1.8,3.25,3.75,1.9,3.2,3.5,2.0,3.1,3.2,1.8,3.1,4.0,1.95,2.9,3.55,1.65,2.05,2.0,1.7,-0.75,1513.91,1584.25
D2,26/09/03,Cottbus,Ahlen,3,2,H,2,0,H,1.57,3.5,5.0,1.55,3.65,4.9,1.6,3.4,4.6,1.57,3.6,4.5,1.6,3.4,4.6,1.55,2.15,1.75,2.0,-0.75,1549.63,1457.34
D2,26/09/03,Lubeck,Aachen,3,5,A,1,3,A,2.0,3.2,3.2,1.91,3.25,3.4,2.0,3.1,3.2,1.95,3.2,3.2,2.0,3.2,3.1,1.6,2.15,1.83,1.83,-0.5,1478.55,1500.04
D2,26/09/03,Unterhaching,Union Berlin,1,1,D,1,0,H,1.57,3.5,5.0,1.55,3.55,5.1,1.6,3.4,4.6,1.57,3.6,4.5,1.55,3.4,5.0,1.6,2.15,1.75,2.0,-0.75,1512.72,1485.64
D2,28/09/03,Bielefeld,Burghausen,3,1,H,1,1,D,1.66,3.3,4.5,1.65,3.4,4.45,1.7,3.2,4.2,1.66,3.5,4.0,1.65,3.5,4.05,1.55,2.25,1.9,1.8,-0.75,1560.1,1497.91
D2,28/09/03,Duisburg,Nurnberg,2,1,H,1,0,H,2.37,3.1,2.62,2.35,3.25,2.55,2.4,3.0,2.6,2.4,3.0,2.6,2.25,3.05,2.75,1.65,2.05,1.75,2.0,0.0,1489.68,1512.85
D2,28/09/03,Erzgebirge Aue,Oberhausen,1,1,D,1,1,D,2.0,3.2,3.2,2.0,3.15,3.25,2.0,3.1,3.2,2.05,3.1,3.1,2.2,3.05,2.8,1.65,2.05,1.95,1.75,-0.5,1473.21,1430.39
D2,28/09/03,Greuther Furth,Osnabruck,1,1,D,0,0,D,1.57,3.5,5.0,1.55,3.65,4.9,1.5,3.7,5.0,1.53,3.6,5.0,1.5,3.5,5.4,1.55,2.25,1.75,2.0,-0.75,1585.31,1448.43
D2,28/09/03,Regensburg,Ein Trier,2,1,H,1,1,D,2.3,3.2,2.62,2.35,3.25,2.55,2.4,3.0,2.6,2.4,3.0,2.6,2.35,3.1,2.55,1.65,2.05,1.7,2.0,0.0,1472.18,1504.51
D2,29/09/03,Mainz,Karlsruhe,1,1,D,0,0,D,1.53,3.6,5.0,1.5,3.8,5.15,1.5,3.7,5.0,1.53,3.4,5.0,1.5,3.5,5.4,1.6,2.15,1.83,1.83,-1.0,1623.7,1466.32
D2,03/10/03,Ein Trier,Bielefeld,2,3,A,1,2,A,2.25,3.25,2.7,2.3,3.2,2.65,2.3,3.0,2.7,2.3,3.2,2.62,2.3,3.05,2.65,1.71,2.0,1.95,1.75,-0.25,1494.41,1567.15
