country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
England,1998-99,E2,8,1998-09-12,5season,13,6,0.46153846153846156,1.0427607996297383,0.6304841541807863,0.19140369769651105
England,1998-99,E2,9,1998-09-18,5season,11,6,0.5454545454545454,0.9697733811796827,0.5762879320018028,0.20896765358887162
England,1998-99,E2,10,1998-09-27,5season,12,7,0.5833333333333334,0.9930317299475863,0.5898841801763378,0.20076354201122606
England,1998-99,E2,11,1998-10-03,5season,15,6,0.4,1.1210809325849993,0.677869728668385,0.2264095226908505
England,1998-99,E2,12,1998-10-09,5season,11,3,0.2727272727272727,1.242640846672135,0.7490767735826044,0.27537571297870217
England,1998-99,E2,13,1998-10-17,5season,12,6,0.5,1.0121029341571721,0.6069062801905797,0.19092085180382737
England,1998-99,E2,14,1998-10-20,5season,11,5,0.45454545454545453,1.006257018343437,0.611305160356191,0.18640999063271882
England,1998-99,E2,15,1998-10-24,5season,12,6,0.5,1.0629355014974282,0.6395929653245336,0.20725632035556393
England,1998-99,E2,16,1998-10-31,5season,11,6,0.5454545454545454,1.0165863134133426,0.6088270134637963,0.22524458458874322
England,1998-99,E2,17,1998-11-06,5season,12,6,0.5,0.9726419648976177,0.5814459364610595,0.17818028810565023
England,1998-99,E2,18,1998-11-10,5season,12,4,0.3333333333333333,1.16031872737802,0.6994453847257714,0.27390673914547475
England,1998-99,E2,19,1998-11-21,5season,10,4,0.4,1.0692763121371296,0.6483814742631162,0.17495666021760686
England,1998-99,E2,20,1998-11-28,5season,14,6,0.42857142857142855,1.02222380942955,0.6184952647587566,0.19144185861723045
England,1998-99,E2,21,1998-12-12,5season,12,4,0.3333333333333333,1.1079435279304166,0.6789828207731211,0.17189725047718574
England,1998-99,E2,22,1998-12-18,5season,13,6,0.46153846153846156,1.0296446078598618,0.6211717368427956,0.20368633494833244
England,1998-99,E2,23,1998-12-26,5season,11,3,0.2727272727272727,1.2161481602142652,0.7492162605416604,0.2753869914647606
