Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,07/10/01,Betis,Alaves,1,0,H,0,0,D,,,,2.0,2.9,3.0,2.0,3.2,3.2,1.91,3.2,3.5,2.0,3.2,3.2,1.83,3.3,3.6,1695.52,1678.4
SP1,07/10/01,Espanol,Osasuna,1,1,D,0,0,D,,,,1.7,3.1,3.8,1.83,3.2,3.75,1.75,3.2,4.2,1.67,3.4,4.33,,,,1661.91,1656.37
SP1,07/10/01,Malaga,Celta,2,2,D,2,0,H,,,,2.4,2.9,2.4,2.75,3.2,2.25,2.62,3.1,2.38,2.6,3.2,2.38,2.6,3.1,2.4,1669.97,1763.36
SP1,07/10/01,Mallorca,Zaragoza,0,1,A,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.75,1.85,3.2,3.75,1.83,3.2,3.75,1.72,3.25,4.2,1739.16,1646.47
SP1,07/10/01,Sociedad,Sevilla,3,3,D,2,0,H,,,,2.1,2.8,3.0,2.37,3.2,2.6,2.2,3.1,2.9,2.1,3.2,3.0,2.2,3.2,2.8,1602.63,1663.27
SP1,07/10/01,Tenerife,Vallecano,3,1,H,1,1,D,,,,2.0,2.7,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.4,1591.1,1558.91
SP1,07/10/01,Valencia,Villarreal,1,0,H,1,0,H,,,,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4.0,1748.11,1714.55
SP1,07/10/01,Valladolid,Las Palmas,1,0,H,1,0,H,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.95,3.2,3.4,2.0,3.2,3.2,1.9,3.2,3.5,1628.88,1636.08
SP1,13/10/01,Alaves,Real Madrid,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.8,3.2,2.2,,,,2.8,3.2,2.2,3.0,3.2,2.1,1669.96,1780.98
SP1,13/10/01,Sevilla,Mallorca,2,2,D,2,2,D,,,,2.1,2.9,3.2,1.91,3.2,3.5,,,,2.0,3.2,3.2,1.9,3.2,3.5,1664.68,1720.36
SP1,13/10/01,Zaragoza,La Coruna,1,2,A,0,1,A,,,,2.5,3.0,2.5,2.8,3.2,2.2,,,,2.6,3.2,2.38,2.62,3.1,2.37,1665.27,1800.1
