Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D1,29/09/01,St Pauli,Dortmund,1,2,A,0,2,A,21725,Peter Sippel,6,16,2,8,1,1,6,14,12,23,0,1,2,4,0,0,20,40,,,,3.2,2.9,1.9,,,,3.75,3.25,1.83,3.75,3.25,1.8,3.25,3.4,1.9,1610.1,1748.38
D1,29/09/01,Werder Bremen,M'gladbach,1,0,H,0,0,D,33231,Michael Weiner,13,5,7,4,1,0,8,2,14,20,5,1,4,1,0,0,40,10,,,,1.8,3.0,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.25,3.75,1.72,3.25,4.2,1701.63,1673.53
D1,29/09/01,Wolfsburg,Kaiserslautern,2,0,H,1,0,H,14000,Alfons Berg,27,19,12,9,0,2,7,15,28,21,1,1,1,2,0,0,10,20,,,,2.8,3.0,2.1,,,,3.0,3.2,2.1,3.0,3.2,2.1,3.0,3.2,2.1,1653.88,1758.01
D1,30/09/01,Bayern Munich,Stuttgart,4,0,H,2,0,H,61000,Florian Meyer,13,7,8,1,1,0,5,7,22,15,4,1,0,2,0,1,0,45,,,,1.45,3.5,5.0,1.36,4.0,7.0,1.36,3.75,8.0,1.4,3.75,7.0,1.36,3.75,8.0,1852.0,1677.35
D1,30/09/01,Leverkusen,Freiburg,4,1,H,3,1,H,22500,Helmut Fleischer,17,5,8,4,1,0,6,4,14,21,3,2,1,1,0,0,10,10,,,,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,4.0,6.5,1.44,3.6,6.5,1806.92,1711.8
D1,13/10/01,Cottbus,Leverkusen,2,3,A,1,2,A,16460,Herbert Fandel,23,11,10,4,0,1,13,0,24,22,2,1,4,3,0,1,40,55,,,,3.3,3.0,2.0,3.5,3.2,1.91,,,,3.2,3.2,2.0,3.4,3.25,1.9,1636.4,1813.06
D1,13/10/01,Freiburg,St Pauli,2,2,D,1,1,D,25000,Lutz Michael Fröhlich ,9,6,4,6,1,0,6,5,19,22,2,1,0,3,0,0,0,30,,,,1.6,3.4,4.6,1.57,3.5,5.0,,,,1.57,3.5,5.0,1.57,3.3,5.5,1705.66,1598.97
D1,13/10/01,Hamburg,Hertha,4,0,H,2,0,H,45000,Edgar Steinborn,15,9,10,5,0,0,5,10,14,13,2,2,1,1,0,0,10,10,,,,2.1,3.0,3.1,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62,1637.43,1715.87
D1,13/10/01,Kaiserslautern,Hansa Rostock,3,1,H,0,1,A,38000,Wolfgang Stark,16,11,6,4,1,0,9,6,13,20,5,7,0,3,0,0,0,30,,,,1.4,3.9,6.0,1.44,3.6,6.5,,,,1.36,4.0,7.0,1.4,3.75,7.0,1745.36,1630.05
D1,13/10/01,M'gladbach,Dortmund,1,2,A,0,2,A,34500,Jürgen Aust,15,11,7,6,1,0,14,4,23,19,2,6,3,2,0,1,30,45,,,,2.7,2.9,2.4,2.75,3.2,2.25,,,,2.75,3.0,2.38,2.75,3.2,2.25,1665.44,1759.51
D1,13/10/01,Munich 1860,Bayern Munich,1,5,A,1,2,A,69000,Hellmut Krug,13,16,5,9,0,0,3,7,13,11,0,0,4,0,0,0,40,0,,,,4.0,3.1,1.75,4.33,3.4,1.67,,,,4.5,3.5,1.62,4.5,3.3,1.66,1670.34,1856.27
D1,13/10/01,Stuttgart,Schalke 04,3,0,H,1,0,H,30000,Michael Weiner,12,10,3,3,0,0,6,7,13,14,2,1,1,4,0,0,10,40,,,,2.4,2.9,2.7,2.25,3.2,2.75,,,,2.38,3.2,2.6,2.4,3.1,2.6,1673.08,1754.48
D1,14/10/01,FC Koln,Wolfsburg,0,4,A,0,2,A,29000,Hermann Albrecht,9,17,4,7,0,1,7,4,16,22,2,4,2,1,0,0,20,10,,,,2.0,3.1,3.2,1.73,3.4,4.0,,,,1.91,3.2,3.5,1.83,3.3,3.6,1644.81,1666.53
D1,14/10/01,Werder Bremen,Nurnberg,3,0,H,1,0,H,26650,Lutz Wagner,16,6,10,1,0,0,4,2,15,12,9,7,1,1,0,0,10,10,,,,1.6,3.4,4.6,1.57,3.5,5.0,,,,1.62,3.5,4.5,1.57,3.5,5.0,1709.72,1616.53
