Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,09/03/02,Aris,Panathinaikos,0.0,0.0,D,0.0,0.0,D,,,,,,,1492.92,1718.99
G1,10/03/02,AEK,OFI,3.0,0.0,H,1.0,0.0,H,1.2,4.5,10.0,1.2,4.7,9.0,1663.05,1494.95
G1,10/03/02,Egaleo,PAOK,2.0,1.0,H,0.0,1.0,A,3.8,3.3,1.7,3.6,3.1,1.75,1393.21,1618.32
G1,10/03/02,Eth Asteras,Iraklis,1.0,2.0,A,1.0,2.0,A,2.4,2.9,2.55,2.35,3.0,2.35,1374.4,1507.37
G1,10/03/02,Panahaiki,Akratitos,1.0,1.0,D,0.0,0.0,D,,,,,,,1378.05,1347.74
G1,10/03/02,Panionios,Ionikos,2.0,2.0,D,1.0,1.0,D,1.45,3.5,5.55,1.45,3.5,5.0,1479.43,1446.14
G1,10/03/02,Xanthi,Olympiakos,1.0,2.0,A,1.0,2.0,A,3.3,3.25,1.85,3.3,3.0,1.85,1525.65,1790.48
G1,16/03/02,Panahaiki,Panionios,1.0,1.0,D,0.0,1.0,A,,,,,,,1373.57,1474.86
G1,16/03/02,Panathinaikos,Iraklis,2.0,1.0,H,0.0,1.0,A,1.23,4.75,8.75,1.25,4.3,8.0,1714.64,1518.69
G1,17/03/02,Akratitos,AEK,0.0,1.0,A,0.0,1.0,A,5.65,3.65,1.45,5.0,3.5,1.45,1352.22,1667.45
G1,17/03/02,Ionikos,Egaleo,1.0,1.0,D,0.0,1.0,A,1.75,3.25,3.8,1.7,3.1,3.8,1450.71,1410.03
G1,17/03/02,OFI,Aris,1.0,2.0,A,0.0,1.0,A,1.77,3.2,3.8,1.8,3.0,3.5,1490.55,1497.27
G1,17/03/02,Olympiakos,Eth Asteras,6.0,0.0,H,2.0,0.0,H,1.1,6.5,13.5,1.05,8.5,14.0,1797.46,1363.08
G1,17/03/02,PAOK,Xanthi,1.0,0.0,H,1.0,0.0,H,1.62,3.3,4.5,1.55,3.3,4.5,1601.5,1518.67
G1,23/03/02,AEK,Panahaiki,4.0,1.0,H,1.0,0.0,H,1.12,6.0,12.5,1.1,6.5,13.0,1673.07,1373.62
G1,23/03/02,Eth Asteras,PAOK,1.0,3.0,A,1.0,2.0,A,3.5,3.2,1.85,3.5,3.0,1.8,1361.98,1607.97
G1,24/03/02,Aris,Akratitos,0.0,1.0,A,0.0,0.0,D,1.35,4.0,6.6,1.35,3.9,6.0,1513.05,1346.6
G1,24/03/02,Iraklis,OFI,1.0,1.0,D,0.0,1.0,A,1.5,3.5,5.25,1.5,3.4,4.7,1514.84,1474.77
G1,24/03/02,Panathinaikos,Olympiakos,1.0,1.0,D,0.0,0.0,D,2.1,3.0,3.0,2.2,2.9,2.7,1718.49,1798.56
G1,24/03/02,Panionios,Egaleo,0.0,0.0,D,0.0,0.0,D,1.55,3.45,5.0,1.5,3.4,4.7,1474.81,1414.83
G1,24/03/02,Xanthi,Ionikos,1.0,0.0,H,1.0,0.0,H,1.3,4.2,7.5,1.3,4.0,7.0,1512.2,1445.91
G1,30/03/02,Egaleo,Xanthi,1.0,0.0,H,1.0,0.0,H,2.4,3.0,2.55,2.3,2.9,2.5,1420.21,1519.14
G1,31/03/02,AEK,Panionios,2.0,1.0,H,0.0,1.0,A,1.15,5.8,10.5,1.15,5.5,11.0,1675.35,1469.43
G1,31/03/02,Akratitos,Iraklis,3.0,0.0,H,3.0,0.0,H,2.45,3.0,2.5,2.3,3.0,2.4,1367.16,1510.06
G1,31/03/02,Ionikos,Eth Asteras,1.0,0.0,H,0.0,0.0,D,1.75,3.25,3.85,1.75,3.1,3.6,1438.97,1354.44
G1,31/03/02,Olympiakos,OFI,3.0,0.0,H,2.0,0.0,H,1.13,6.0,11.0,1.1,6.5,13.0,1799.28,1479.55
G1,31/03/02,Panahaiki,Aris,1.0,0.0,H,0.0,0.0,D,,,,,,,1371.34,1492.49
G1,31/03/02,PAOK,Panathinaikos,2.0,2.0,D,1.0,0.0,H,2.5,3.0,2.45,2.3,2.9,2.5,1615.51,1717.77
G1,07/04/02,Aris,AEK,0.0,3.0,A,0.0,2.0,A,4.25,3.35,1.62,4.0,3.3,1.6,1479.23,1679.02
G1,07/04/02,Eth Asteras,Egaleo,1.0,0.0,H,0.0,0.0,D,1.5,3.5,5.0,1.5,3.6,4.4,1348.02,1432.67
G1,07/04/02,Iraklis,Panahaiki,3.0,0.0,H,1.0,0.0,H,1.55,3.4,4.7,,,,1496.02,1384.6
G1,07/04/02,OFI,PAOK,4.0,1.0,H,2.0,1.0,H,2.33,3.1,2.5,2.3,3.1,2.3,1477.5,1615.59
G1,07/04/02,Olympiakos,Akratitos,2.0,2.0,D,1.0,1.0,D,1.05,7.3,15.0,1.05,8.5,14.0,1801.33,1381.2
G1,07/04/02,Panionios,Xanthi,2.0,0.0,H,1.0,0.0,H,2.15,3.1,2.75,2.1,3.0,2.8,1465.76,1506.68
G1,14/04/02,AEK,Iraklis,3.0,0.0,H,1.0,0.0,H,1.18,5.0,10.0,1.2,5.0,8.0,1688.03,1501.73
G1,14/04/02,Aris,Panionios,1.0,1.0,D,0.0,0.0,D,2.0,3.2,3.0,2.1,3.0,2.8,1470.22,1476.15
G1,14/04/02,Egaleo,Panathinaikos,1.0,4.0,A,0.0,1.0,A,7.5,3.7,1.35,5.6,3.5,1.4,1420.72,1717.69
G1,14/04/02,Ionikos,OFI,2.0,1.0,H,1.0,1.0,D,2.0,3.2,3.0,2.0,3.1,2.8,1445.39,1491.36
G1,14/04/02,Panahaiki,Olympiakos,1.0,3.0,A,1.0,0.0,H,,,,,,,1378.89,1790.02
G1,14/04/02,PAOK,Akratitos,6.0,3.0,H,3.0,1.0,H,1.2,4.9,9.2,,,,1601.73,1392.51
G1,14/04/02,Xanthi,Eth Asteras,1.0,0.0,H,1.0,0.0,H,1.3,4.0,8.0,,,,1496.29,1359.97
G1,20/04/02,Olympiakos,AEK,4.0,3.0,H,1.0,1.0,D,1.75,3.25,3.75,1.8,3.1,3.8,1793.59,1692.06
G1,20/04/02,Panathinaikos,Xanthi,3.0,1.0,H,1.0,1.0,D,,,,,,,1723.78,1501.39
G1,21/04/02,Akratitos,Ionikos,2.0,0.0,H,1.0,0.0,H,,,,,,,1388.9,1455.96
G1,21/04/02,Iraklis,Aris,2.0,1.0,H,1.0,0.0,H,1.6,3.5,4.5,,,,1497.7,1466.92
G1,21/04/02,OFI,Egaleo,2.0,1.0,H,2.0,0.0,H,,,,,,,1480.79,1414.63
