Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,21/10/01,Torino,Perugia,1,0,H,1,0,H,2.1,2.9,3.4,2.0,2.9,3.4,2.0,3.0,3.4,,,,2.0,2.88,3.6,2.1,2.8,3.4,1674.4,1656.35
I1,21/10/01,Venezia,Lazio,0,0,D,0,0,D,3.4,3.0,2.05,3.6,3.0,1.9,4.0,3.0,1.83,,,,3.2,3.0,2.1,3.6,2.9,2.0,1610.08,1829.32
I1,27/10/01,Juventus,Inter,0,0,D,0,0,D,2.0,3.05,3.45,2.0,2.9,3.4,,,,2.0,3.1,3.3,1.91,3.0,3.75,1.9,3.1,3.6,1867.48,1755.07
I1,27/10/01,Roma,Lazio,2,0,H,0,0,D,2.2,3.0,3.05,2.1,2.9,3.2,,,,2.2,3.1,2.9,2.2,3.0,3.0,2.2,2.87,3.1,1839.11,1825.19
I1,28/10/01,Brescia,Venezia,3,2,H,0,0,D,1.63,3.2,5.25,1.55,3.4,5.0,1.67,3.2,5.0,1.67,3.2,4.75,1.57,3.25,5.5,1.66,3.1,5.0,1702.53,1614.21
I1,28/10/01,Chievo,Torino,3,0,H,1,0,H,1.68,3.15,4.9,1.8,3.0,4.0,1.73,3.2,4.33,1.73,3.1,4.5,1.73,3.2,4.33,1.66,2.9,5.5,1711.26,1682.81
I1,28/10/01,Lecce,Atalanta,0,2,A,0,1,A,1.83,3.05,4.15,1.85,3.0,3.8,1.73,2.87,5.0,1.83,3.1,4.0,1.83,2.88,4.33,1.8,2.9,4.5,1657.1,1621.75
I1,28/10/01,Milan,Bologna,0,0,D,0,0,D,1.45,3.6,6.5,1.4,3.7,6.4,1.4,3.75,7.0,1.44,3.6,6.5,1.4,3.75,7.0,1.44,3.5,7.0,1774.62,1691.2
I1,28/10/01,Parma,Verona,2,2,D,1,2,A,1.6,3.25,5.4,1.6,3.2,5.0,1.61,3.25,5.0,1.6,3.3,5.0,1.57,3.25,5.5,1.61,3.1,5.5,1742.46,1658.52
I1,28/10/01,Perugia,Piacenza,1,0,H,0,0,D,1.93,3.0,3.75,1.85,3.0,3.8,1.91,3.0,3.75,1.85,3.1,3.8,2.0,2.8,3.75,1.9,2.87,4.0,1647.94,1653.04
