Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I2,23/11/01,Cagliari,Ancona,2,0,H,0,0,D,1.75,2.9,4.5,1.8,2.7,3.9,,,,1.85,2.7,4.5,1437.99,1455.66
I2,25/11/01,Bari,Como,1,1,D,1,1,D,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.25,2.6,3.25,1463.12,1545.86
I2,25/11/01,Cittadella,Ternana,2,2,D,0,1,A,2.45,2.6,2.95,2.4,2.6,2.7,,,,2.3,2.65,3.1,1425.23,1489.58
I2,25/11/01,Empoli,Siena,2,1,H,0,0,D,1.55,3.0,6.65,1.55,2.8,5.4,,,,1.5,3.1,7.0,1600.69,1428.72
I2,25/11/01,Palermo,Genoa,1,0,H,1,0,H,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.3,2.6,3.2,1504.39,1539.71
I2,25/11/01,Pistoiese,Messina,2,1,H,1,1,D,2.2,2.6,3.45,2.2,2.5,2.9,,,,2.25,2.6,3.25,1428.49,1509.29
I2,25/11/01,Reggina,Napoli,3,1,H,1,0,H,2.1,2.55,3.8,2.1,2.5,3.4,,,,2.1,2.6,3.6,1591.35,1550.78
I2,25/11/01,Salernitana,Vicenza,0,0,D,0,0,D,2.4,2.55,3.1,2.4,2.5,2.8,,,,2.3,2.6,3.2,1456.57,1563.73
I2,25/11/01,Sampdoria,Modena,1,1,D,1,0,H,2.3,2.6,3.2,2.2,2.5,3.1,,,,2.2,2.65,3.25,1544.79,1533.16
I2,26/11/01,Crotone,Cosenza,0,2,A,0,0,D,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.3,2.6,3.2,1445.69,1503.63
I2,30/11/01,Ternana,Salernitana,0,2,A,0,2,A,,,,,,,,,,,,,1490.86,1456.83
I2,02/12/01,Ancona,Pistoiese,2,1,H,1,1,D,1.9,2.75,4.2,1.9,2.6,3.8,,,,1.9,2.6,4.5,1446.07,1440.3
I2,02/12/01,Como,Cagliari,1,0,H,0,0,D,1.8,2.8,4.6,1.75,2.6,4.5,,,,1.7,2.75,5.4,1546.48,1447.58
I2,02/12/01,Cosenza,Bari,2,1,H,1,1,D,2.15,2.6,3.45,2.1,2.6,3.3,,,,2.2,2.6,3.35,1517.64,1462.5
I2,02/12/01,Genoa,Crotone,1,1,D,0,0,D,1.5,3.25,6.5,1.45,3.0,6.2,,,,1.45,3.25,7.0,1529.51,1431.68
I2,02/12/01,Messina,Sampdoria,1,1,D,1,0,H,2.35,2.5,3.3,2.3,2.5,2.9,,,,2.25,2.6,3.25,1497.48,1540.91
I2,02/12/01,Modena,Cittadella,4,2,H,3,0,H,1.47,3.3,6.85,1.4,3.2,6.5,,,,1.4,3.5,7.5,1537.04,1423.95
I2,02/12/01,Siena,Reggina,2,2,D,1,1,D,2.75,2.55,2.7,2.7,2.6,2.4,,,,2.75,2.6,2.6,1424.4,1599.05
I2,02/12/01,Vicenza,Empoli,1,2,A,0,0,D,2.05,2.65,3.8,2.0,2.6,3.5,,,,2.0,2.65,3.85,1563.47,1605.01
I2,03/12/01,Napoli,Palermo,3,2,H,1,2,A,1.95,2.6,4.3,1.9,2.6,3.8,,,,1.9,2.65,4.3,1543.08,1514.59
I2,07/12/01,Reggina,Salernitana,2,2,D,0,1,A,1.78,2.8,4.8,1.7,2.7,4.4,,,,1.75,2.85,4.75,1596.4,1473.93
I2,09/12/01,Bari,Ancona,2,1,H,2,0,H,1.75,2.8,5.0,1.75,2.7,4.2,,,,1.75,2.8,4.75,1455.24,1454.88
