Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
B1,04/11/01,Louvieroise,St Truiden,1,0,H,0,0,D,2.55,3.1,2.45,2.35,3.0,2.35,2.5,3.2,2.4,2.6,3.1,2.38,,,,,,1437.03,1523.74
B1,11/11/01,Germinal,Antwerp,2,0,H,0,0,D,1.7,3.35,4.3,1.75,3.1,3.6,1.7,3.4,4.2,,,,1.7,3.4,3.9,,,1581.77,1483.84
B1,24/11/01,Germinal,Gent,3,2,H,1,2,A,2.55,3.2,2.4,2.35,3.0,2.35,,,,,,,2.4,3.3,2.4,,,1587.83,1685.71
B1,24/11/01,Lokeren,Beveren,1,0,H,0,0,D,1.4,3.9,6.6,1.25,4.3,8.0,1.4,3.75,7.0,,,,1.4,3.75,6.3,,,1640.78,1406.5
B1,24/11/01,Lommel,Aalst,1,1,D,1,1,D,1.83,3.25,3.8,1.75,3.1,3.6,1.9,3.25,3.4,,,,1.8,3.5,3.35,,,1468.45,1452.45
B1,24/11/01,Mouscron,Louvieroise,2,0,H,2,0,H,1.56,3.5,5.1,1.45,3.5,5.0,1.57,3.5,5.0,,,,,,,,,1538.07,1449.05
B1,24/11/01,St Truiden,Anderlecht,0,2,A,0,0,D,3.1,3.35,2.0,2.9,3.0,2.0,3.0,3.3,2.05,,,,3.15,3.4,1.9,,,1511.72,1760.93
B1,24/11/01,Standard,Lierse,2,1,H,1,0,H,1.51,3.6,5.5,1.5,3.4,4.7,1.5,3.6,5.5,,,,1.5,3.6,5.25,,,1626.34,1501.61
B1,24/11/01,Westerlo,Antwerp,2,1,H,0,0,D,1.85,3.3,3.6,1.6,3.2,4.2,1.9,3.2,3.5,,,,1.8,3.4,3.5,,,1531.2,1477.78
B1,25/11/01,Charleroi,Club Brugge,0,4,A,0,2,A,4.0,3.3,1.76,4.7,3.4,1.5,3.75,3.3,1.8,,,,3.8,3.2,1.8,,,1504.79,1775.97
B1,25/11/01,Molenbeek,Genk,2,5,A,0,2,A,,,,,,,,,,,,,,,,,,1476.33,1620.85
B1,28/11/01,Gent,Standard,2,5,A,1,4,A,1.84,3.25,3.7,1.75,3.1,3.6,1.8,3.3,3.75,1.8,3.4,3.6,1.95,3.2,3.2,,,1673.29,1631.72
B1,28/11/01,Aalst,Molenbeek,2,4,A,2,1,H,1.9,3.3,3.4,1.8,3.0,3.5,1.8,3.25,3.75,1.83,3.5,3.4,1.9,3.45,3.1,,,1456.47,1465.42
B1,28/11/01,Anderlecht,Lokeren,0,0,D,0,0,D,1.47,3.8,5.5,1.6,3.2,4.2,1.5,3.6,5.5,1.53,3.6,5.0,1.5,3.7,5.0,,,1768.37,1643.96
B1,28/11/01,Club Brugge,St Truiden,2,0,H,1,0,H,1.23,5.1,9.0,1.3,4.0,7.0,1.25,5.0,8.0,1.25,4.5,10.0,1.25,4.5,8.5,,,1782.77,1504.28
B1,28/11/01,Genk,Westerlo,2,0,H,0,0,D,1.44,3.85,6.0,1.5,3.4,4.7,1.44,3.75,6.0,1.44,3.75,6.0,1.4,3.7,6.5,,,1631.76,1538.51
