Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC2,29/09/01,Forfar,Berwick,2.0,1.0,H,0.0,0.0,D,380.0,B. W. Cassidy,10.0,8.0,6.0,4.0,0.0,0.0,6.0,4.0,9.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,1.91,3.75,3.0,2.0,3.4,3.0,1180.11,1193.04
SC2,29/09/01,Hamilton,Morton,2.0,2.0,D,2.0,1.0,H,3035.0,B. J. McGarry,14.0,9.0,7.0,5.0,0.0,0.0,3.0,4.0,12.0,13.0,4.0,5.0,1.0,0.0,1.0,0.0,35.0,0.0,,,,,,,1.83,3.75,3.2,1.9,3.5,3.2,1261.09,1199.43
SC2,29/09/01,Queen of Sth,Alloa,2.0,1.0,H,1.0,1.0,D,1332.0,G. T. Clyde,16.0,7.0,9.0,3.0,0.0,1.0,8.0,5.0,7.0,9.0,2.0,2.0,1.0,1.0,0.0,1.0,10.0,35.0,,,,,,,2.5,3.6,2.25,2.37,3.5,2.37,1216.31,1279.83
SC2,06/10/01,Alloa,Berwick,2.0,2.0,D,1.0,2.0,A,492.0,C Thompson,13.0,14.0,6.0,5.0,2.0,1.0,3.0,5.0,6.0,21.0,1.0,2.0,3.0,7.0,0.0,1.0,30.0,95.0,,,,,,,1.53,3.6,5.0,1.53,3.6,5.0,1268.64,1183.61
SC2,13/10/01,Clydebank,Forfar,1.0,1.0,D,0.0,1.0,A,200.0,D Smith,12.0,8.0,5.0,3.0,0.0,0.0,5.0,3.0,10.0,11.0,1.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,1.91,3.75,3.0,2.0,3.6,2.87,1211.8,1189.54
SC2,13/10/01,Cowdenbeath,Stranraer,2.0,2.0,D,0.0,1.0,A,277.0,C. Hardie,6.0,6.0,4.0,4.0,0.0,0.0,9.0,1.0,12.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,,,,,,,2.75,3.5,2.1,2.75,3.5,2.1,1225.2,1255.11
SC2,13/10/01,Queen of Sth,Hamilton,0.0,1.0,A,0.0,0.0,D,1552.0,J. Gilmore,8.0,9.0,2.0,4.0,0.0,0.0,11.0,6.0,15.0,14.0,1.0,2.0,3.0,2.0,0.0,0.0,30.0,20.0,,,,,,,1.73,3.6,3.75,1.66,3.6,4.0,1227.5,1255.66
SC2,13/10/01,Stenhousemuir,Morton,0.0,3.0,A,0.0,2.0,A,612.0,G. P. Mitchell,15.0,16.0,6.0,8.0,0.0,1.0,6.0,6.0,16.0,9.0,3.0,7.0,0.0,1.0,1.0,0.0,25.0,10.0,,,,,,,1.8,3.6,3.4,1.83,3.5,3.4,1193.49,1204.86
SC2,20/10/01,Berwick,Cowdenbeath,2.0,5.0,A,1.0,3.0,A,472.0,J. R. Underhill,10.0,11.0,5.0,5.0,1.0,0.0,3.0,4.0,13.0,19.0,1.0,1.0,1.0,3.0,0.0,0.0,10.0,30.0,2.2,3.4,2.55,,,,2.25,3.6,2.5,2.25,3.5,2.5,1189.7,1222.71
SC2,20/10/01,Forfar,Queen of Sth,0.0,3.0,A,0.0,1.0,A,407.0,B. J. McGarry,6.0,18.0,2.0,8.0,0.0,1.0,4.0,7.0,11.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,2.4,3.15,2.45,,,,2.38,3.5,2.38,2.5,3.4,2.3,1193.77,1212.45
