Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
N1,21/10/01,Nijmegen,Twente,2,0,H,1,0,H,2.15,3.15,2.95,2.3,2.9,2.5,,,,,,,2.1,3.3,2.8,1485.4,1536.86
N1,24/10/01,Heerenveen,Ajax,5,1,H,1,0,H,,,,,,,,,,,,,,,,1621.1,1708.2
N1,26/10/01,Roda JC,Nijmegen,0,0,D,0,0,D,1.55,3.65,5.0,1.75,3.1,3.6,1.75,3.4,3.8,,,,1.85,3.4,3.3,1571.89,1496.16
N1,27/10/01,AZ Alkmaar,For Sittard,3,0,H,1,0,H,1.55,3.5,5.25,1.6,3.3,4.0,1.44,3.75,6.0,,,,1.45,3.75,5.5,1492.73,1442.68
N1,27/10/01,Heerenveen,Graafschap,1,0,H,1,0,H,1.55,3.6,4.9,1.5,3.4,4.7,1.53,3.4,5.5,,,,1.5,3.6,5.25,1633.14,1465.6
N1,27/10/01,PSV Eindhoven,Waalwijk,2,0,H,1,0,H,1.35,4.15,7.0,1.35,3.8,6.2,1.33,4.0,8.0,,,,1.35,4.2,6.5,1771.91,1573.47
N1,27/10/01,Twente,Vitesse,0,0,D,0,0,D,2.45,3.1,2.55,2.6,3.0,2.2,2.38,3.25,2.5,,,,2.4,3.25,2.45,1526.1,1681.05
N1,28/10/01,Ajax,Willem II,4,1,H,1,1,D,1.35,4.2,7.0,1.35,3.8,6.2,1.4,3.75,7.0,,,,1.4,4.0,6.0,1696.16,1597.09
N1,28/10/01,Feyenoord,Utrecht,4,0,H,1,0,H,1.38,4.0,6.75,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.45,3.75,5.5,1685.94,1624.81
N1,28/10/01,Groningen,Den Bosch,2,0,H,0,0,D,2.0,3.2,3.25,2.1,2.9,2.9,1.91,3.25,3.4,,,,1.9,3.25,3.3,1459.97,1495.96
N1,30/10/01,Sparta,NAC Breda,2,3,A,1,2,A,2.2,3.25,2.75,2.2,3.0,2.6,2.2,3.2,2.8,,,,2.1,3.4,2.75,1421.95,1546.2
N1,02/11/01,Willem II,Vitesse,1,1,D,0,0,D,2.35,3.2,2.6,2.2,2.9,2.7,2.3,3.25,2.62,2.3,3.2,2.62,2.25,3.25,2.6,1591.06,1679.09
N1,03/11/01,For Sittard,Heerenveen,1,0,H,1,0,H,3.25,3.3,1.95,3.5,3.0,1.8,3.4,3.25,1.91,3.2,3.2,2.0,3.25,3.3,1.9,1435.27,1637.55
N1,03/11/01,Nijmegen,AZ Alkmaar,1,0,H,0,0,D,1.85,3.3,3.6,1.9,3.0,3.1,1.83,3.4,3.5,1.91,3.4,3.25,1.9,3.4,3.2,1501.99,1500.14
N1,03/11/01,Waalwijk,Den Bosch,3,3,D,2,1,H,1.7,3.4,4.2,1.6,3.3,4.0,1.67,3.4,4.33,1.62,3.5,4.5,1.7,3.4,4.0,1569.67,1485.74
N1,03/11/01,Sparta,PSV Eindhoven,2,1,H,1,1,D,4.4,3.5,1.65,4.7,3.4,1.5,4.0,3.4,1.73,4.0,3.4,1.73,3.8,3.5,1.7,1410.32,1775.71
