Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,21/10/01,Beira Mar,Alverca,6,2,H,0,1,A,1.8,3.3,3.8,1.7,3.1,3.8,,,,,,,1.7,3.35,4.0,1479.97,1427.4
P1,21/10/01,Salgueiros,Pacos Ferreira,3,2,H,2,0,H,2.02,3.1,3.25,2.2,2.9,2.7,,,,,,,1.9,3.0,3.6,1373.99,1440.27
P1,21/10/01,Varzim,Farense,2,0,H,1,0,H,2.2,3.1,2.9,2.2,2.9,2.7,,,,,,,2.25,3.15,2.65,1375.07,1402.74
P1,21/10/01,Setubal,Leiria,1,1,D,1,1,D,1.9,3.25,3.4,1.85,2.9,3.4,,,,,,,1.9,3.2,3.35,1402.3,1526.26
P1,22/10/01,Sp Lisbon,Santa Clara,0,0,D,0,0,D,1.2,4.85,10.0,1.25,4.3,8.0,,,,1.22,5.0,9.0,1.2,5.0,9.5,1572.48,1375.28
P1,26/10/01,Farense,Benfica,0,2,A,0,1,A,3.3,3.1,2.05,3.4,2.9,1.85,3.2,3.2,2.0,3.6,2.88,2.0,3.5,2.85,2.0,1392.81,1551.49
P1,27/10/01,Pacos Ferreira,Sp Lisbon,0,6,A,0,4,A,3.1,3.1,2.1,3.0,2.9,2.0,2.88,3.1,2.2,3.1,3.1,2.1,2.75,3.05,2.25,1428.98,1563.81
P1,27/10/01,Sp Braga,Maritimo,1,0,H,1,0,H,1.84,3.2,3.8,1.7,3.1,3.8,1.83,3.3,3.6,1.8,3.25,3.75,1.7,3.35,4.0,1479.9,1456.91
P1,27/10/01,Guimaraes,Varzim,4,0,H,2,0,H,1.55,3.5,5.2,1.4,3.6,5.5,1.5,3.5,5.8,1.53,3.4,5.5,1.5,3.5,5.5,1427.76,1385.0
P1,28/10/01,Alverca,Porto,0,1,A,0,0,D,3.5,3.15,1.92,3.6,3.1,1.75,3.4,3.25,1.91,3.5,3.2,1.91,3.0,3.15,2.05,1420.06,1657.6
P1,28/10/01,Gil Vicente,Setubal,2,1,H,2,0,H,1.92,3.15,3.5,1.9,2.9,3.2,1.9,3.25,3.4,2.0,3.0,3.4,1.85,3.2,3.5,1448.55,1403.16
P1,28/10/01,Leiria,Beira Mar,4,1,H,1,1,D,2.1,3.1,3.1,2.1,2.9,2.9,2.0,3.2,3.2,2.0,3.0,3.4,1.95,3.1,3.3,1525.4,1487.31
P1,29/10/01,Belenenses,Salgueiros,1,0,H,0,0,D,1.75,3.25,4.1,1.55,3.3,4.5,1.7,3.4,4.2,1.62,3.5,4.5,1.7,3.35,4.0,1471.68,1385.28
P1,02/11/01,Varzim,Sp Braga,0,0,D,0,0,D,2.4,3.1,2.6,2.4,2.9,2.4,2.4,3.2,2.5,2.38,3.1,2.62,2.4,3.2,2.45,1377.37,1488.15
P1,03/11/01,Benfica,Guimaraes,0,0,D,0,0,D,1.4,3.8,6.75,1.3,4.0,7.0,1.4,3.75,7.0,1.36,4.0,7.0,1.35,4.0,7.0,1561.9,1435.39
P1,03/11/01,Setubal,Farense,2,0,H,1,0,H,1.9,3.15,3.6,1.8,3.0,3.5,1.83,3.4,3.5,1.83,3.2,3.75,1.85,3.4,3.3,1395.61,1382.4
P1,04/11/01,Beira Mar,Gil Vicente,2,2,D,1,1,D,1.77,3.3,3.9,1.75,3.1,3.6,1.73,3.4,4.0,1.73,3.4,4.0,1.7,3.4,4.0,1479.53,1456.1
P1,04/11/01,Belenenses,Alverca,1,1,D,0,1,A,1.7,3.3,4.2,1.55,3.3,4.5,1.67,3.25,4.5,1.62,3.5,4.5,1.65,3.4,4.25,1478.05,1412.27
P1,04/11/01,Porto,Leiria,2,1,H,0,1,A,1.25,4.75,8.75,1.2,4.7,9.0,1.3,4.33,8.0,1.33,4.33,7.0,1.3,4.3,7.5,1665.39,1533.18
P1,04/11/01,Maritimo,Santa Clara,1,0,H,0,0,D,1.55,3.55,5.1,1.4,3.6,5.5,1.5,3.6,5.5,1.5,3.4,6.0,1.45,3.6,6.0,1448.66,1383.95
P1,05/11/01,Salgueiros,Sp Lisbon,1,5,A,1,1,D,3.2,3.25,2.0,3.2,2.9,1.9,3.1,3.3,2.0,3.2,3.2,2.0,2.75,3.15,2.2,1378.91,1575.06
P1,06/11/01,Boavista,Pacos Ferreira,5,0,H,1,0,H,1.22,4.75,10.0,1.2,4.7,9.0,1.22,4.75,10.0,1.22,5.0,9.0,1.22,4.8,9.0,1656.56,1417.73
P1,23/11/01,Guimaraes,Setubal,0,0,D,0,0,D,1.7,3.3,4.35,1.8,2.9,3.6,1.67,3.3,4.5,,,,1.65,3.5,4.1,1442.55,1404.18
P1,24/11/01,Alverca,Salgueiros,1,2,A,1,0,H,1.85,3.2,3.7,1.75,3.1,3.6,1.83,3.3,3.6,,,,1.75,3.4,3.7,1417.82,1369.78
P1,24/11/01,Sp Braga,Benfica,0,1,A,0,0,D,2.7,2.9,2.45,2.4,3.0,2.5,2.62,2.9,2.5,,,,2.5,3.0,2.5,1487.76,1554.74
