Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
T1,02/12/01,Malatyaspor,Trabzonspor,1,0,H,0,0,D,2.8,3.1,2.2,3.6,3.1,1.75,2.9,3.2,2.1,2.8,3.4,2.1,2.6,3.25,2.25,,,1382.49,1520.77
T1,07/12/01,Besiktas,Genclerbirligi,1,0,H,1,0,H,1.25,4.5,9.0,1.2,4.7,9.0,1.29,4.5,7.5,,,,1.3,4.75,6.5,,,1629.98,1409.27
T1,08/12/01,Bursaspor,Malatyaspor,1,0,H,1,0,H,1.4,3.8,6.35,1.4,3.6,5.5,1.4,3.6,7.0,1.4,4.0,6.5,1.4,4.0,5.8,,,1470.1,1396.36
T1,08/12/01,Goztep,Gaziantepspor,1,3,A,1,1,D,2.75,3.25,2.2,2.4,2.9,2.4,2.4,3.1,2.5,,,,,,,,,1404.32,1578.23
T1,08/12/01,Istanbulspor,Denizlispor,1,1,D,1,1,D,1.7,3.4,3.95,1.8,3.0,3.5,1.7,3.2,4.2,1.67,3.4,4.33,1.8,3.35,3.55,,,1463.31,1457.77
T1,08/12/01,Trabzonspor,Fenerbahce,2,1,H,1,0,H,2.7,3.1,2.25,2.8,3.0,2.1,2.7,3.25,2.2,2.7,3.2,2.25,2.6,3.25,2.25,,,1506.9,1673.99
T1,09/12/01,Ankaragucu,Galatasaray,2,1,H,1,0,H,3.65,3.3,1.8,3.4,3.2,1.85,3.5,3.25,1.8,3.5,3.4,1.83,3.15,3.25,1.95,,,1506.35,1709.37
T1,09/12/01,Diyarbakirspor,Antalyaspor,3,1,H,1,0,H,2.05,3.1,3.1,1.9,3.0,3.1,2.0,3.2,3.1,2.0,3.2,3.2,2.05,3.3,2.9,,,1380.88,1406.98
T1,09/12/01,Rizespor,Samsunspor,1,0,H,0,0,D,2.08,3.2,3.0,1.85,3.0,3.3,2.15,3.2,2.8,,,,2.05,3.25,2.95,,,1434.41,1457.0
T1,09/12/01,Yozgatspor,Kocaelispor,4,0,H,0,0,D,2.4,3.15,2.5,2.3,3.0,2.4,2.3,3.2,2.6,2.4,3.4,2.4,2.3,3.25,2.55,,,1425.22,1473.53
T1,14/12/01,Fenerbahce,Bursaspor,3,1,H,2,1,H,1.3,4.1,8.25,1.3,4.2,8.0,1.33,4.2,7.0,,,,1.45,3.6,6.0,,,1659.11,1476.82
T1,15/12/01,Antalyaspor,Samsunspor,1,1,D,1,1,D,2.1,3.1,3.0,1.9,3.0,3.1,2.0,3.3,3.0,,,,2.0,3.3,3.0,,,1397.1,1447.24
T1,15/12/01,Denizlispor,Ankaragucu,3,4,A,1,4,A,2.15,3.1,2.9,2.3,3.0,2.4,2.2,3.2,2.7,,,,2.25,3.2,2.65,,,1461.45,1522.45
T1,15/12/01,Gaziantepspor,Yozgatspor,3,2,H,2,0,H,1.45,3.7,5.8,1.4,3.6,5.5,1.5,3.6,5.0,,,,1.45,3.6,6.0,,,1588.11,1435.87
T1,15/12/01,Goztep,Besiktas,0,6,A,0,3,A,4.1,3.3,1.7,3.5,3.0,1.8,3.8,3.3,1.75,,,,3.8,3.3,1.75,,,1394.44,1633.39
