Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,EloHome,EloAway
F2,13/11/01,Martigues,Laval,0,0,D,0,0,D,2.45,2.85,2.7,2.45,2.8,2.45,,,,1389.88,1483.99
F2,13/11/01,St Etienne,Nimes,1,0,H,0,0,D,1.75,3.0,4.5,1.8,2.8,3.7,,,,1506.13,1464.5
F2,13/11/01,Wasquehal,Niort,2,3,A,1,2,A,1.95,2.9,3.7,1.9,2.8,3.4,,,,1426.99,1445.52
F2,14/11/01,Amiens,Nice,2,0,H,0,0,D,1.85,2.9,4.1,1.75,2.8,4.0,,,,1479.92,1479.2
F2,17/11/01,Beauvais,Creteil,2,0,H,0,0,D,1.45,3.5,6.5,1.4,3.2,6.5,1.4,3.5,8.0,1536.56,1390.78
F2,17/11/01,Caen,St Etienne,2,4,A,1,1,D,1.77,3.0,4.4,1.9,2.8,3.4,1.91,2.88,4.0,1500.84,1513.8
F2,17/11/01,Chateauroux,Grenoble,0,0,D,0,0,D,1.8,2.95,4.3,1.65,2.9,4.4,1.67,3.1,5.0,1502.29,1427.87
F2,17/11/01,Istres,Martigues,0,0,D,0,0,D,1.87,2.9,4.0,1.9,2.8,3.4,1.91,2.88,4.0,1458.31,1389.67
F2,17/11/01,Nancy,Le Mans,0,1,A,0,1,A,1.75,3.0,4.4,1.7,2.8,4.2,1.67,3.1,5.0,1523.77,1454.25
F2,17/11/01,Nice,Le Havre,0,1,A,0,0,D,2.15,2.8,3.3,2.0,2.7,3.3,2.1,2.75,3.5,1470.23,1548.14
F2,17/11/01,Nimes,Wasquehal,2,3,A,2,2,D,2.0,2.75,3.8,1.9,2.6,3.8,1.83,2.8,4.5,1456.83,1411.61
F2,17/11/01,Niort,Ajaccio,0,0,D,0,0,D,2.7,2.75,2.55,2.7,2.6,2.4,2.75,2.75,2.5,1460.9,1535.78
F2,17/11/01,Strasbourg,Amiens,1,0,H,0,0,D,1.62,3.1,5.3,1.5,3.2,5.0,1.53,3.1,6.5,1563.7,1488.89
F2,18/11/01,Laval,Gueugnon,0,1,A,0,0,D,1.95,2.9,3.7,1.85,2.8,3.5,1.91,2.88,4.0,1484.2,1491.7
F2,27/11/01,Gueugnon,Strasbourg,0,0,D,0,0,D,2.45,2.7,2.8,2.4,2.6,2.7,,,,1507.45,1570.39
F2,28/11/01,Ajaccio,Nimes,3,1,H,2,0,H,1.5,3.25,6.3,1.5,3.0,5.4,1.5,3.25,6.5,1536.68,1439.39
F2,28/11/01,Amiens,Niort,0,2,A,0,0,D,1.77,2.9,4.5,1.75,2.8,4.0,1.62,3.1,5.5,1482.2,1460.0
F2,28/11/01,Creteil,Caen,4,2,H,0,1,A,2.8,2.65,2.5,2.7,2.6,2.4,2.75,2.75,2.5,1385.89,1485.27
F2,28/11/01,Grenoble,Laval,3,0,H,2,0,H,2.42,2.7,2.85,2.5,2.7,2.5,2.38,2.8,2.88,1433.67,1468.45
F2,28/11/01,Le Havre,Istres,2,0,H,0,0,D,1.6,3.0,5.7,1.5,3.0,5.4,1.53,3.2,6.0,1561.43,1452.68
F2,28/11/01,Le Mans,Chateauroux,1,0,H,0,0,D,2.08,2.7,3.5,2.1,2.7,3.1,2.0,2.8,3.75,1472.41,1496.49
F2,28/11/01,Martigues,Nice,3,3,D,2,2,D,2.25,2.85,3.0,2.3,2.6,2.8,,,,1395.3,1456.94
