Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
E2,15/09/01,Swindon,Tranmere,2,2,D,1,1,D,6089.0,M. G. Cowburn,17,12,11,10,2,0,1,10,17,14,2,3,3,2,0,1,30,45,,,,2.1,3.0,2.8,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.25,3.0,1317.4,1285.4
E2,15/09/01,Wycombe,Wigan,1,0,H,1,0,H,5400.0,R. J. Harris,15,20,8,9,1,0,2,10,20,19,4,1,2,4,0,0,20,40,,,,2.2,3.0,2.6,2.2,3.25,2.87,2.38,3.2,2.6,2.38,3.4,2.5,2.5,3.2,2.5,1328.83,1394.0
E2,18/09/01,Blackpool,QPR,2,2,D,0,1,A,5100.0,H. M. Webb,18,7,11,4,2,1,6,5,10,11,10,7,1,2,0,0,10,20,,,,2.3,2.9,2.5,2.25,3.25,2.75,2.25,3.25,2.75,2.38,3.25,2.6,,,,1295.22,1358.79
E2,18/09/01,Brentford,Bristol City,2,2,D,2,1,H,6342.0,M. J. Brandwood,10,11,7,4,0,1,3,4,20,14,2,1,0,2,0,0,0,20,,,,2.2,3.0,2.6,2.2,3.25,2.87,2.2,3.25,2.8,2.38,3.25,2.6,2.2,3.25,2.8,1363.1,1413.13
E2,18/09/01,Brighton,Stoke,1,0,H,0,0,D,6627.0,P. Jones,10,5,4,2,1,0,6,14,16,21,1,5,1,4,0,0,10,40,,,,2.0,3.0,2.9,1.91,3.4,3.4,2.1,3.25,3.0,2.2,3.25,2.8,2.2,3.25,2.8,1393.61,1426.64
E2,18/09/01,Cardiff,Northampton,2,0,H,1,0,H,11232.0,A. Parkes,14,4,6,0,0,0,3,2,13,10,1,3,1,1,0,0,10,10,,,,1.4,3.6,5.5,1.44,3.75,6.5,1.44,3.6,7.0,1.44,3.75,6.5,1.44,3.6,7.0,1337.9,1245.06
E2,18/09/01,Chesterfield,Wrexham,3,2,H,1,0,H,3530.0,P. R. Richards,16,7,8,4,1,0,12,0,19,17,7,0,3,5,0,1,30,75,,,,2.1,3.0,2.8,2.2,3.25,2.87,2.2,3.25,2.8,2.1,3.4,2.88,2.1,3.25,3.0,1310.73,1334.63
E2,18/09/01,Colchester,Oldham,2,1,H,2,0,H,2991.0,P. E. Alcock,12,10,7,5,0,0,5,4,7,12,3,2,0,1,0,1,0,35,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.5,3.0,2.1,3.25,3.0,1341.84,1373.31
E2,18/09/01,Peterboro,Bournemouth,6,0,H,3,0,H,3445.0,A. Bates,16,9,9,2,1,0,5,2,11,8,3,1,0,2,0,0,0,20,,,,2.0,3.0,2.9,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.25,3.0,2.0,3.25,3.25,1332.24,1396.39
E2,18/09/01,Port Vale,Swindon,0,2,A,0,1,A,3737.0,M. A. Cooper,15,13,8,5,0,0,6,6,17,16,3,0,2,1,0,0,20,10,,,,1.85,3.1,3.2,1.8,3.4,3.75,1.91,3.25,3.5,1.83,3.5,3.5,1.9,3.25,3.5,1339.9,1312.87
