Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,29/09/01,Nantes,Metz,0,0,D,0,0,D,,,,1.8,2.9,3.6,1.8,3.2,4.0,1.75,3.2,4.2,,,,1.9,3.0,3.75,1707.53,1653.81
F1,30/09/01,Bordeaux,Paris SG,1,0,H,1,0,H,,,,2.0,2.7,3.2,2.37,3.0,2.75,2.25,3.0,2.9,2.25,3.0,2.88,2.25,2.8,3.1,1748.51,1682.5
F1,30/09/01,Sedan,Lille,1,1,D,1,0,H,,,,2.3,2.7,2.7,2.62,3.2,2.37,2.6,3.0,2.5,2.5,2.88,2.62,2.62,2.87,2.5,1670.49,1800.96
F1,30/09/01,Troyes,Sochaux,2,2,D,0,2,A,,,,1.9,2.8,3.3,2.0,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.9,3.0,3.75,1660.79,1712.15
F1,13/10/01,Auxerre,Troyes,1,3,A,1,1,D,,,,1.65,3.3,4.4,,,,,,,1.67,3.25,4.5,1.72,3.1,4.5,1688.22,1659.05
F1,13/10/01,Lille,Nantes,1,0,H,0,0,D,,,,1.7,3.2,4.2,,,,,,,1.67,3.25,4.5,1.57,3.3,5.5,1799.87,1702.33
F1,13/10/01,Lorient,Lens,2,3,A,1,3,A,,,,2.5,2.7,2.8,,,,,,,2.5,2.88,2.62,2.5,2.9,2.62,1668.83,1700.67
F1,13/10/01,Metz,Marseille,0,2,A,0,1,A,,,,2.1,2.8,3.3,,,,,,,2.1,3.0,3.2,2.0,3.0,3.4,1659.01,1629.14
F1,13/10/01,Monaco,Sedan,2,0,H,0,0,D,,,,1.6,3.4,4.6,,,,,,,1.62,3.25,5.0,1.61,3.3,5.0,1653.22,1671.58
F1,13/10/01,Montpellier,Bordeaux,0,0,D,0,0,D,,,,2.8,2.7,2.5,,,,,,,2.6,3.0,2.5,2.87,2.8,2.4,1614.0,1755.45
F1,13/10/01,Rennes,Guingamp,2,1,H,1,0,H,,,,2.0,2.9,3.4,,,,,,,2.0,3.0,3.4,1.9,3.0,3.75,1636.43,1650.24
F1,13/10/01,Sochaux,Bastia,4,1,H,2,0,H,,,,1.9,2.9,3.8,,,,,,,1.91,3.2,3.5,1.9,3.1,3.6,1713.89,1647.5
