Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D2,29/09/01,Schweinfurt,Aachen,1,0,H,0,0,D,5000,Stephan Kammerer,10.0,8.0,5.0,2.0,0.0,1.0,1.0,5.0,12.0,18.0,1.0,0.0,1,2,0,0,10,20,,,,2.0,2.9,3.0,,,,,,,1.9,3.2,3.35,1475.33,1462.02
D2,30/09/01,Babelsberg,Mainz,0,1,A,0,0,D,3900,Hartmut Strampe,18.0,12.0,8.0,6.0,0.0,0.0,5.0,2.0,21.0,17.0,3.0,3.0,2,4,0,1,20,65,,,,2.3,2.9,2.5,,,,2.38,3.0,2.7,2.4,3.15,2.45,1482.97,1525.01
D2,30/09/01,Ein Frankfurt,Greuther Furth,1,4,A,0,1,A,13500,Markus Schmidt,13.0,8.0,6.0,5.0,1.0,0.0,8.0,3.0,17.0,15.0,2.0,1.0,3,2,1,0,55,20,,,,1.7,3.1,3.8,,,,1.62,3.5,4.5,1.6,3.35,4.7,1549.65,1566.53
D2,30/09/01,Saarbrucken,Union Berlin,2,3,A,0,1,A,4500,Ralf Späker ,11.0,9.0,4.0,5.0,0.0,2.0,10.0,4.0,14.0,10.0,3.0,1.0,1,3,1,0,35,30,,,,2.3,2.9,2.5,,,,2.5,3.1,2.5,2.45,3.1,2.45,1453.25,1516.64
D2,01/10/01,Ahlen,Hannover,2,5,A,1,2,A,6000,Torsten Koop,8.0,21.0,5.0,9.0,0.0,0.0,6.0,7.0,13.0,17.0,5.0,4.0,2,1,0,0,20,10,,,,2.2,2.9,2.7,,,,2.3,3.0,2.8,2.25,3.15,2.65,1547.31,1522.51
D2,12/10/01,Aachen,Saarbrucken,0,0,D,0,0,D,15200,Jörg Kessler,6.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,17.0,19.0,2.0,4.0,2,3,0,1,20,55,,,,1.9,3.1,3.5,,,,1.8,3.1,4.0,1.75,3.25,3.85,1453.46,1439.44
D2,12/10/01,Karlsruhe,Duisburg,2,0,H,1,0,H,11000,Günter Perl,7.0,5.0,2.0,4.0,0.0,0.0,5.0,3.0,18.0,11.0,1.0,1.0,1,5,0,1,10,75,,,,1.9,3.1,3.5,,,,1.8,3.25,3.75,1.8,3.25,3.65,1447.69,1438.1
D2,12/10/01,Unterhaching,Schweinfurt,1,0,H,0,0,D,5800,Matthias Anklam,14.0,7.0,3.0,3.0,1.0,0.0,11.0,3.0,17.0,19.0,0.0,3.0,4,4,0,0,40,40,,,,1.6,3.4,4.6,,,,1.62,3.5,4.5,1.55,3.5,4.8,1556.47,1483.89
D2,13/10/01,Oberhausen,Ahlen,2,3,A,1,1,D,2000,Thomas Frank,14.0,14.0,8.0,10.0,1.0,0.0,3.0,6.0,18.0,16.0,1.0,1.0,1,5,0,0,10,50,,,,2.4,3.0,2.6,,,,2.5,3.1,2.5,2.35,3.2,2.5,1416.32,1530.5
D2,13/10/01,Union Berlin,Ein Frankfurt,0,4,A,0,1,A,14000,Detlef Scheppe,8.0,10.0,5.0,4.0,0.0,0.0,10.0,0.0,13.0,11.0,2.0,1.0,0,1,0,0,0,10,,,,2.1,3.0,3.1,,,,2.1,3.1,3.1,1.95,3.25,3.15,1530.45,1534.22
