Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
F1,17/09/00,Nantes,Lyon,0,1,A,0,1,A,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.2,3.0,3.1,2.1,3.2,3.0,1671.93,1731.06
F1,17/09/00,St Etienne,Lille,1,1,D,1,1,D,1.7,3.4,4.0,1.8,2.9,3.6,,,,1.8,3.4,3.75,1.72,3.3,4.0,1668.06,1694.52
F1,23/09/00,Auxerre,Marseille,0,1,A,0,0,D,2.05,3.35,3.0,2.0,2.9,3.0,,,,2.1,3.1,3.2,2.1,3.2,3.0,1620.25,1671.47
F1,23/09/00,Bordeaux,Toulouse,2,1,H,1,0,H,1.5,3.5,6.0,1.5,3.4,4.7,,,,1.5,3.5,6.0,1.5,3.4,6.0,1727.0,1582.25
F1,23/09/00,Lyon,Guingamp,0,1,A,0,0,D,1.5,3.6,5.5,1.45,3.5,5.0,,,,1.44,3.6,7.0,1.44,3.5,7.0,1745.02,1643.07
F1,23/09/00,Metz,Monaco,1,3,A,1,1,D,2.1,3.3,2.95,2.2,2.8,2.8,,,,2.1,3.1,3.1,2.1,3.1,3.1,1700.52,1743.64
F1,23/09/00,Paris SG,Nantes,2,1,H,1,0,H,1.5,3.65,5.2,1.5,3.4,4.7,,,,1.5,3.5,6.0,1.5,3.4,6.0,1724.9,1657.97
F1,23/09/00,Rennes,Troyes,0,2,A,0,0,D,1.85,3.5,3.4,1.65,3.1,4.0,,,,1.8,3.25,4.0,1.72,3.25,4.2,1652.62,1634.85
F1,23/09/00,Sedan,Bastia,3,3,D,0,1,A,2.0,3.3,3.2,1.9,2.9,3.2,,,,2.0,3.1,3.4,2.1,3.0,3.2,1670.06,1673.1
F1,23/09/00,Strasbourg,St Etienne,3,2,H,2,0,H,2.1,3.3,2.95,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.25,3.1,2.8,1617.69,1665.45
F1,24/09/00,Lille,Lens,2,1,H,0,1,A,2.3,3.35,2.6,2.2,2.8,2.8,,,,2.5,3.0,2.6,2.4,3.0,2.7,1697.13,1728.86
F1,30/09/00,Bastia,Metz,1,0,H,1,0,H,1.6,3.5,4.4,1.75,3.1,3.6,,,,1.73,3.4,4.2,1.66,3.3,4.5,1676.5,1685.99
F1,30/09/00,Guingamp,Paris SG,1,1,D,0,0,D,2.55,3.25,2.25,2.4,2.9,2.4,,,,2.63,3.2,2.38,2.62,3.1,2.4,1662.11,1731.82
F1,30/09/00,Lens,Strasbourg,0,0,D,0,0,D,1.45,3.8,5.8,1.45,3.5,5.0,,,,1.44,3.75,6.5,1.5,3.6,5.5,1718.79,1628.32
F1,30/09/00,Monaco,Bordeaux,2,2,D,2,1,H,1.8,3.25,3.75,1.7,3.1,3.8,,,,1.75,3.25,4.2,1.72,3.2,4.33,1758.17,1731.91
F1,30/09/00,St Etienne,Rennes,0,2,A,0,1,A,1.8,3.35,3.6,1.7,3.1,3.8,,,,1.83,3.25,3.75,1.85,3.25,3.65,1654.82,1636.04
F1,30/09/00,Toulouse,Auxerre,0,1,A,0,1,A,2.2,3.15,2.7,2.2,2.8,2.8,,,,2.4,3.0,2.7,2.4,2.9,2.75,1577.34,1606.01
F1,30/09/00,Troyes,Sedan,1,1,D,0,1,A,1.85,3.3,3.55,1.85,2.9,3.4,,,,1.75,3.4,4.0,1.8,3.25,3.8,1651.43,1666.66
F1,01/10/00,Marseille,Lyon,1,1,D,1,0,H,1.85,3.2,3.6,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.25,3.4,1685.71,1725.98
F1,01/10/00,Nantes,Lille,0,0,D,0,0,D,1.8,3.4,3.6,1.85,2.9,3.4,,,,1.9,3.25,3.5,1.9,3.25,3.4,1651.05,1707.2
F1,10/10/00,Sedan,Rennes,2,1,H,2,0,H,,,,1.9,2.8,3.3,,,,,,,2.0,3.1,3.3,1669.65,1652.65
F1,13/10/00,Bastia,Monaco,0,2,A,0,0,D,2.0,3.2,3.3,2.1,2.9,2.9,,,,2.2,3.1,3.0,2.3,3.1,2.75,1685.82,1753.82
F1,13/10/00,Paris SG,Marseille,2,0,H,0,0,D,1.55,3.3,5.2,1.6,3.2,4.2,,,,1.67,3.3,4.6,1.66,3.3,4.5,1732.91,1683.58
F1,14/10/00,Lille,Guingamp,1,1,D,0,0,D,1.85,3.25,3.7,1.75,3.1,3.6,,,,1.91,3.1,3.75,1.85,3.25,3.6,1708.77,1661.02
F1,14/10/00,Metz,Troyes,2,2,D,0,0,D,1.8,3.2,4.0,1.7,3.1,3.8,,,,1.8,3.2,4.0,1.8,3.3,3.75,1676.67,1648.44
F1,14/10/00,Rennes,Lens,1,0,H,1,0,H,2.3,3.1,2.7,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.2,3.2,2.8,1644.21,1712.55
F1,14/10/00,Sedan,St Etienne,2,1,H,1,1,D,1.85,3.15,3.9,1.8,2.9,3.6,,,,1.8,3.2,4.0,1.8,3.25,3.8,1678.09,1638.21
F1,14/10/00,Strasbourg,Nantes,0,5,A,0,4,A,2.1,3.1,3.1,2.1,2.9,2.9,,,,2.1,3.1,3.1,2.0,3.1,3.3,1634.56,1649.48
F1,15/10/00,Auxerre,Bordeaux,0,2,A,0,1,A,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.2,3.1,2.87,1621.04,1736.26
F1,21/10/00,Bordeaux,Lyon,1,1,D,1,1,D,1.9,2.9,3.5,1.9,2.8,3.3,,,,1.91,3.2,3.6,1.9,3.0,3.75,1748.21,1728.11
F1,21/10/00,Guingamp,Strasbourg,2,1,H,2,1,H,1.75,3.2,3.8,1.6,3.2,4.2,,,,1.73,3.25,4.5,1.7,3.25,4.3,1666.04,1619.06
F1,21/10/00,Lens,Sedan,1,1,D,0,0,D,1.8,3.0,3.8,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.72,3.2,4.33,1701.19,1685.81
F1,21/10/00,Monaco,Auxerre,1,1,D,1,0,H,1.61,3.5,4.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.5,3.4,6.0,1767.47,1609.09
F1,21/10/00,Nantes,Rennes,1,0,H,0,0,D,1.9,2.9,3.5,1.9,2.9,3.2,,,,1.91,3.2,3.6,2.0,3.1,3.3,1664.98,1655.57
F1,21/10/00,St Etienne,Metz,2,0,H,0,0,D,2.05,2.8,3.2,2.0,2.7,3.2,,,,2.1,3.0,3.25,1.83,3.2,3.75,1630.49,1672.26
F1,21/10/00,Toulouse,Paris SG,2,3,A,2,1,H,3.6,3.0,1.95,3.0,2.9,2.0,,,,3.4,3.1,2.0,3.4,3.0,2.0,1562.31,1740.35
F1,21/10/00,Troyes,Bastia,0,0,D,0,0,D,2.25,2.8,3.0,2.1,2.8,3.0,,,,2.25,3.0,3.0,2.2,3.0,3.0,1652.85,1672.17
F1,22/10/00,Marseille,Lille,0,1,A,0,0,D,1.65,3.2,4.5,1.7,3.1,3.8,,,,1.62,3.4,5.0,1.57,3.25,5.5,1676.14,1703.75
F1,28/10/00,Strasbourg,Marseille,1,1,D,1,0,H,2.4,3.1,2.65,2.4,2.9,2.4,,,,2.4,3.2,2.6,2.5,3.1,2.5,1611.55,1661.07
F1,29/10/00,Bastia,St Etienne,0,0,D,0,0,D,1.6,3.25,5.25,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.66,3.1,5.0,1675.02,1640.91
F1,29/10/00,Lille,Toulouse,1,0,H,0,0,D,1.57,3.2,5.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.53,3.4,5.5,1718.82,1552.57
F1,29/10/00,Lyon,Auxerre,2,2,D,1,1,D,1.8,3.15,4.0,1.7,3.1,3.8,,,,1.7,3.3,4.4,1.66,3.1,5.0,1732.27,1616.98
F1,29/10/00,Metz,Lens,2,1,H,1,1,D,2.1,3.0,3.2,2.1,2.8,3.0,,,,2.05,3.2,3.2,2.1,3.0,3.2,1661.84,1697.19
F1,29/10/00,Paris SG,Bordeaux,1,2,A,0,1,A,1.6,3.25,5.1,1.65,3.1,4.0,,,,1.62,3.3,5.2,1.61,3.3,5.0,1750.09,1744.05
F1,29/10/00,Rennes,Guingamp,1,2,A,0,1,A,2.05,3.0,3.35,1.9,2.8,3.3,,,,2.0,3.1,3.4,1.9,3.0,3.75,1646.88,1673.55
F1,29/10/00,Sedan,Nantes,2,0,H,1,0,H,2.0,3.1,3.35,1.9,2.9,3.2,,,,2.0,3.1,3.4,1.9,3.2,3.5,1689.81,1673.67
F1,29/10/00,Troyes,Monaco,1,0,H,0,0,D,2.7,2.95,2.45,2.4,2.9,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.4,1650.0,1759.58
F1,03/11/00,Monaco,Lyon,0,2,A,0,1,A,1.75,3.25,4.2,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.8,3.1,4.0,1746.74,1725.38
F1,04/11/00,Auxerre,Paris SG,1,0,H,0,0,D,2.8,3.25,2.2,2.4,2.8,2.5,,,,2.6,3.0,2.5,2.5,2.9,2.6,1623.87,1733.89
F1,04/11/00,Bordeaux,Lille,1,0,H,0,0,D,1.8,3.35,3.8,1.75,3.1,3.6,,,,1.73,3.25,4.2,1.66,3.3,4.5,1760.25,1723.26
F1,04/11/00,Guingamp,Sedan,0,3,A,0,1,A,2.05,3.05,3.3,1.9,2.8,3.3,,,,1.95,3.1,3.5,1.9,3.1,3.6,1688.65,1698.28
F1,04/11/00,Lens,Bastia,4,0,H,0,0,D,2.1,3.05,3.25,1.9,2.8,3.3,,,,2.0,3.0,3.5,1.9,3.1,3.6,1686.99,1670.42
F1,04/11/00,Marseille,Rennes,0,1,A,0,1,A,,,,,,,,,,,,,,,,1662.87,1631.78
F1,04/11/00,Nantes,Metz,2,0,H,1,0,H,1.8,3.2,4.0,1.85,2.9,3.4,,,,1.75,3.2,4.2,1.75,3.15,4.0,1665.2,1672.04
F1,04/11/00,St Etienne,Troyes,4,1,H,1,0,H,2.1,3.05,3.15,1.9,2.8,3.3,,,,2.05,3.1,3.25,1.9,3.15,3.5,1645.51,1662.84
F1,04/11/00,Toulouse,Strasbourg,0,0,D,0,0,D,2.25,2.95,3.0,2.0,2.9,3.0,,,,2.2,3.0,3.0,2.15,3.0,3.1,1548.13,1609.75
F1,10/11/00,St Etienne,Monaco,1,0,H,1,0,H,2.5,2.8,2.7,2.2,2.9,2.7,,,,2.5,3.0,2.6,2.3,2.9,2.9,1655.09,1730.04
F1,11/11/00,Lille,Auxerre,1,1,D,0,0,D,1.95,2.8,3.8,1.9,2.8,3.3,,,,2.0,3.0,3.5,1.95,3.15,3.4,1715.45,1636.73
F1,11/11/00,Metz,Guingamp,1,1,D,1,0,H,2.0,3.1,3.35,1.8,2.9,3.6,,,,1.95,3.2,3.4,1.9,3.25,3.3,1662.81,1672.97
F1,11/11/00,Paris SG,Lyon,1,1,D,1,1,D,1.67,3.1,4.8,1.7,3.1,3.8,,,,1.67,3.25,4.75,1.72,3.2,4.33,1721.03,1742.08
F1,11/11/00,Rennes,Toulouse,1,1,D,1,1,D,1.6,3.4,4.8,1.5,3.4,4.7,,,,1.55,3.4,5.6,1.55,3.4,5.5,1648.78,1546.75
F1,11/11/00,Sedan,Marseille,2,0,H,0,0,D,1.8,3.2,3.8,1.75,3.1,3.6,,,,1.75,3.4,4.0,1.3,3.3,3.75,1713.96,1645.87
F1,11/11/00,Troyes,Lens,1,0,H,1,0,H,2.05,2.8,3.6,2.2,2.8,2.8,,,,2.1,3.1,3.2,2.1,3.0,3.0,1653.26,1695.45
F1,12/11/00,Strasbourg,Bordeaux,0,2,A,0,0,D,2.8,3.0,2.3,2.9,2.9,2.1,,,,3.0,3.1,2.2,2.8,3.2,2.2,1611.13,1768.06
F1,17/11/00,Marseille,Metz,4,1,H,2,1,H,1.85,3.1,4.0,1.8,2.8,3.8,,,,1.83,3.25,3.75,1.8,3.3,3.75,1638.99,1659.65
F1,18/11/00,Guingamp,Bastia,1,0,H,1,0,H,2.0,2.95,3.6,1.9,2.8,3.3,,,,1.9,3.1,3.75,1.9,3.1,3.6,1676.13,1661.96
F1,18/11/00,Lens,St Etienne,0,0,D,0,0,D,1.85,3.1,4.0,1.85,2.8,3.6,,,,1.8,3.2,4.0,2.0,3.0,3.4,1685.01,1666.69
F1,18/11/00,Lyon,Lille,0,1,A,0,0,D,1.75,3.1,4.2,1.8,2.9,3.6,,,,1.73,3.2,4.33,1.66,3.3,4.5,1744.87,1709.53
F1,18/11/00,Monaco,Paris SG,2,0,H,2,0,H,2.2,3.1,2.8,2.1,2.9,2.9,,,,2.05,3.1,3.2,2.37,2.9,2.8,1718.44,1718.24
F1,18/11/00,Nantes,Troyes,4,0,H,4,0,H,1.85,3.0,3.85,1.8,2.9,3.6,,,,1.8,3.2,4.0,1.8,3.25,3.8,1674.43,1663.7
F1,18/11/00,Toulouse,Sedan,2,0,H,1,0,H,2.8,3.0,2.3,2.8,2.8,2.2,,,,2.88,3.0,2.25,2.75,2.9,2.4,1553.3,1720.84
F1,19/11/00,Auxerre,Strasbourg,1,2,A,1,0,H,1.65,3.25,4.8,1.55,3.3,4.5,,,,1.57,3.3,5.5,1.57,3.25,5.5,1642.65,1600.66
F1,19/11/00,Bordeaux,Rennes,3,0,H,1,0,H,1.55,3.4,5.8,1.55,3.2,4.8,,,,1.5,3.5,6.0,1.57,3.25,5.5,1778.53,1642.23
F1,25/11/00,Bastia,Marseille,3,0,H,1,0,H,1.9,3.1,3.5,1.9,2.9,3.2,,,,1.9,3.1,3.6,1.83,3.3,3.6,1653.43,1648.68
F1,25/11/00,Lens,Monaco,4,3,H,2,1,H,2.25,3.05,2.95,2.2,2.8,2.8,,,,2.25,3.0,2.9,2.3,3.1,2.75,1680.91,1727.43
F1,25/11/00,Metz,Toulouse,1,1,D,0,1,A,1.66,3.3,4.6,1.55,3.2,4.8,,,,1.67,3.25,4.6,1.65,3.35,4.5,1649.96,1568.2
F1,25/11/00,Rennes,Auxerre,0,1,A,0,0,D,2.05,3.15,3.25,2.0,2.7,3.2,,,,2.0,3.1,3.3,1.95,3.1,3.5,1637.13,1625.31
