Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
B1,18/11/00,Westerlo,Aalst,1,1,D,1,1,D,1.45,3.6,6.0,1.45,3.5,5.0,1.5,3.5,5.5,1.4,4.0,5.7,1597.49,1422.08
B1,19/11/00,Antwerp,Germinal,1,2,A,0,0,D,2.3,3.4,2.5,2.35,3.0,2.35,2.3,3.2,2.6,2.3,3.0,2.7,1493.39,1542.41
B1,19/11/00,Harelbeke,St Truiden,0,4,A,0,1,A,1.95,3.1,3.45,1.9,3.0,3.1,1.91,3.4,3.2,1.9,3.5,3.05,1424.71,1470.99
B1,24/11/00,Standard,Genk,2,1,H,0,0,D,1.4,4.0,5.8,,,,1.44,3.75,5.75,1.45,3.8,5.3,1619.01,1564.33
B1,25/11/00,Germinal,Anderlecht,0,1,A,0,0,D,3.9,3.4,1.7,3.3,3.0,1.85,3.5,3.4,1.8,3.35,3.5,1.8,1556.73,1771.54
B1,25/11/00,Mechelen,Charleroi,4,3,H,2,0,H,3.0,3.2,2.1,2.8,3.0,2.1,2.75,3.4,2.1,2.65,3.5,2.1,1424.92,1504.65
B1,25/11/00,Louvieroise,Lierse,0,2,A,0,1,A,3.0,3.2,2.1,2.9,2.9,2.1,2.75,3.4,2.1,2.65,3.4,2.15,1438.26,1555.42
B1,25/11/00,Lokeren,Gent,1,1,D,0,1,A,2.25,3.3,2.7,2.1,3.0,2.8,2.2,3.4,2.6,2.3,3.3,2.5,1566.24,1620.56
B1,25/11/00,Mouscron,Harelbeke,4,3,H,2,2,D,1.33,4.1,6.8,1.3,4.0,7.0,1.36,3.8,7.0,1.35,4.1,6.5,1621.3,1410.29
B1,25/11/00,St Truiden,Westerlo,1,2,A,1,1,D,2.4,3.2,2.6,2.35,3.0,2.35,2.38,3.4,2.38,2.4,3.4,2.35,1485.41,1589.24
B1,26/11/00,Aalst,Beveren,1,1,D,0,0,D,2.05,3.45,2.9,2.0,3.0,2.9,2.0,3.3,3.0,1.85,3.5,3.2,1430.33,1469.8
B1,26/11/00,Club Brugge,Antwerp,2,0,H,0,0,D,1.15,6.0,12.0,1.15,5.5,11.0,1.15,5.5,11.0,1.2,5.0,9.5,1783.0,1479.07
B1,01/12/00,Anderlecht,Club Brugge,2,0,H,1,0,H,2.2,3.2,2.8,2.2,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.75,1780.05,1785.23
B1,02/12/00,Gent,Standard,2,1,H,0,1,A,2.4,3.1,2.6,2.35,3.0,2.35,2.38,3.2,2.5,2.35,3.3,2.45,1622.19,1626.29
B1,02/12/00,Antwerp,Mechelen,3,1,H,0,0,D,1.75,3.3,4.1,1.7,3.2,3.6,1.7,3.4,4.0,1.75,3.5,3.55,1476.84,1436.69
B1,02/12/00,Charleroi,Aalst,0,0,D,0,0,D,1.5,3.6,5.6,1.4,3.6,5.5,1.5,3.5,5.5,1.5,3.8,4.8,1492.88,1428.17
B1,02/12/00,Genk,Louvieroise,1,0,H,1,0,H,1.4,4.0,6.5,1.35,3.8,6.2,1.4,4.0,6.0,1.4,4.1,5.5,1557.05,1426.38
