Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
P1,03/11/00,Sp Lisbon,Leiria,4,0,H,3,0,H,1.3,4.3,8.0,1.2,4.7,9.0,1.29,4.33,8.0,1.2,5.0,9.5,1651.48,1458.16
P1,04/11/00,Gil Vicente,Porto,2,2,D,1,1,D,7.1,3.6,1.43,5.0,3.5,1.45,6.25,3.6,1.44,5.8,3.6,1.45,1401.23,1701.34
P1,04/11/00,Farense,Boavista,2,2,D,2,1,H,2.4,2.9,2.8,2.4,2.9,2.4,2.5,3.0,2.5,2.7,2.85,2.4,1422.98,1554.41
P1,05/11/00,Alverca,Beira Mar,0,1,A,0,0,D,1.66,3.3,4.8,1.55,3.3,4.5,1.62,3.4,4.5,1.55,3.4,5.0,1397.22,1341.96
P1,05/11/00,Campomaiorense,Belenenses,0,1,A,0,1,A,2.8,2.95,2.4,2.7,2.9,2.2,2.7,2.9,2.4,2.7,2.85,2.4,1363.18,1439.03
P1,05/11/00,Maritimo,Benfica,3,0,H,1,0,H,2.85,3.0,2.3,2.4,2.9,2.4,2.75,3.0,2.3,2.65,2.85,2.45,1472.58,1591.83
P1,05/11/00,Pacos Ferreira,Sp Braga,4,2,H,3,0,H,2.45,2.9,2.75,2.1,2.9,2.9,2.38,2.9,2.75,2.2,3.0,2.85,1431.81,1512.84
P1,05/11/00,Salgueiros,Aves,2,1,H,1,1,D,1.45,3.6,6.8,1.4,3.6,5.5,1.44,3.5,6.5,1.45,3.6,5.8,1427.18,1376.56
P1,06/11/00,Guimaraes,Est Amadora,4,0,H,1,0,H,1.6,3.25,5.1,1.6,3.2,4.2,1.6,3.4,4.6,1.5,3.35,5.8,1428.53,1391.45
P1,11/11/00,Belenenses,Maritimo,1,0,H,0,0,D,1.8,3.2,3.9,1.75,3.1,3.6,1.67,3.25,4.5,1.65,3.3,4.4,1452.4,1485.77
P1,11/11/00,Est Amadora,Sp Lisbon,1,2,A,0,1,A,5.6,3.5,1.5,5.0,3.5,1.45,6.0,3.5,1.48,4.8,3.5,1.55,1383.64,1655.38
P1,12/11/00,Beira Mar,Gil Vicente,1,0,H,0,0,D,1.85,3.1,3.8,1.8,3.0,3.5,1.73,3.25,4.2,1.75,3.2,3.9,1359.7,1407.73
P1,12/11/00,Pacos Ferreira,Campomaiorense,0,1,A,0,1,A,1.5,3.5,5.6,1.45,3.5,5.0,1.44,3.6,6.25,1.45,3.5,6.2,1443.63,1349.81
P1,12/11/00,Benfica,Farense,2,1,H,0,0,D,1.35,4.0,7.6,1.45,3.5,5.0,1.33,3.75,8.0,1.25,4.5,8.5,1578.64,1424.11
P1,12/11/00,Sp Braga,Aves,2,0,H,1,0,H,1.4,3.8,7.1,1.4,3.6,5.5,1.4,3.6,7.0,1.35,3.9,7.0,1501.02,1369.16
P1,12/11/00,Leiria,Alverca,2,0,H,1,0,H,1.8,3.15,3.9,1.75,3.1,3.6,1.8,3.2,3.75,1.75,3.15,4.0,1454.26,1379.48
P1,13/11/00,Porto,Salgueiros,5,1,H,2,0,H,1.3,4.4,8.0,1.2,4.7,9.0,1.25,4.75,8.5,1.25,4.5,8.5,1694.84,1434.58
P1,14/11/00,Boavista,Guimaraes,4,1,H,3,0,H,1.45,3.55,6.3,1.4,3.6,5.5,1.48,3.5,6.0,1.45,3.5,6.2,1553.28,1436.34
P1,17/11/00,Farense,Belenenses,3,1,H,2,0,H,2.35,3.2,2.55,2.2,2.9,2.7,2.3,3.0,2.7,2.35,3.0,2.65,1419.42,1462.53
