Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,02/09/00,Peterboro,Bury,1,1,D,1,0,H,5286.0,Paul Alcock,9,12,3,3,0,0,7,9,9,11,4,5,2,3,0,0,20,30,,,,2.1,3.0,2.8,1.91,3.4,3.4,2.2,3.2,2.88,2.0,3.25,3.25,1334.71,1364.73
E2,02/09/00,Port Vale,Reading,0,1,A,0,1,A,4701.0,Steve Baines,7,8,5,5,0,0,7,4,15,25,2,0,0,0,0,0,0,0,,,,2.0,3.0,2.9,2.2,3.4,2.75,2.1,3.25,3.0,2.2,3.2,2.87,1295.98,1382.99
E2,02/09/00,Rotherham,Luton,1,1,D,0,1,A,4061.0,Chris Foy,8,11,6,5,0,1,7,4,5,10,6,6,1,3,0,0,10,30,,,,2.0,3.0,2.9,2.2,3.25,2.85,2.0,3.25,3.25,2.1,3.25,3.0,1352.36,1325.64
E2,02/09/00,Walsall,Wigan,2,0,H,2,0,H,7156.0,Roger Furnandiz,10,14,4,4,0,0,3,9,9,11,2,3,0,1,0,0,0,10,,,,2.2,3.0,2.6,2.2,3.4,2.75,2.3,3.2,2.7,2.37,3.2,2.62,1416.94,1464.28
E2,08/09/00,Wycombe,Oxford,3,1,H,1,0,H,5831.0,Tony Bates,12,9,7,6,0,0,4,5,7,9,5,3,2,3,0,0,20,30,1.61,3.55,4.25,1.6,3.2,4.2,1.6,3.5,4.5,1.6,3.5,5.0,1.61,3.6,5.5,1380.32,1230.42
E2,09/09/00,Bournemouth,Port Vale,1,1,D,0,1,A,3859.0,Steve Tomlin,15,12,7,5,1,0,3,7,6,14,4,7,0,0,0,0,0,0,2.25,3.15,2.6,2.3,2.9,2.5,2.35,3.2,2.6,2.3,3.2,2.63,2.37,3.2,2.62,1309.9,1283.01
E2,09/09/00,Bristol City,Swindon,0,1,A,0,0,D,10110.0,Chris Foy,15,12,6,9,1,0,5,4,13,13,2,5,1,1,0,0,10,10,1.8,3.1,3.65,1.8,3.1,3.3,1.91,3.25,3.5,1.73,3.25,4.2,1.8,3.4,3.75,1355.23,1271.06
E2,09/09/00,Bury,Walsall,2,0,H,0,0,D,4755.0,Phil Joslin,11,6,7,2,0,0,6,8,15,19,2,3,1,1,0,0,10,10,2.45,3.05,2.5,2.4,2.9,2.4,2.75,3.4,2.2,2.75,3.25,2.2,2.5,3.2,2.5,1367.21,1427.56
E2,09/09/00,Cambridge,Rotherham,6,1,H,3,1,H,3925.0,Paul Danson,16,9,8,4,1,0,6,6,11,14,1,1,0,3,0,0,0,30,2.05,3.0,3.05,1.9,3.1,3.0,2.1,3.25,3.0,2.1,3.2,3.0,2.0,3.25,3.25,1322.72,1347.99
E2,09/09/00,Luton,Northampton,0,2,A,0,1,A,6712.0,Roger Furnandiz,12,10,4,5,0,0,3,9,10,2,1,2,0,1,0,0,0,10,1.95,3.05,3.4,1.9,3.0,3.1,1.9,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.5,1330.01,1345.61
E2,09/09/00,Millwall,Swansea,1,0,H,0,0,D,9550.0,Andrew Butler,18,8,10,4,0,0,11,2,14,11,5,4,0,1,0,0,0,10,1.66,3.4,4.2,1.65,3.2,3.8,1.6,3.5,4.5,1.62,3.4,4.75,1.66,3.4,4.5,1438.96,1359.09
E2,09/09/00,Notts County,Bristol Rvs,1,1,D,0,0,D,5511.0,Graham Frankland,8,15,4,3,1,0,7,3,12,14,4,3,2,2,1,0,45,20,2.0,3.15,3.1,,,,2.1,3.25,3.0,2.1,3.2,3.0,2.0,3.25,3.25,1347.48,1400.72
E2,09/09/00,Reading,Brentford,4,0,H,3,0,H,10222.0,Trevor Parkes,10,6,5,2,0,0,4,9,22,23,6,2,3,4,0,0,30,40,1.6,3.2,4.6,1.6,3.2,4.2,1.55,3.6,5.5,1.57,3.5,5.0,1.61,3.4,5.0,1395.96,1277.86
E2,09/09/00,Stoke,Peterboro,3,0,H,0,0,D,13011.0,Eddie Wolstenholme,22,10,8,6,0,0,8,2,15,10,5,4,0,0,0,0,0,0,1.57,3.4,4.55,1.55,3.3,4.5,1.6,3.5,4.5,1.57,3.6,4.75,1.57,3.6,5.0,1441.1,1332.23
E2,09/09/00,Wigan,Colchester,3,1,H,2,1,H,5782.0,Mike Pike,20,11,9,5,0,1,3,7,12,9,5,4,1,2,0,0,10,20,1.5,3.2,6.2,1.45,3.5,5.0,1.55,3.5,5.0,1.53,3.5,5.5,1.53,3.5,5.5,1453.66,1307.05
E2,09/09/00,Wrexham,Oldham,3,1,H,1,0,H,3527.0,Phil Dowd,18,6,8,1,0,0,6,6,14,14,7,5,3,3,0,2,30,80,1.9,3.0,3.3,1.85,3.0,3.3,2.2,3.25,2.87,1.91,3.4,3.3,2.0,3.2,3.2,1363.12,1312.4
E2,12/09/00,Bournemouth,Swindon,3,0,H,2,0,H,3673.0,Graham Poll,9,7,4,0,0,0,5,3,14,12,1,3,0,2,0,0,0,20,2.35,3.25,2.5,2.5,2.9,2.3,2.5,3.2,2.5,2.38,3.2,2.63,2.5,3.2,2.5,1305.53,1289.63
E2,12/09/00,Bury,Colchester,0,0,D,0,0,D,2577.0,Alan Kaye,11,7,2,3,0,0,7,1,8,4,5,2,2,1,0,0,20,10,1.75,3.3,3.8,1.7,3.2,3.6,1.7,3.4,4.0,1.73,3.25,4.33,1.72,3.25,4.33,1378.29,1302.18
E2,12/09/00,Cambridge,Port Vale,4,0,H,1,0,H,3660.0,Uriah Rennie,11,5,8,1,0,0,3,1,10,15,3,2,1,3,0,1,10,55,2.1,3.15,3.0,2.0,3.0,2.9,1.9,3.4,3.4,2.1,3.25,3.0,2.1,3.25,3.0,1332.57,1287.38
E2,12/09/00,Luton,Walsall,0,0,D,0,0,D,4362.0,David Ellaray,8,12,1,6,0,2,4,4,10,9,2,2,0,0,0,0,0,0,2.65,3.0,2.35,2.5,2.9,2.3,2.85,3.4,2.1,2.8,3.25,2.2,2.62,3.2,2.37,1314.53,1416.48
