Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,EloHome,EloAway
E0,28/12/99,Bradford,Everton,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1630.59,1673.5
E0,28/12/99,Leicester,Newcastle,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,1680.65,1636.42
E0,28/12/99,Liverpool,Wimbledon,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1748.12,1623.25
E0,28/12/99,Sunderland,Man United,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,,,1816.21,1893.88
E0,28/12/99,Watford,Southampton,3.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,,1568.61,1610.97
E0,28/12/99,West Ham,Derby,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,1711.0,1607.5
E0,29/12/99,Aston Villa,Tottenham,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1658.3,1690.38
E0,29/12/99,Chelsea,Sheffield Weds,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1775.01,1553.66
E0,03/01/00,Derby,Watford,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1614.09,1579.06
E0,03/01/00,Everton,Leicester,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,,1675.54,1663.24
E0,03/01/00,Leeds,Aston Villa,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,1823.09,1655.89
E0,03/01/00,Newcastle,West Ham,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,1653.83,1704.41
E0,03/01/00,Sheffield Weds,Arsenal,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1550.26,1846.47
E0,03/01/00,Southampton,Bradford,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1600.52,1628.55
